fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,0,-9,0,[],0,0,[],-9
2023-01-02,99.6,-20340.7,6,2023-1-2-0-0-0-0-0.52_2023-1-2-13-4-33-90000-1.554999828338623_2023-1-2-13-4-37-755000-1.544999599456787_2023-1-2-13-4-42-405000-1.554999828338623_2023-1-2-13-4-47-50000-1.554999828338623_2023-1-2-13-5-10-340000-345.4249999523163_,0,0,[],40.0
2023-01-03,100,-18727.0,0,[],0,0,[],40.0
2023-01-04,100,-19289.3,0,[],0,0,[],40.0
2023-01-05,99.9,-20422.6,30,2023-1-5-14-2-36-200000-1.3899998664855957_2023-1-5-14-2-44-120000-1.690000057220459_2023-1-5-14-2-49-150000-1.6899998188018799_2023-1-5-14-2-54-225000-1.6700000762939453_2023-1-5-14-3-12-660000-1.6649997234344482_2023-1-5-14-3-19-300000-17.519999980926514_2023-1-5-14-3-40-130000-1.6699998378753662_2023-1-5-14-3-43-460000-4.944999694824219_2023-1-5-14-3-50-90000-1.6600000858306885_2023-1-5-14-3-55-45000-4.9700000286102295_2023-1-5-14-4-4-820000-1.5999999046325684_2023-1-5-14-4-9-660000-1.619999647140503_2023-1-5-14-4-14-565000-1.6399998664855957_2023-1-5-14-4-19-460000-1.6549997329711914_2023-1-5-14-4-29-435000-1.6549997329711914_2023-1-5-14-4-47-850000-1.6449999809265137_2023-1-5-14-4-52-815000-1.6749999523162842_2023-1-5-14-4-57-875000-3.304999828338623_2023-1-5-14-5-4-595000-1.684999704360962_2023-1-5-14-5-9-660000-1.674999713897705_2023-1-5-14-5-16-390000-1.684999704360962_2023-1-5-14-5-24-735000-1.6099998950958252_2023-1-5-14-5-29-650000-1.684999942779541_2023-1-5-14-5-42-990000-1.7299997806549072_2023-1-5-14-5-48-50000-1.6600000858306885_2023-1-5-14-6-1-300000-1.6749999523162842_2023-1-5-14-6-6-310000-1.6499996185302734_2023-1-5-14-6-13-55000-5.019999742507935_2023-1-5-14-6-19-755000-4.644999742507935_2023-1-5-15-6-42-210000-7.394999980926514_,0,0,[],45.0
2023-01-06,100,-20049.8,0,[],0,0,[],40.0
2023-01-07,99.8,-21932.4,26,2023-1-7-15-49-28-200000-10.124999761581421_2023-1-7-15-49-41-690000-1.6749999523162842_2023-1-7-15-49-46-710000-4.529999732971191_2023-1-7-15-49-52-565000-5.230000019073486_2023-1-7-15-49-59-425000-3.2799999713897705_2023-1-7-15-50-4-360000-3.385000228881836_2023-1-7-15-50-9-220000-3.2049999237060547_2023-1-7-15-50-14-80000-3.379999876022339_2023-1-7-15-50-19-140000-11.359999656677246_2023-1-7-15-50-32-195000-3.374999761581421_2023-1-7-15-50-37-275000-5.09499979019165_2023-1-7-15-50-44-60000-8.544999837875366_2023-1-7-15-50-54-300000-18.019999980926514_2023-1-7-15-51-14-15000-3.3399996757507324_2023-1-7-15-51-19-70000-3.4099996089935303_2023-1-7-15-51-24-235000-1.6899995803833008_2023-1-7-15-51-40-325000-3.359999656677246_2023-1-7-15-51-46-995000-1.6899995803833008_2023-1-7-15-51-52-155000-1.6599998474121094_2023-1-7-15-51-55-485000-3.2799999713897705_2023-1-7-15-52-0-425000-1.5949997901916504_2023-1-7-15-52-6-765000-1.7050001621246338_2023-1-7-15-52-11-925000-1.7349998950958252_2023-1-7-15-52-17-170000-1.7149999141693115_2023-1-7-15-52-20-620000-3.424999952316284_2023-1-7-15-52-25-795000-28.774999856948853_,0,0,[],45.0
2023-01-08,100,-17573.0,0,[],0,0,[],45.0
2023-01-09,100,-17635.4,0,[],0,0,[],40.0
2023-01-10,100,-18823.8,0,[],0,0,[],40.0
