fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-948.7,1,2023-1-1-0-0-0-0-2.948393_,0,0,[],0.0
2023-01-02,100,-936.5,0,[],0,0,[],0.0
2023-01-03,100,-1137.9,0,[],0,0,[],0.0
2023-01-04,100,-955.2,0,[],0,0,[],0.0
2023-01-05,100,-952.6,0,[],0,1,2023-1-5-11-5-26-518393_,0.0
2023-01-06,100,-948.1,0,[],0,1,2023-1-6-7-53-37-68393_,0.0
2023-01-07,100,-943.0,0,[],0,0,[],0.0
2023-01-08,100,-934.1,0,[],0,3,2023-1-8-13-9-58-208393_2023-1-8-13-29-4-658393_2023-1-8-13-30-1-58393_,0.0
2023-01-09,100,-974.5,0,[],0,1,2023-1-9-19-1-9-378393_,0.0
2023-01-10,100,-950.5,0,[],0,0,[],0.0
2023-01-11,100,-953.3,0,[],0,1,2023-1-11-5-10-16-38394_,0.0
2023-01-12,100,-953.9,0,[],0,2,2023-1-12-2-55-11-848393_2023-1-12-20-41-51-48393_,0.0
2023-01-13,100,-959.6,0,[],0,1,2023-1-13-16-43-11-58393_,0.0
2023-01-14,100,-951.6,0,[],0,1,2023-1-14-18-19-58-148393_,0.0
2023-01-15,100,-940.3,0,[],0,1,2023-1-15-13-24-47-558393_,0.0
2023-01-16,100,-939.2,0,[],0,1,2023-1-16-12-54-11-48393_,0.0
2023-01-17,100,-984.3,0,[],0,1,2023-1-17-3-37-47-928393_,0.0
2023-01-18,100,-946.9,0,[],0,9,2023-1-18-6-51-41-498394_2023-1-18-8-3-12-748394_2023-1-18-8-4-22-798394_2023-1-18-8-5-26-348394_2023-1-18-13-48-4-848394_2023-1-18-14-10-25-498394_2023-1-18-14-11-18-848394_2023-1-18-16-32-41-48394_2023-1-18-19-17-36-348394_,0.0
2023-01-19,100,-954.7,0,[],0,2,2023-1-19-17-48-29-858393_2023-1-19-17-49-53-258393_,0.0
2023-01-20,100,-941.0,0,[],1,6,2023-1-20-11-30-34-398393_2023-1-20-11-33-20-748393_2023-1-20-22-27-43-718393_2023-1-20-22-28-55-768393_2023-1-20-22-29-47-418393_2023-1-20-22-30-40-468393_,0.0
