fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-33532.7,1,2023-1-1-0-0-0-0-2.805_,0,0,[],35.0
2023-01-02,100,-33491.3,0,[],0,0,[],35.0
2023-01-03,100,-33446.6,0,[],0,0,[],35.0
2023-01-04,100,-33307.2,0,[],0,0,[],35.0
2023-01-05,100,-33347.2,0,[],0,0,[],35.0
2023-01-06,100,-33355.4,0,[],0,0,[],35.0
2023-01-07,100,-33389.9,0,[],0,0,[],35.0
2023-01-08,100,-33299.3,0,[],0,0,[],35.0
2023-01-09,100,-33337.3,0,[],0,0,[],35.0
2023-01-10,100,-33237.1,0,[],0,0,[],35.0
2023-01-11,100,-33245.7,0,[],0,0,[],35.0
2023-01-12,100,-33195.0,0,[],0,0,[],35.0
2023-01-13,100,-33136.1,0,[],0,0,[],35.0
2023-01-14,100,-33122.2,0,[],0,0,[],35.0
2023-01-15,100,-33131.0,0,[],0,0,[],35.0
2023-01-16,100,-33239.2,0,[],0,0,[],40.0
2023-01-17,100,-33238.0,0,[],0,0,[],40.0
2023-01-18,100,-33197.8,0,[],0,0,[],35.0
2023-01-19,100,-33158.0,0,[],0,0,[],35.0
2023-01-20,100.0,-33151.6,1,2023-1-20-16-28-47-65000-14.234999895095825_,0,0,[],35.0
2023-01-21,100,-33147.5,0,[],0,0,[],35.0
2023-01-22,100,-33161.0,0,[],0,0,[],35.0
2023-01-23,100,-33060.1,0,[],0,0,[],35.0
2023-01-24,100,-33159.1,0,[],0,0,[],35.0
2023-01-25,100.0,-33154.4,2,2023-1-25-14-48-52-15000-24.794999837875366_2023-1-25-14-51-42-560000-14.329999923706055_,0,0,[],35.0
2023-01-26,100,-33169.8,0,[],0,0,[],35.0
2023-01-27,100.0,-33081.5,1,2023-1-27-14-50-10-770000-25.079999923706055_,0,0,[],35.0
2023-01-28,100,-33052.9,0,[],0,0,[],35.0
2023-01-29,100,-33105.5,0,[],0,0,[],35.0
2023-01-30,100.0,-33255.5,1,2023-1-30-16-42-0-830000-17.489999771118164_,0,0,[],35.0
2023-01-31,100,-33154.9,0,[],0,0,[],35.0
2023-02-01,100,-33095.6,0,[],0,0,[],35.0
2023-02-02,100,-33169.6,0,[],0,0,[],35.0
2023-02-03,100,-33303.0,0,[],0,0,[],35.0
2023-02-04,100,-33269.7,0,[],0,0,[],35.0
2023-02-05,100,-33260.2,0,[],0,0,[],35.0
2023-02-06,100,-33311.8,0,[],0,1,2023-2-6-8-40-0-435000_,35.0
2023-02-07,98.4,-33250.3,1,2023-2-7-14-19-27-435000-1385.3499999046326_,0,0,[],35.0
2023-02-08,100,-33236.2,0,[],0,0,[],35.0
2023-02-09,100,-33320.2,0,[],0,0,[],35.0
2023-02-10,100,-33343.2,0,[],0,0,[],35.0
2023-02-11,100,-33409.8,0,[],0,0,[],35.0
2023-02-12,100,-33413.2,0,[],0,0,[],35.0
2023-02-13,100,-33451.7,0,[],0,0,[],30.0
2023-02-14,100.0,-33415.7,1,2023-2-14-16-4-18-685000-24.96499991416931_,0,0,[],35.0
2023-02-15,100.0,-33377.4,2,2023-2-15-15-56-33-600000-21.414999961853027_2023-2-15-19-40-54-880000-17.84999990463257_,0,0,[],35.0
2023-02-16,100.0,-33347.8,1,2023-2-16-0-24-51-215000-17.50499963760376_,0,0,[],30.0
2023-02-17,100,-33337.2,0,[],0,0,[],30.0
2023-02-18,100.0,-33378.8,1,2023-2-18-16-17-9-340000-20.31500005722046_,0,0,[],35.0
2023-02-19,100.0,-33311.3,1,2023-2-19-1-38-48-570000-17.78499984741211_,0,0,[],35.0
2023-02-20,100.0,-33333.9,1,2023-2-20-20-26-56-500000-21.31499981880188_,0,0,[],35.0
2023-02-21,100,-33256.4,0,[],0,0,[],35.0
2023-02-22,100,-33072.3,0,[],0,0,[],35.0
2023-02-23,100,-33095.5,0,[],0,0,[],35.0
2023-02-24,100,-33226.7,0,[],0,0,[],35.0
2023-02-25,100.0,-33148.1,1,2023-2-25-22-42-26-10000-17.769999742507935_,0,0,[],35.0
2023-02-26,100.0,-33197.2,1,2023-2-26-17-21-39-390000-21.144999742507935_,0,0,[],35.0
2023-02-27,100,-33238.9,0,[],0,0,[],30.0
2023-02-28,100,-33221.3,0,[],0,0,[],35.0
2023-03-01,100.0,-33223.1,1,2023-3-1-19-10-57-885000-10.729999780654907_,0,0,[],35.0
2023-03-02,100.0,-33182.3,1,2023-3-2-4-57-53-520000-14.244999885559082_,0,0,[],35.0
2023-03-03,100,-33248.1,0,[],0,0,[],30.0
2023-03-04,100,-33200.5,0,[],0,0,[],35.0
2023-03-05,100,-33160.3,0,[],0,0,[],35.0
2023-03-06,100,-33198.9,0,[],0,0,[],35.0
2023-03-07,100,-33201.0,0,[],0,0,[],35.0
2023-03-08,100,-33106.2,0,[],0,0,[],35.0
2023-03-09,100,-33121.5,0,[],0,0,[],35.0
2023-03-10,100,-33061.3,0,[],0,1,2023-3-10-9-20-7-450000_,35.0
2023-03-11,100,-33058.8,0,[],0,0,[],40.0
2023-03-12,100,-32908.8,0,[],0,0,[],35.0
2023-03-13,100,-32941.1,0,[],0,0,[],35.0
2023-03-14,100,-32869.0,0,[],0,0,[],35.0
2023-03-15,100,-32916.6,0,[],0,0,[],35.0
2023-03-16,100,-32909.8,0,[],0,0,[],35.0
2023-03-17,100,-32883.3,0,[],0,0,[],35.0
2023-03-18,100,-32883.4,0,[],0,0,[],35.0
2023-03-19,100,-32828.8,0,[],0,0,[],35.0
2023-03-20,100,-32793.6,0,[],0,0,[],35.0
2023-03-21,100,-32868.9,0,[],0,0,[],35.0
2023-03-22,100,-32850.5,0,[],0,0,[],35.0
2023-03-23,100,-33004.2,0,[],0,0,[],35.0
2023-03-24,100,-33056.6,0,[],0,1,2023-3-24-4-53-23-515000_,35.0
2023-03-25,100,-33105.8,0,[],0,1,2023-3-25-6-56-17-640000_,35.0
2023-03-26,100,-33078.8,0,[],0,0,[],35.0
2023-03-27,82.3,-32883.0,1,2023-3-27-19-44-32-75000-15327.925_,0,0,[],35.0
2023-03-28,0,-9,0,[],0,0,[],-9
2023-03-29,0,-9,0,[],0,0,[],-9
2023-03-30,0,-9,0,[],0,0,[],-9
2023-03-31,0,-9,0,[],0,0,[],-9
2023-04-01,0,-9,0,[],0,0,[],-9
2023-04-02,0,-9,0,[],0,0,[],-9
2023-04-03,0,-9,0,[],0,0,[],-9
2023-04-04,0,-9,0,[],0,0,[],-9
2023-04-05,0,-9,0,[],0,0,[],-9
2023-04-06,0,-9,0,[],0,0,[],-9
2023-04-07,0,-9,0,[],0,0,[],-9
2023-04-08,0,-9,0,[],0,0,[],-9
2023-04-09,0,-9,0,[],0,0,[],-9
2023-04-10,0,-9,0,[],0,0,[],-9
2023-04-11,0,-9,0,[],0,0,[],-9
2023-04-12,0,-9,0,[],0,0,[],-9
2023-04-13,0,-9,0,[],0,0,[],-9
2023-04-14,0,-9,0,[],0,0,[],-9
2023-04-15,0,-9,0,[],0,0,[],-9
2023-04-16,0,-9,0,[],0,0,[],-9
2023-04-17,0,-9,0,[],0,0,[],-9
2023-04-18,0,-9,0,[],0,0,[],-9
2023-04-19,0,-9,0,[],0,0,[],-9
2023-04-20,0,-9,0,[],0,0,[],-9
2023-04-21,0,-9,0,[],0,0,[],-9
2023-04-22,0,-9,0,[],0,0,[],-9
2023-04-23,0,-9,0,[],0,0,[],-9
2023-04-24,0,-9,0,[],0,0,[],-9
2023-04-25,0,-9,0,[],0,0,[],-9
2023-04-26,0,-9,0,[],0,0,[],-9
2023-04-27,0,-9,0,[],0,0,[],-9
2023-04-28,0,-9,0,[],0,0,[],-9
2023-04-29,0,-9,0,[],0,0,[],-9
2023-04-30,0,-9,0,[],0,0,[],-9
2023-05-01,0,-9,0,[],0,0,[],-9
2023-05-02,0,-9,0,[],0,0,[],-9
2023-05-03,0,-9,0,[],0,0,[],-9
2023-05-04,0,-9,0,[],0,0,[],-9
2023-05-05,0,-9,0,[],0,0,[],-9
2023-05-06,0,-9,0,[],0,0,[],-9
2023-05-07,0,-9,0,[],0,0,[],-9
2023-05-08,0,-9,0,[],0,0,[],-9
2023-05-09,0,-9,0,[],0,0,[],-9
2023-05-10,0,-9,0,[],0,0,[],-9
2023-05-11,0,-9,0,[],0,0,[],-9
2023-05-12,0,-9,0,[],0,0,[],-9
2023-05-13,0,-9,0,[],0,0,[],-9
2023-05-14,0,-9,0,[],0,0,[],-9
2023-05-15,0,-9,0,[],0,0,[],-9
2023-05-16,0,-9,0,[],0,0,[],-9
2023-05-17,0,-9,0,[],0,0,[],-9
2023-05-18,0,-9,0,[],0,0,[],-9
2023-05-19,0,-9,0,[],0,0,[],-9
2023-05-20,0,-9,0,[],0,0,[],-9
2023-05-21,0,-9,0,[],0,0,[],-9
2023-05-22,0,-9,0,[],0,0,[],-9
2023-05-23,0,-9,0,[],0,0,[],-9
2023-05-24,0,-9,0,[],0,0,[],-9
2023-05-25,0,-9,0,[],0,0,[],-9
2023-05-26,0,-9,0,[],0,0,[],-9
2023-05-27,0,-9,0,[],0,0,[],-9
2023-05-28,0,-9,0,[],0,0,[],-9
2023-05-29,0,-9,0,[],0,0,[],-9
2023-05-30,0,-9,0,[],0,0,[],-9
2023-05-31,0,-9,0,[],0,0,[],-9
2023-06-01,0,-9,0,[],0,0,[],-9
2023-06-02,0,-9,0,[],0,0,[],-9
2023-06-03,0,-9,0,[],0,0,[],-9
2023-06-04,0,-9,0,[],0,0,[],-9
2023-06-05,0,-9,0,[],0,0,[],-9
2023-06-06,0,-9,0,[],0,0,[],-9
2023-06-07,0,-9,0,[],0,0,[],-9
2023-06-08,0,-9,0,[],0,0,[],-9
2023-06-09,0,-9,0,[],0,0,[],-9
2023-06-10,0,-9,0,[],0,0,[],-9
2023-06-11,28.0,-37777.8,4,2023-6-11-0-0-0-0-61980.0_2023-6-11-17-15-56-835000-22.15999984741211_2023-6-11-17-22-14-975000-180.01999974250793_2023-6-11-17-28-6-835000-6.159999847412109_,0,0,[],40.0
2023-06-12,95.4,-38199.9,3,2023-6-12-14-7-56-495000-3991.4999997615814_2023-6-12-15-18-22-15000-4.979999780654907_2023-6-12-15-21-56-15000-3.9799997806549072_,0,1,2023-6-12-15-22-1-650000_,40.0
2023-06-13,100,-39058.9,0,[],0,0,[],35.0
2023-06-14,100,-38970.4,0,[],0,0,[],35.0
2023-06-15,100,-38909.1,0,[],0,0,[],35.0
2023-06-16,100.0,-38802.4,1,2023-6-16-20-31-6-545000-21.170000076293945_,0,0,[],35.0
2023-06-17,100.0,-38677.2,1,2023-6-17-0-0-0-0-1.86_,0,0,[],35.0
2023-06-18,100,-38606.2,0,[],0,0,[],35.0
2023-06-19,100,-38638.7,0,[],0,0,[],35.0
2023-06-20,100,-38636.7,0,[],0,2,2023-6-20-3-29-56-750000_2023-6-20-6-8-36-500000_,35.0
2023-06-21,100.0,-38586.0,2,2023-6-21-19-20-5-555000-14.039999723434448_2023-6-21-22-52-38-195000-21.119999647140503_,0,1,2023-6-21-1-8-41-525000_,35.0
2023-06-22,100.0,-38532.5,4,2023-6-22-1-32-45-635000-10.249999761581421_2023-6-22-18-34-28-810000-10.240000009536743_2023-6-22-20-1-31-305000-6.730000019073486_2023-6-22-20-41-1-215000-3.244999647140503_,0,0,[],35.0
2023-06-23,100,-38430.4,0,[],0,0,[],35.0
2023-06-24,100,-38342.2,0,[],0,0,[],35.0
2023-06-25,100,-38225.6,0,[],0,0,[],35.0
2023-06-26,100,-38225.2,0,[],0,0,[],35.0
2023-06-27,100,-38219.3,0,[],0,0,[],35.0
2023-06-28,100,-38253.7,0,[],0,0,[],35.0
2023-06-29,100,-38191.2,0,[],0,0,[],35.0
2023-06-30,100.0,-38245.3,1,2023-6-30-0-0-0-0-1.025_,0,0,[],35.0
2023-07-01,100.0,-38219.5,1,2023-7-1-0-0-0-0-1.21_,0,0,[],30.0
2023-07-02,100,-38112.9,0,[],0,0,[],30.0
2023-07-03,100,-38031.2,0,[],0,0,[],30.0
2023-07-04,100,-37978.7,0,[],0,0,[],30.0
2023-07-05,100.0,-37978.5,1,2023-7-5-0-0-0-0-0.19_,0,0,[],30.0
2023-07-06,100.0,-37871.3,1,2023-7-6-0-0-0-0-3.445_,0,0,[],35.0
2023-07-07,100.0,-37958.0,1,2023-7-7-0-0-0-0-2.98_,0,0,[],35.0
