fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-07-13,32.2,4374.6,2,2023-7-13-0-0-0-0-58510.500004_2023-7-13-17-38-7-560004-34.0999960899353_,0,0,[],100.0
2023-07-14,100.0,332.8,1,2023-7-14-17-44-47-880000-36.99999976158142_,0,3,2023-7-14-9-34-3-950000_2023-7-14-10-1-57-650000_2023-7-14-10-2-51-50000_,100.0
2023-07-15,100,154.3,0,[],0,0,[],100.0
2023-07-16,100,1.3,0,[],0,2,2023-7-16-8-0-12-409999_2023-7-16-12-7-15-759999_,100.0
2023-07-17,100.0,115.4,1,2023-7-17-0-0-0-0-0.68_,0,2,2023-7-17-3-12-47-330000_2023-7-17-4-3-35-30000_,100.0
2023-07-18,100,241.5,0,[],0,1,2023-7-18-3-21-14-940000_,100.0
2023-07-19,100.0,146.6,1,2023-7-19-0-0-0-0-2.31_,0,3,2023-7-19-0-26-4-760000_2023-7-19-0-31-28-610000_2023-7-19-0-32-19-810000_,100.0
2023-07-20,100,195.4,0,[],0,0,[],100.0
2023-07-21,100,329.6,0,[],0,0,[],100.0
2023-07-22,100,174.1,0,[],0,0,[],100.0
2023-07-23,100,101.6,0,[],0,0,[],100.0
2023-07-24,99.9,154.3,3,2023-7-24-0-0-0-0-3.739999_2023-7-24-15-22-9-509999-26.930001974105835_2023-7-24-20-47-36-830001-35.25999903678894_,0,0,[],0.0
2023-07-26,0,-9,9,[],9,9,[],-9
2023-07-27,100.0,34.0,1,2023-7-27-21-0-46-850000-23.820000171661377_,0,0,[],0.0
2023-07-28,100,122.9,0,[],0,0,[],0.0
2023-07-29,100,101.1,0,[],0,0,[],0.0
2023-07-30,100,246.4,0,[],0,4,2023-7-30-1-15-10-760000_2023-7-30-2-29-58-360000_2023-7-30-2-30-48-660000_2023-7-30-2-31-43-860000_,0.0
2023-07-31,100,325.7,0,[],0,0,[],0.0
2023-08-01,100.0,195.9,1,2023-8-1-0-0-0-0-4.85_,0,0,[],0.0
2023-08-02,100.0,124.0,1,2023-8-2-0-0-0-0-2.64_,0,0,[],0.0
2023-08-03,100.0,29.6,1,2023-8-3-0-0-0-0-4.639999_,0,4,2023-8-3-1-29-20-789999_2023-8-3-1-30-23-539999_2023-8-3-1-31-15-239999_2023-8-3-22-10-55-439999_,0.0
2023-08-04,99.9,-30.0,3,2023-8-4-0-0-0-0-4.25_2023-8-4-22-47-37-670000-23.200000047683716_2023-8-4-22-49-38-310000-24.60999894142151_,0,2,2023-8-4-3-8-51-950000_2023-8-4-5-48-6-550000_,0.0
2023-08-05,99.9,75.4,2,2023-8-5-1-36-7-780000-23.240000247955322_2023-8-5-20-0-26-160000-22.559998989105225_,0,2,2023-8-5-7-30-40-30000_2023-8-5-7-31-31-80000_,0.0
2023-08-06,100,188.3,0,[],0,2,2023-8-6-4-9-54-689999_2023-8-6-11-10-57-289999_,0.0
2023-08-07,100,174.5,0,[],0,0,[],0.0
2023-08-08,100.0,-75.7,1,2023-8-8-0-0-0-0-1.35_,0,4,2023-8-8-14-6-34-0_2023-8-8-19-26-37-750000_2023-8-8-19-27-28-200000_2023-8-8-20-59-39-400000_,0.0
