fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,81.8,-23930.5,1,2023-1-1-7-13-25-460000-15707.474999904633_,1,0,[],-9
2023-01-02,80.5,-23983.7,2,2023-1-2-6-51-58-845000-16807.909999847412_2023-1-2-11-32-43-775000-1.5049996376037598_,0,0,[],-9
2023-01-03,77.3,-24225.7,2,2023-1-3-6-4-54-160000-19627.474999904633_2023-1-3-11-32-46-755000-0.4999997615814209_,0,0,[],-9
2023-01-04,78.4,-24187.7,2,2023-1-4-6-23-12-295000-18657.21999979019_2023-1-4-11-34-42-770000-0.18999981880187988_,0,0,[],-9
2023-01-05,74.1,-24359.7,2,2023-1-5-5-21-48-320000-22356.254999876022_2023-1-5-11-35-5-775000-0.9799997806549072_,0,0,[],-9
2023-01-06,80.6,-24017.3,2,2023-1-6-6-56-36-875000-16794.17999982834_2023-1-6-11-36-45-770000-0.5199999809265137_,0,0,[],-9
2023-01-07,75.2,-23880.1,2,2023-1-7-5-39-1-980000-21398.074999809265_2023-1-7-11-36-6-775000-1.9700000286102295_,0,0,[],-9
2023-01-08,71.3,-24338.3,2,2023-1-8-4-43-23-675000-24830.77999997139_2023-1-8-11-38-0-730000-0.6700000762939453_,0,1,2023-1-8-19-55-10-5000_,-9
2023-01-09,64.0,-24524.8,2,2023-1-9-2-53-1-400000-31065.414999723434_2023-1-9-11-31-15-775000-0.5299999713897705_,0,0,[],-9
2023-01-10,62.5,-28253.0,4,2023-1-10-3-28-32-85000-30620.08999991417_2023-1-10-11-59-12-775000-0.23999977111816406_2023-1-10-12-19-42-825000-1799.5199999809265_2023-1-10-12-50-30-730000-0.6000001430511475_,0,0,[],-9
2023-01-11,50.9,-29062.4,2,2023-1-11-0-13-53-520000-42434.35500001907_2023-1-11-12-1-44-755000-1.4549999237060547_,0,0,[],-9
2023-01-12,70.2,-29059.2,2,2023-1-12-4-28-32-110000-25774.46499967575_2023-1-12-11-38-41-775000-0.804999828338623_,0,0,[],-9
2023-01-13,83.7,-28268.5,2,2023-1-13-7-41-22-455000-14089.83999967575_2023-1-13-11-36-30-775000-0.12999987602233887_,0,0,[],-9
2023-01-14,88.8,-27485.3,2,2023-1-14-9-0-50-825000-9701.569999933243_2023-1-14-11-43-12-730000-0.4850001335144043_,0,0,[],-9
2023-01-15,85.0,-26878.3,2,2023-1-15-8-22-51-650000-12922.46499991417_2023-1-15-11-58-36-775000-0.34999966621398926_,0,0,[],-9
