fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,81.6,-0.0,2,2023-1-1-0-0-0-0-1.84_2023-1-1-7-13-27-535000-15910.349999666214_,0,0,[],0.0
2023-01-02,80.4,0.0,1,2023-1-2-6-51-58-925000-16976.90499997139_,0,3,2023-1-2-17-15-22-935000_2023-1-2-18-9-4-285000_2023-1-2-18-10-3-685000_,0.0
2023-01-03,77.0,0.0,1,2023-1-3-6-4-53-390000-19854.46499967575_,0,1,2023-1-3-17-37-50-10000_,5.0
2023-01-04,77.9,0.0,2,2023-1-4-6-23-13-735000-18821.349999666214_2023-1-4-20-0-49-415000-312.41999983787537_,0,1,2023-1-4-17-27-45-190000_,5.0
2023-01-05,74.0,0.0,1,2023-1-5-5-21-48-295000-22483.99499988556_,0,0,[],5.0
2023-01-06,79.8,-0.4,3,2023-1-6-6-56-38-935000-16840.159999608994_2023-1-6-14-34-26-715000-313.62999987602234_2023-1-6-16-33-56-745000-311.6800000667572_,0,1,2023-1-6-11-37-20-350000_,0.0
2023-01-07,75.2,-1.5,2,2023-1-7-5-39-3-555000-21396.484999656677_2023-1-7-11-36-14-775000-0.929999828338623_,0,2,2023-1-7-11-36-16-860000_2023-1-7-17-29-6-610000_,0.0
2023-01-08,70.0,0.0,4,2023-1-8-4-43-24-585000-24957.960000038147_2023-1-8-15-10-2-35000-313.1199998855591_2023-1-8-20-40-3-235000-312.3699996471405_2023-1-8-22-59-12-85000-311.0799996852875_,0,7,2023-1-8-13-30-37-900000_2023-1-8-13-31-28-500000_2023-1-8-13-32-27-800000_2023-1-8-13-35-12-700000_2023-1-8-13-39-44-150000_2023-1-8-13-40-35-650000_2023-1-8-17-33-27-560000_,5.0
2023-01-09,63.4,-0.0,2,2023-1-9-2-53-2-465000-31274.085000038147_2023-1-9-11-39-5-520000-311.1399998664856_,0,5,2023-1-9-17-30-34-65000_2023-1-9-18-33-34-715000_2023-1-9-19-44-30-365000_2023-1-9-19-45-20-715000_2023-1-9-19-46-44-565000_,15.0
2023-01-10,59.7,0.0,4,2023-1-10-0-15-40-540000-853.8149998188019_2023-1-10-0-52-46-865000-1151.4199998378754_2023-1-10-3-28-32-65000-30815.950000047684_2023-1-10-12-19-44-795000-2022.5149998664856_,0,0,[],25.0
2023-01-11,50.7,-0.0,1,2023-1-11-0-13-53-510000-42614.944999694824_,0,1,2023-1-11-17-29-54-410000_,30.0
2023-01-12,69.9,-0.0,1,2023-1-12-4-28-31-745000-25977.105000019073_,0,1,2023-1-12-17-37-53-105000_,10.0
2023-01-13,83.5,0.0,1,2023-1-13-7-41-23-160000-14285.284999608994_,0,2,2023-1-13-7-23-19-505000_2023-1-13-16-43-18-450000_,0.0
2023-01-14,88.5,-0.0,1,2023-1-14-9-0-49-915000-9895.954999923706_,0,1,2023-1-14-17-39-41-175000_,0.0
2023-01-15,84.8,0.0,1,2023-1-15-8-22-50-610000-13136.975000143051_,0,0,[],0.0
2023-01-16,75.5,-0.0,2,2023-1-16-5-55-21-800000-20856.144999980927_2023-1-16-15-29-7-325000-314.1800000667572_,0,2,2023-1-16-17-28-54-810000_2023-1-16-17-45-21-710000_,0.0
2023-01-17,92.7,-0.0,2,2023-1-17-10-4-22-655000-6313.904999732971_2023-1-17-11-50-8-775000-0.9049997329711914_,0,1,2023-1-17-11-50-12-835000_,5.0
2023-01-18,91.6,0.0,1,2023-1-18-9-49-16-790000-7250.739999771118_,0,5,2023-1-18-6-26-37-15000_2023-1-18-6-27-44-315000_2023-1-18-6-30-28-215000_2023-1-18-8-1-21-15000_2023-1-18-17-33-3-285000_,0.0
2023-01-19,91.2,0.0,1,2023-1-19-9-41-37-850000-7581.47000002861_,0,2,2023-1-19-17-29-13-625000_2023-1-19-17-30-35-325000_,0.0
2023-01-20,91.7,0.0,2,2023-1-20-9-46-57-0-7121.1050000190735_2023-1-20-16-28-50-185000-16.149999856948853_,0,7,2023-1-20-17-29-55-340000_2023-1-20-22-21-25-240000_2023-1-20-22-24-57-40000_2023-1-20-22-27-17-690000_2023-1-20-22-29-8-840000_2023-1-20-22-30-0-540000_2023-1-20-22-30-58-190000_,0.0
2023-01-21,93.2,-0.0,1,2023-1-21-10-10-34-325000-5833.789999723434_,0,2,2023-1-21-17-27-51-270000_2023-1-21-17-30-47-320000_,5.0
2023-01-22,92.5,-0.0,1,2023-1-22-9-59-21-85000-6439.989999771118_,0,1,2023-1-22-17-27-34-530000_,0.0
2023-01-23,91.1,0.0,1,2023-1-23-9-43-54-915000-7682.889999866486_,0,1,2023-1-23-17-39-14-10000_,0.0
2023-01-24,89.7,-0.0,2,2023-1-24-9-23-15-985000-8593.664999961853_2023-1-24-19-45-2-780000-315.0699999332428_,0,1,2023-1-24-17-27-11-405000_,0.0
2023-01-25,79.5,0.0,5,2023-1-25-6-52-48-910000-17034.069999694824_2023-1-25-14-48-55-430000-22.46999979019165_2023-1-25-14-51-48-200000-10.299999713897705_2023-1-25-16-0-36-230000-313.55999994277954_2023-1-25-21-34-31-390000-312.849999666214_,0,2,2023-1-25-17-16-33-945000_2023-1-25-17-26-37-695000_,0.0
2023-01-26,88.4,-0.0,1,2023-1-26-8-52-2-905000-10042.034999847412_,0,1,2023-1-26-17-23-5-795000_,0.0
2023-01-27,88.0,0.0,2,2023-1-27-8-53-15-475000-10345.359999656677_2023-1-27-14-50-16-455000-18.369999885559082_,0,0,[],0.0
2023-01-28,90.9,-0.0,2,2023-1-28-9-33-3-225000-7590.129999876022_2023-1-28-15-53-53-965000-311.9999997615814_,0,1,2023-1-28-17-50-9-170000_,0.0
2023-01-29,89.8,0.0,1,2023-1-29-9-10-38-185000-8838.379999876022_,0,1,2023-1-29-17-27-38-920000_,0.0
2023-01-30,97.7,-0.0,2,2023-1-30-11-19-42-115000-1960.604999780655_2023-1-30-16-42-6-430000-10.299999952316284_,0,2,2023-1-30-17-13-22-835000_2023-1-30-17-31-13-785000_,5.0
2023-01-31,84.6,0.0,2,2023-1-31-6-39-0-600000-313.9100000858307_2023-1-31-7-39-0-20000-12959.02999997139_,0,1,2023-1-31-17-29-27-605000_,0.0
2023-02-01,99.6,-0.0,1,2023-2-1-5-0-3-620000-313.2699999809265_,0,2,2023-2-1-17-45-17-195000_2023-2-1-19-51-54-295000_,5.0
2023-02-02,86.1,0.0,2,2023-2-2-7-30-24-540000-10528.80999994278_2023-2-2-11-25-54-670000-1477.409999847412_,0,2,2023-2-2-10-48-6-55000_2023-2-2-17-13-18-635000_,0.0
2023-02-03,93.6,0.0,1,2023-2-3-8-2-10-870000-5560.624999761581_,0,1,2023-2-3-17-27-36-150000_,0.0
2023-02-04,87.9,0.0,3,2023-2-4-7-20-36-345000-4008.409999847412_2023-2-4-9-47-34-495000-6100.029999732971_2023-2-4-19-59-33-835000-312.039999961853_,0,0,[],0.0
2023-02-05,86.6,0.0,4,2023-2-5-6-59-18-985000-3265.069999933243_2023-2-5-8-5-31-45000-312.8200001716614_2023-2-5-9-5-1-415000-314.1399998664856_2023-2-5-9-19-37-405000-7643.0599999427795_,0,1,2023-2-5-17-56-42-20000_,0.0
2023-02-06,84.4,0.6,3,2023-2-6-6-31-32-565000-3940.5999999046326_2023-2-6-8-50-53-645000-9236.369999885559_2023-2-6-14-31-26-515000-311.76999974250793_,0,8,2023-2-6-1-45-44-940000_2023-2-6-1-47-59-40000_2023-2-6-1-50-40-940000_2023-2-6-1-52-9-490000_2023-2-6-1-52-59-940000_2023-2-6-2-9-19-340000_2023-2-6-11-34-8-970000_2023-2-6-17-12-42-640000_,0.0
2023-02-07,90.8,0.0,6,2023-2-7-7-35-3-185000-7478.014999866486_2023-2-7-14-19-30-560000-311.07999992370605_2023-2-7-14-32-15-450000-8.240000247955322_2023-2-7-14-35-1-910000-24.729999780654907_2023-2-7-14-36-25-540000-80.6399998664856_2023-2-7-14-41-17-820000-77.53999996185303_,0,0,[],0.0
2023-02-08,77.5,0.0,4,2023-2-8-4-7-56-640000-1980.2849996089935_2023-2-8-5-37-54-185000-6631.320000171661_2023-2-8-8-39-0-805000-10505.365000009537_2023-2-8-17-33-41-80000-311.6199998855591_,0,2,2023-2-8-15-26-39-725000_2023-2-8-17-26-19-25000_,0.0
2023-02-09,85.5,-0.0,2,2023-2-9-6-42-3-220000-3357.3899998664856_2023-2-9-8-42-39-680000-9197.254999876022_,0,1,2023-2-9-17-27-7-940000_,0.0
2023-02-10,89.1,-0.0,3,2023-2-10-8-25-10-125000-8823.969999790192_2023-2-10-17-47-0-875000-313.1599998474121_2023-2-10-17-53-3-475000-312.87999963760376_,0,0,[],0.0
2023-02-11,89.5,0.0,2,2023-2-11-7-30-35-995000-7177.779999732971_2023-2-11-11-14-49-345000-1894.6199996471405_,0,1,2023-2-11-18-20-28-970000_,0.0
2023-02-12,83.4,-0.0,4,2023-2-12-6-25-44-615000-3888.9700000286102_2023-2-12-7-45-2-685000-312.2300000190735_2023-2-12-8-29-59-185000-9867.514999866486_2023-2-12-21-37-15-920000-313.1099998950958_,0,1,2023-2-12-17-28-13-405000_,0.0
2023-02-13,81.4,0.0,2,2023-2-13-5-53-14-40000-8045.629999876022_2023-2-13-9-25-37-920000-8021.024999856949_,0,2,2023-2-13-17-14-50-650000_2023-2-13-17-31-34-50000_,0.0
2023-02-14,80.3,-0.0,4,2023-2-14-5-40-34-595000-3459.314999818802_2023-2-14-7-32-47-580000-13266.399999856949_2023-2-14-16-4-23-810000-19.369999885559082_2023-2-14-19-52-15-0-313.1099998950958_,0,1,2023-2-14-17-20-59-135000_,0.0
2023-02-15,83.2,0.0,4,2023-2-15-6-26-47-710000-10687.309999704361_2023-2-15-10-43-19-980000-3813.869999885559_2023-2-15-15-56-37-940000-17.419999837875366_2023-2-15-19-41-0-0-16.479999780654907_,0,3,2023-2-15-13-5-32-705000_2023-2-15-17-26-17-565000_2023-2-15-17-37-27-15000_,0.0
2023-02-16,77.8,0.1,6,2023-2-16-0-24-56-540000-11.75_2023-2-16-3-7-43-180000-806.4849998950958_2023-2-16-3-49-42-595000-1151.670000076294_2023-2-16-4-57-45-145000-2643.0549998283386_2023-2-16-6-33-6-230000-8286.129999876022_2023-2-16-9-46-47-220000-6259.494999885559_,0,1,2023-2-16-17-29-7-470000_,0.0
2023-02-17,80.1,-0.5,9,2023-2-17-3-39-31-805000-325.93499994277954_2023-2-17-3-59-3-880000-627.3949997425079_2023-2-17-4-20-42-885000-757.7400000095367_2023-2-17-4-45-1-195000-887.2999997138977_2023-2-17-5-18-19-655000-1266.6549999713898_2023-2-17-6-4-6-40000-1872.1649997234344_2023-2-17-7-12-28-345000-3368.8499999046326_2023-2-17-9-2-35-525000-7744.365000009537_2023-2-17-12-12-53-790000-312.19999980926514_,0,2,2023-2-17-3-44-59-595000_2023-2-17-17-14-51-45000_,0.0
2023-02-18,87.2,-0.0,7,2023-2-18-5-10-55-350000-496.0649998188019_2023-2-18-5-35-9-875000-661.8199999332428_2023-2-18-7-30-59-885000-2549.5650000572205_2023-2-18-8-56-3-990000-5340.334999799728_2023-2-18-11-13-18-685000-1710.7149999141693_2023-2-18-16-17-16-290000-16.62999987602234_2023-2-18-20-56-37-340000-313.21999979019165_,0,1,2023-2-18-17-38-1-775000_,0.0
2023-02-19,72.5,0.1,12,2023-2-19-1-38-54-530000-12.019999980926514_2023-2-19-3-4-52-130000-12049.609999895096_2023-2-19-6-29-16-150000-607.4049997329712_2023-2-19-6-43-6-985000-509.28000020980835_2023-2-19-6-58-33-165000-694.8600001335144_2023-2-19-7-20-8-705000-785.3200001716614_2023-2-19-7-47-2-755000-1083.30499958992_2023-2-19-8-23-56-590000-1529.4349999427795_2023-2-19-9-9-57-265000-1983.6800000667572_2023-2-19-10-10-8-485000-3092.5299999713898_2023-2-19-12-3-38-695000-801.9449996948242_2023-2-19-22-42-42-910000-598.7749996185303_,0,2,2023-2-19-17-27-32-945000_2023-2-19-17-30-57-845000_,0.0
2023-02-20,79.2,0.0,9,2023-2-20-3-32-15-745000-312.92000007629395_2023-2-20-3-56-0-175000-10298.490000009537_2023-2-20-6-53-21-215000-371.5649995803833_2023-2-20-7-14-1-420000-481.3749997615814_2023-2-20-8-53-46-155000-1646.3849997520447_2023-2-20-9-44-53-210000-2163.520000219345_2023-2-20-10-46-1-850000-2031.4400000572205_2023-2-20-12-7-36-510000-695.2799997329712_2023-2-20-20-27-5-160000-11.059999704360962_,0,0,[],0.0
2023-02-21,69.7,-0.0,5,2023-2-21-0-59-9-850000-313.12999987602234_2023-2-21-2-44-19-250000-23523.265000104904_2023-2-21-9-19-27-735000-544.7699999809265_2023-2-21-10-43-24-765000-1233.5149998664856_2023-2-21-11-59-47-790000-538.8949995040894_,0,1,2023-2-21-17-33-5-840000_,0.0
2023-02-22,82.3,-0.0,6,2023-2-22-3-27-57-895000-9354.09500002861_2023-2-22-9-4-23-560000-1193.2149999141693_2023-2-22-9-41-34-795000-1440.9999997615814_2023-2-22-10-23-55-15000-1806.9849996566772_2023-2-22-11-18-20-270000-1218.0249996185303_2023-2-22-19-31-13-575000-312.89999985694885_,0,0,[],0.0
2023-02-23,84.0,2.7,17,2023-2-23-3-27-18-85000-504.0699999332428_2023-2-23-3-40-43-815000-462.87999987602234_2023-2-23-3-53-15-995000-485.46999979019165_2023-2-23-4-4-3-55000-478.61499977111816_2023-2-23-4-15-26-760000-478.89999985694885_2023-2-23-4-27-2-200000-471.52999997138977_2023-2-23-4-39-56-710000-494.5649998188019_2023-2-23-4-53-9-895000-501.91999983787537_2023-2-23-5-8-2-5000-471.3199999332428_2023-2-23-5-29-9-525000-337.84500002861023_2023-2-23-5-35-34-730000-1.8550002574920654_2023-2-23-7-27-30-865000-1139.7549998760223_2023-2-23-8-4-12-590000-1171.2049996852875_2023-2-23-8-38-22-485000-1342.2600002288818_2023-2-23-9-15-51-665000-1718.0_2023-2-23-10-1-10-745000-2118.739999771118_2023-2-23-10-57-19-165000-1617.9700000286102_,0,6,2023-2-23-1-44-29-340000_2023-2-23-1-48-16-190000_2023-2-23-2-9-31-640000_2023-2-23-5-35-39-290000_2023-2-23-17-13-43-890000_2023-2-23-17-28-16-790000_,0.0
2023-02-24,82.4,2.4,12,2023-2-24-4-20-56-435000-782.7949998378754_2023-2-24-5-0-2-670000-604.6999998092651_2023-2-24-5-10-44-725000-1.3149998188018799_2023-2-24-5-43-13-540000-884.4749999046326_2023-2-24-6-26-48-375000-1072.3649997711182_2023-2-24-7-4-12-410000-1242.520000219345_2023-2-24-7-40-53-300000-1541.0249998569489_2023-2-24-8-21-55-585000-1799.9649999141693_2023-2-24-9-10-43-820000-2438.9700000286102_2023-2-24-10-11-14-670000-3195.7249999046326_2023-2-24-11-42-12-945000-943.9949998855591_2023-2-24-12-20-57-560000-738.3799998760223_,0,2,2023-2-24-5-10-49-445000_2023-2-24-18-2-59-745000_,5.0
2023-02-25,83.6,1.2,12,2023-2-25-5-22-1-210000-1068.7300000190735_2023-2-25-6-10-41-880000-1076.5099997520447_2023-2-25-6-53-47-500000-1184.954999923706_2023-2-25-7-30-38-745000-1364.369999885559_2023-2-25-8-9-0-235000-1631.3749997615814_2023-2-25-8-52-53-210000-2002.25_2023-2-25-9-45-52-590000-2613.0499997138977_2023-2-25-10-53-2-950000-1718.4199998378754_2023-2-25-11-22-11-770000-1.0499999523162842_2023-2-25-12-3-14-180000-812.2949998378754_2023-2-25-12-35-14-885000-679.1800000667572_2023-2-25-22-42-28-205000-16.100000143051147_,0,2,2023-2-25-11-22-19-375000_2023-2-25-17-52-49-770000_,5.0
2023-02-26,84.1,-0.0,10,2023-2-26-5-22-23-215000-1256.2849996089935_2023-2-26-6-38-16-790000-1424.7949998378754_2023-2-26-7-30-3-695000-1613.8599996566772_2023-2-26-8-17-30-455000-1940.3849997520447_2023-2-26-9-13-27-250000-2546.4450001716614_2023-2-26-10-1-54-505000-313.52999997138977_2023-2-26-10-21-14-675000-2841.515000104904_2023-2-26-11-45-1-500000-978.0050001144409_2023-2-26-12-19-59-475000-805.4499995708466_2023-2-26-17-21-46-505000-11.370000123977661_,0,2,2023-2-26-17-26-35-480000_2023-2-26-17-52-53-680000_,5.0
2023-02-27,87.0,1.5,7,2023-2-27-6-35-8-475000-1725.7449996471405_2023-2-27-7-36-43-350000-1657.389999628067_2023-2-27-8-32-44-570000-2303.25_2023-2-27-9-39-2-100000-3108.75_2023-2-27-10-31-5-730000-1.1850001811981201_2023-2-27-11-6-58-75000-1513.3249998092651_2023-2-27-12-8-22-180000-905.9199998378754_,0,3,2023-2-27-10-31-8-520000_2023-2-27-17-14-29-5000_2023-2-27-17-26-42-355000_,5.0
2023-02-28,82.9,-0.0,8,2023-2-28-4-56-40-480000-1445.5149998664856_2023-2-28-6-7-39-795000-1480.1299996376038_2023-2-28-6-57-54-875000-1495.5049998760223_2023-2-28-7-45-58-290000-2036.6600000858307_2023-2-28-8-44-23-990000-2704.604999780655_2023-2-28-9-54-54-785000-3802.6650002002716_2023-2-28-11-43-34-60000-983.5250000953674_2023-2-28-12-31-33-675000-847.6549999713898_,0,1,2023-2-28-17-26-39-435000_,0.0
2023-03-01,83.1,0.7,10,2023-3-1-4-56-30-960000-1440.6349997520447_2023-3-1-5-48-38-735000-1427.8299996852875_2023-3-1-6-31-48-405000-1574.744999885559_2023-3-1-7-17-57-190000-1779.4049997329712_2023-3-1-8-11-19-255000-2421.3799998760223_2023-3-1-9-13-55-635000-3000.734999895096_2023-3-1-10-4-39-730000-0.5900001525878906_2023-3-1-10-30-57-170000-2598.7800002098083_2023-3-1-11-40-1-320000-311.65000009536743_2023-3-1-19-11-2-480000-10.299999713897705_,0,2,2023-3-1-10-4-45-325000_2023-3-1-11-14-16-405000_,5.0
2023-03-02,77.1,-0.0,13,2023-3-2-4-16-1-640000-1402.4599997997284_2023-3-2-4-57-55-910000-12.359999895095825_2023-3-2-4-58-51-530000-1341.284999847412_2023-3-2-5-33-38-215000-1388.8299996852875_2023-3-2-6-6-46-505000-1483.4500000476837_2023-3-2-6-43-45-795000-1719.3249998092651_2023-3-2-7-24-42-600000-1984.545000076294_2023-3-2-8-4-12-365000-313.1199996471405_2023-3-2-8-10-52-5000-2408.4749999046326_2023-3-2-9-6-2-760000-2938.609999895096_2023-3-2-10-8-33-410000-3640.6449999809265_2023-3-2-11-46-42-235000-819.3849997520447_2023-3-2-19-44-4-790000-313.85999965667725_,0,1,2023-3-2-17-41-12-475000_,0.0
2023-03-03,78.5,-0.0,12,2023-3-3-4-32-28-430000-1341.6499998569489_2023-3-3-5-13-45-770000-1250.9499998092651_2023-3-3-5-45-44-50000-1322.2799999713898_2023-3-3-6-14-34-210000-1285.875_2023-3-3-6-43-21-305000-1320.6650002002716_2023-3-3-7-13-43-520000-1454.7599997520447_2023-3-3-7-47-30-710000-1589.104999780655_2023-3-3-8-26-56-645000-2057.2200000286102_2023-3-3-9-15-34-875000-2511.684999704361_2023-3-3-10-11-57-820000-3197.890000104904_2023-3-3-11-38-50-760000-907.3999998569489_2023-3-3-19-54-20-560000-313.3399999141693_,0,2,2023-3-3-17-34-28-465000_2023-3-3-20-11-31-5000_,5.0
2023-03-04,77.0,-0.4,14,2023-3-4-3-54-43-130000-1235.369999885559_2023-3-4-4-35-5-60000-1261.0249998569489_2023-3-4-5-6-28-575000-1068.0849997997284_2023-3-4-5-33-22-550000-1140.9849996566772_2023-3-4-5-58-26-95000-1140.4500000476837_2023-3-4-6-22-0-505000-1135.4700000286102_2023-3-4-6-44-53-145000-1198.5749998092651_2023-3-4-7-8-34-200000-1186.2349998950958_2023-3-4-7-33-59-5000-1338.4749999046326_2023-3-4-8-2-48-570000-1486.2099997997284_2023-3-4-8-35-55-360000-1588.4049999713898_2023-3-4-9-17-54-345000-2242.9049999713898_2023-3-4-10-13-2-720000-2904.0049996376038_2023-3-4-12-18-53-155000-963.0049998760223_,0,1,2023-3-4-9-2-24-70000_,5.0
2023-03-05,72.3,1.5,18,2023-3-5-3-39-6-400000-1516.034999847412_2023-3-5-4-19-9-45000-1378.1050000190735_2023-3-5-4-50-17-290000-1200.5599999427795_2023-3-5-5-14-49-190000-1072.875_2023-3-5-5-35-57-765000-970.2549998760223_2023-3-5-5-54-53-550000-981.7049996852875_2023-3-5-6-13-29-135000-1016.8399999141693_2023-3-5-6-32-37-555000-2066.774999856949_2023-3-5-7-8-2-10000-1020.2249999046326_2023-3-5-7-26-46-695000-1899.6749997138977_2023-3-5-8-1-33-825000-1191.8399999141693_2023-3-5-8-22-38-435000-1305.1499998569489_2023-3-5-8-46-0-405000-1315.7249999046326_2023-3-5-9-9-59-720000-1425.2699999809265_2023-3-5-9-35-32-60000-1475.045000076294_2023-3-5-10-3-13-415000-1535.9199998378754_2023-3-5-10-32-45-475000-1676.3599996566772_2023-3-5-11-7-45-85000-922.2149996757507_,1,0,[],0.0
2023-03-06,74.4,0.0,20,2023-3-6-2-5-2-730000-312.3800001144409_2023-3-6-4-0-43-360000-1837.3199999332428_2023-3-6-4-47-49-670000-1577.184999704361_2023-3-6-5-24-32-25000-1321.7400000095367_2023-3-6-5-53-3-45000-1063.1150000095367_2023-3-6-6-16-14-900000-1029.1149997711182_2023-3-6-6-36-19-625000-994.3099999427795_2023-3-6-6-56-53-965000-2365.6600000858307_2023-3-6-7-38-54-935000-885.4099998474121_2023-3-6-7-54-11-770000-1.4649999141693115_2023-3-6-7-58-59-565000-1076.170000076294_2023-3-6-8-20-52-745000-1090.3849999904633_2023-3-6-8-43-54-80000-1238.9300000667572_2023-3-6-9-9-51-940000-1404.159999847412_2023-3-6-9-39-4-560000-1483.2949998378754_2023-3-6-10-13-14-165000-1824.125_2023-3-6-10-54-20-820000-1296.3900001049042_2023-3-6-21-26-34-330000-444.4099998474121_2023-3-6-21-50-15-940000-356.7699999809265_2023-3-6-22-0-7-390000-519.2299997806549_,0,1,2023-3-6-17-25-44-65000_,0.0
2023-03-07,70.8,-0.1,19,2023-3-7-3-2-41-810000-2275.5350000858307_2023-3-7-3-41-11-725000-1.2250001430511475_2023-3-7-4-3-11-420000-1992.3149998188019_2023-3-7-4-46-1-625000-1481.2999997138977_2023-3-7-5-16-53-725000-1209.8399999141693_2023-3-7-5-41-23-125000-1137.7099997997284_2023-3-7-6-3-5-555000-1053.579999923706_2023-3-7-6-22-50-975000-903.8499999046326_2023-3-7-6-41-8-465000-1974.8099999427795_2023-3-7-7-15-13-185000-1039.0549998283386_2023-3-7-7-32-56-960000-1920.1499998569489_2023-3-7-8-7-3-450000-2236.034999847412_2023-3-7-8-44-42-145000-1163.0099999904633_2023-3-7-9-6-0-515000-1194.494999885559_2023-3-7-9-28-42-980000-1227.3650000095367_2023-3-7-9-49-58-730000-2.194999933242798_2023-3-7-9-56-17-505000-1565.085000038147_2023-3-7-10-29-39-190000-1946.644999742508_2023-3-7-11-15-36-325000-864.2649998664856_,0,2,2023-3-7-3-41-13-705000_2023-3-7-17-29-18-945000_,0.0
2023-03-08,73.6,0.1,17,2023-3-8-23-38-2-20000-1317.98_2023-3-8-4-37-51-90000-3165.6600000858307_2023-3-8-5-55-15-390000-2127.2099997997284_2023-3-8-6-45-36-190000-1568.0699996948242_2023-3-8-7-19-38-60000-1322.4500000476837_2023-3-8-7-47-1-850000-1225.7000000476837_2023-3-8-8-13-0-720000-1236.7349998950958_2023-3-8-8-35-10-995000-1489.1399998664856_2023-3-8-9-4-1-155000-1342.2249999046326_2023-3-8-9-29-37-340000-1312.494999885559_2023-3-8-9-55-44-645000-1317.0749998092651_2023-3-8-10-24-59-80000-1562.204999923706_2023-3-8-10-59-48-555000-1249.4999997615814_2023-3-8-11-44-15-745000-982.4800000190735_2023-3-8-12-15-40-205000-901.164999961853_2023-3-8-15-42-42-200000-333.69999980926514_2023-3-8-15-48-42-680000-313.0799996852875_,0,1,2023-3-8-17-35-55-915000_,0.0
2023-03-09,38.4,0.2,10,2023-3-9-0-0-0-0-415.115_2023-3-9-23-6-51-160000-3188.84_2023-3-9-0-12-50-150000-1923.5299997329712_2023-3-9-0-49-37-950000-2170.5_2023-3-9-1-28-1-610000-39552.889999866486_2023-3-9-12-39-38-990000-2237.4299998283386_2023-3-9-13-28-25-770000-395.7499997615814_2023-3-9-14-26-20-80000-1301.505000114441_2023-3-9-14-51-15-175000-326.6799998283386_2023-3-9-15-7-48-5000-1707.7349998950958_,0,2,2023-3-9-17-33-29-145000_2023-3-9-17-41-43-345000_,35.0
2023-03-10,45.3,0.0,1,2023-3-10-0-0-0-0-47221.765_,0,1,2023-3-10-17-18-8-815000_,5.0
