fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-1786.1,1,2023-1-1-0-0-0-0-0.43_,1,1,2023-1-1-15-52-47-720000_,20.0
2023-01-02,100,-1775.6,0,[],1,0,[],25.0
2023-01-03,45.7,-1616.2,1,2023-1-3-10-58-38-135000-46881.865_,0,0,[],30.0
2023-01-04,34.5,-2386.5,2,2023-1-4-0-0-0-0-56567.35_2023-1-4-15-43-33-730000-2.1549999713897705_,1,0,[],40.0
2023-01-05,100,-1852.6,0,[],3,0,[],40.0
2023-01-06,100,-1812.1,0,[],0,2,2023-1-6-13-45-42-720000_2023-1-6-17-13-41-370000_,40.0
2023-01-07,100,-1813.1,0,[],0,1,2023-1-7-6-19-22-40000_,40.0
2023-01-08,100,-1774.5,0,[],4,2,2023-1-8-15-45-56-295000_2023-1-8-17-33-30-145000_,40.0
2023-01-09,100,-1752.5,0,[],1,2,2023-1-9-18-18-20-555000_2023-1-9-18-32-17-55000_,40.0
2023-01-10,100,-1675.0,0,[],0,7,2023-1-10-8-3-39-135000_2023-1-10-17-2-18-185000_2023-1-10-17-3-46-85000_2023-1-10-17-16-14-935000_2023-1-10-17-40-49-685000_2023-1-10-17-50-35-935000_2023-1-10-19-39-30-235000_,30.0
2023-01-11,45.8,-1610.2,1,2023-1-11-11-0-3-35000-46796.965_,0,0,[],35.0
2023-01-12,30.8,-2315.9,2,2023-1-12-0-0-0-0-59748.35_2023-1-12-16-36-33-775000-2.674999952316284_,0,1,2023-1-12-16-36-37-55000_,50.0
2023-01-13,100,-1806.0,0,[],1,3,2023-1-13-7-23-15-605000_2023-1-13-15-22-38-735000_2023-1-13-16-43-4-235000_,35.0
2023-01-14,100,-1788.7,0,[],0,2,2023-1-14-10-1-36-100000_2023-1-14-17-29-8-350000_,35.0
2023-01-15,100,-1752.5,0,[],0,2,2023-1-15-18-49-1-630000_2023-1-15-22-16-50-830000_,35.0
2023-01-16,100,-1734.1,0,[],2,4,2023-1-16-4-15-54-975000_2023-1-16-7-39-5-825000_2023-1-16-17-28-55-235000_2023-1-16-18-25-34-935000_,35.0
2023-01-17,100,-1736.9,0,[],0,0,[],35.0
2023-01-18,100,-1744.0,0,[],0,2,2023-1-18-17-26-24-380000_2023-1-18-17-33-1-530000_,40.0
2023-01-19,100,-1740.0,0,[],2,4,2023-1-19-11-34-49-80000_2023-1-19-13-50-29-730000_2023-1-19-15-58-40-360000_2023-1-19-17-28-1-460000_,35.0
2023-01-20,12.2,-1740.6,1,2023-1-20-2-55-22-885000-75877.115_,0,0,[],30.0
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,80.9,-1736.5,1,2023-1-24-0-0-0-0-16528.395_,0,2,2023-1-24-17-27-14-895000_2023-1-24-18-48-21-845000_,35.0
2023-01-25,100.0,-1733.5,2,2023-1-25-14-48-56-270000-23.229999542236328_2023-1-25-14-51-49-680000-10.389999866485596_,0,0,[],40.0
2023-01-26,100,-1739.8,0,[],0,0,[],40.0
2023-01-27,100.0,-1733.1,1,2023-1-27-14-50-16-330000-19.019999980926514_,0,0,[],45.0
2023-01-28,100,-1704.1,0,[],0,0,[],40.0
2023-01-29,100,-1673.2,0,[],1,1,2023-1-29-17-27-38-45000_,45.0
2023-01-30,100.0,-1679.5,1,2023-1-30-16-42-4-780000-12.899999856948853_,0,0,[],40.0
2023-01-31,100,-1704.0,0,[],0,4,2023-1-31-10-2-2-615000_2023-1-31-13-12-40-565000_2023-1-31-13-18-42-365000_2023-1-31-17-29-34-415000_,40.0
2023-02-01,100,-1714.5,0,[],0,1,2023-2-1-19-52-26-315000_,45.0
2023-02-02,100,-1690.5,0,[],1,0,[],45.0
2023-02-03,100,-1652.1,0,[],0,1,2023-2-3-17-27-27-345000_,35.0
2023-02-04,100,-1672.9,0,[],1,1,2023-2-4-17-29-8-535000_,40.0
2023-02-05,100,-1678.1,0,[],0,1,2023-2-5-17-56-45-635000_,35.0
2023-02-06,100,-1684.9,0,[],0,9,2023-2-6-1-43-28-645000_2023-2-6-1-45-27-595000_2023-2-6-1-46-53-795000_2023-2-6-1-50-29-595000_2023-2-6-1-51-49-945000_2023-2-6-1-54-14-345000_2023-2-6-1-55-44-145000_2023-2-6-1-57-9-395000_2023-2-6-11-8-3-595000_,35.0
2023-02-07,64.0,-1777.6,4,2023-2-7-5-56-25-950000-30957.240000009537_2023-2-7-14-35-1-620000-27.130000114440918_2023-2-7-14-36-25-440000-80.67999982833862_2023-2-7-14-41-16-880000-79.43999981880188_,0,1,2023-2-7-2-57-41-905000_,10.0
2023-02-08,100,-1687.1,0,[],0,1,2023-2-8-17-26-23-445000_,40.0
2023-02-09,100,-1676.1,0,[],0,1,2023-2-9-17-27-11-355000_,40.0
2023-02-10,100,-1674.3,0,[],1,0,[],40.0
2023-02-11,100,-1679.9,0,[],0,1,2023-2-11-18-20-39-365000_,40.0
2023-02-12,100,-1680.3,0,[],0,1,2023-2-12-17-31-20-915000_,40.0
2023-02-13,100,-1684.1,0,[],1,1,2023-2-13-17-31-36-795000_,35.0
2023-02-14,33.0,-1600.0,1,2023-2-14-7-55-10-500000-57889.5_,0,0,[],25.0
2023-02-15,0,-9,0,[],0,0,[],-9
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,11.2,-1846.0,1,2023-2-17-0-0-0-0-76703.755_,0,0,[],40.0
2023-02-18,2.2,-1712.4,1,2023-2-18-0-32-3-220000-84476.78_,0,0,[],-9
2023-02-19,9.4,-1978.1,1,2023-2-19-0-0-0-0-78294.03_,0,1,2023-2-19-21-45-3-180000_,40.0
2023-02-20,24.2,-2136.1,1,2023-2-20-2-39-8-505000-65507.16499996185_,0,0,[],75.0
2023-02-21,47.3,-1852.3,2,2023-2-21-9-16-15-600000-45571.795000076294_2023-2-21-21-56-39-730000-1.6800000667572021_,0,3,2023-2-21-2-32-2-405000_2023-2-21-21-56-42-115000_2023-2-21-21-57-32-615000_,35.0
2023-02-22,100,-1777.7,0,[],0,0,[],40.0
2023-02-23,45.4,-1571.1,1,2023-2-23-10-53-40-780000-47179.22_,0,0,[],40.0
2023-02-24,38.5,-2406.5,2,2023-2-24-0-0-0-0-53165.35_2023-2-24-14-46-40-770000-1.1549997329711914_,0,3,2023-2-24-14-46-42-280000_2023-2-24-14-47-32-580000_2023-2-24-17-28-59-430000_,45.0
2023-02-25,100.0,-1750.0,1,2023-2-25-22-42-28-925000-16.08999991416931_,0,0,[],40.0
2023-02-26,48.9,-1568.3,1,2023-2-26-11-43-57-805000-44162.195_,0,0,[],40.0
2023-02-27,35.0,-1850.2,1,2023-2-27-0-0-0-0-56150.96_,2,1,2023-2-27-17-26-38-420000_,40.0
2023-02-28,100,-1698.4,0,[],1,1,2023-2-28-17-26-41-960000_,30.0
2023-03-01,31.0,-1656.9,1,2023-3-1-7-26-17-215000-59622.785_,1,0,[],25.0
