fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-1079.1,1,2023-1-1-0-0-0-0-2.384538_,0,0,[],35.0
2023-01-02,100,-1097.1,0,[],0,1,2023-1-2-18-46-49-284538_,35.0
2023-01-03,100,-1099.1,0,[],0,0,[],35.0
2023-01-04,100,-1059.5,0,[],0,0,[],35.0
2023-01-05,100,-1015.5,0,[],0,0,[],35.0
2023-01-06,100,-991.9,0,[],0,2,2023-1-6-2-0-27-764538_2023-1-6-4-38-11-914538_,35.0
2023-01-07,100,-1003.7,0,[],0,1,2023-1-7-18-18-54-229538_,35.0
2023-01-08,100,-999.0,0,[],0,0,[],35.0
2023-01-09,100,-1008.5,0,[],0,0,[],35.0
2023-01-10,100,-1021.3,0,[],0,0,[],35.0
2023-01-11,100,-1019.8,0,[],0,0,[],35.0
2023-01-12,100,-970.9,0,[],0,0,[],35.0
2023-01-13,88.8,-869.6,1,2023-1-13-10-8-59-979538-9649.0_,0,0,[],30.0
2023-01-14,100,-1248.5,0,[],0,1,2023-1-14-11-34-4-409538_,35.0
2023-01-15,84.0,-1062.7,1,2023-1-15-8-40-34-979538-13784.000000715256_,0,0,[],30.0
2023-01-16,89.3,-1113.8,1,2023-1-16-9-57-49-979536-9204.000002861023_,0,0,[],30.0
2023-01-17,100,-1338.7,0,[],0,0,[],35.0
2023-01-18,100,-1380.3,0,[],0,0,[],35.0
2023-01-19,100,-1425.1,0,[],0,0,[],35.0
2023-01-20,100,-1398.0,0,[],1,0,[],35.0
2023-01-21,100,-1380.9,0,[],0,0,[],35.0
2023-01-22,100,-1397.8,0,[],0,0,[],35.0
2023-01-23,100,-1444.2,0,[],0,0,[],35.0
2023-01-24,100,-1466.1,0,[],0,0,[],35.0
2023-01-25,100,-1446.8,0,[],2,0,[],35.0
2023-01-26,100,-1484.1,0,[],0,1,2023-1-26-4-31-22-889538_,35.0
2023-01-27,100,-1507.3,0,[],1,1,2023-1-27-4-35-37-789538_,35.0
2023-01-28,100,-1546.5,0,[],0,0,[],35.0
2023-01-29,100,-1562.3,0,[],0,0,[],35.0
2023-01-30,100,-1621.8,0,[],1,0,[],35.0
2023-01-31,100,-1626.2,0,[],0,0,[],35.0
2023-02-01,100,-1617.3,0,[],0,0,[],35.0
2023-02-02,100,-1636.8,0,[],0,0,[],35.0
2023-02-03,100,-1590.8,0,[],0,0,[],35.0
2023-02-04,100,-1644.4,0,[],0,0,[],35.0
2023-02-05,100,-1630.7,0,[],0,0,[],35.0
2023-02-06,100,-1612.8,0,[],0,1,2023-2-6-16-19-57-584539_,35.0
2023-02-07,100,-1581.2,0,[],1,0,[],35.0
2023-02-08,100,-1581.1,0,[],0,0,[],35.0
2023-02-09,100,-1591.2,0,[],0,0,[],35.0
2023-02-10,100,-1618.2,0,[],0,0,[],35.0
2023-02-11,100,-1594.6,0,[],0,0,[],35.0
2023-02-12,100,-1596.3,0,[],0,0,[],35.0
2023-02-13,100,-1637.5,0,[],0,0,[],35.0
2023-02-14,100,-1678.3,0,[],1,1,2023-2-14-21-43-53-334538_,35.0
2023-02-15,100,-1723.8,0,[],2,0,[],35.0
2023-02-16,100,-1772.6,0,[],1,1,2023-2-16-3-21-32-934538_,35.0
2023-02-17,100,-1963.3,0,[],0,0,[],35.0
2023-02-18,100,-2039.2,0,[],1,2,2023-2-18-7-25-38-379538_2023-2-18-23-47-32-484538_,35.0
2023-02-19,100,-2109.8,0,[],1,0,[],35.0
2023-02-20,100,-2114.7,0,[],1,0,[],35.0
2023-02-21,100,-2173.4,0,[],0,0,[],35.0
2023-02-22,100,-2207.6,0,[],0,1,2023-2-22-9-26-34-194538_,35.0
2023-02-23,100,-2205.7,0,[],0,0,[],35.0
2023-02-24,100,-2185.0,0,[],0,0,[],35.0
2023-02-25,100,-2257.4,0,[],1,0,[],35.0
2023-02-26,100,-2269.0,0,[],1,0,[],35.0
2023-02-27,100,-2291.6,0,[],0,1,2023-2-27-13-48-15-584538_,35.0
2023-02-28,100,-2304.7,0,[],0,0,[],35.0
2023-03-01,100,-2317.1,0,[],1,0,[],35.0
2023-03-02,100,-2314.1,0,[],1,0,[],35.0
2023-03-03,100,-2325.0,0,[],0,2,2023-3-3-0-39-59-394538_2023-3-3-12-10-50-594538_,35.0
2023-03-04,100,-2345.4,0,[],0,0,[],35.0
2023-03-05,100,-2479.8,0,[],0,0,[],35.0
2023-03-06,100,-2544.8,0,[],0,0,[],35.0
2023-03-07,82.2,-2319.9,1,2023-3-7-8-10-33-979538-15405.000000715256_,0,0,[],30.0
2023-03-08,100,-2566.7,0,[],0,0,[],35.0
2023-03-09,100,-2573.5,0,[],0,1,2023-3-9-16-3-29-364538_,35.0
2023-03-10,78.2,-2297.1,1,2023-3-10-7-20-21-979538-18801.000000715256_,0,0,[],30.0
2023-03-11,100,-2598.8,0,[],0,0,[],35.0
2023-03-12,54.2,-2110.8,1,2023-3-12-2-24-44-979538-39598.000000715256_,0,0,[],20.0
2023-03-13,92.3,-2419.2,1,2023-3-13-10-40-4-979538-6669.000000715256_,0,1,2023-3-13-3-14-22-284538_,35.0
2023-03-14,52.2,-2003.1,1,2023-3-14-0-52-41-979538-41288.000000715256_,0,0,[],15.0
2023-03-15,100,-2552.7,0,[],0,0,[],35.0
2023-03-16,84.7,-2335.1,1,2023-3-16-8-48-47-979538-13262.000000715256_,0,0,[],30.0
2023-03-17,88.0,-2365.9,1,2023-3-17-9-33-52-979538-10376.000000715256_,0,0,[],35.0
2023-03-18,100,-2611.7,0,[],0,0,[],40.0
2023-03-19,93.9,-2428.1,1,2023-3-19-10-40-2-979538-5297.000000715256_,0,0,[],35.0
2023-03-20,100,-2580.1,0,[],0,0,[],35.0
2023-03-21,100,-2621.4,0,[],0,0,[],35.0
2023-03-22,100,-2682.1,0,[],0,1,2023-3-22-18-19-23-354538_,35.0
2023-03-23,100,-2741.7,0,[],0,0,[],35.0
2023-03-24,100,-2706.7,0,[],0,0,[],35.0
2023-03-25,100,-2681.0,0,[],0,0,[],35.0
2023-03-26,100,-2728.7,0,[],0,1,2023-3-26-18-9-56-769538_,35.0
2023-03-27,100,-2762.4,0,[],1,0,[],35.0
2023-03-28,100,-2788.5,0,[],2,0,[],35.0
2023-03-29,100,-2824.7,0,[],1,0,[],35.0
2023-03-30,100,-2855.3,0,[],2,2,2023-3-30-10-26-21-69538_2023-3-30-13-43-48-419538_,35.0
2023-03-31,100,-2890.8,0,[],0,1,2023-3-31-16-8-35-59538_,35.0
2023-04-01,100,-2944.3,0,[],0,0,[],35.0
2023-04-02,100,-3000.8,0,[],0,0,[],35.0
2023-04-03,100,-3043.0,0,[],0,0,[],35.0
2023-04-04,100,-3050.0,0,[],0,0,[],35.0
2023-04-05,100,-3115.9,0,[],2,0,[],35.0
2023-04-06,100,-3122.6,0,[],0,0,[],35.0
2023-04-07,100.0,-3161.4,1,2023-4-7-13-46-12-979538-20.0_,0,0,[],35.0
2023-04-08,100,-3189.0,0,[],0,0,[],35.0
2023-04-09,100,-3207.7,0,[],0,0,[],35.0
2023-04-10,100,-3243.8,0,[],0,0,[],35.0
2023-04-11,100,-3276.6,0,[],0,0,[],35.0
2023-04-12,93.5,-3344.4,91,2023-4-12-16-11-53-979538-225.0_2023-4-12-16-16-0-979538-115.0_2023-4-12-16-18-29-979538-88.0_2023-4-12-16-20-5-979538-7.0_2023-4-12-16-20-13-979538-112.0_2023-4-12-16-22-11-979538-33.0_2023-4-12-16-23-37-979538-75.0_2023-4-12-16-25-15-979538-1.0_2023-4-12-16-40-38-979538-37.0_2023-4-12-16-41-48-979538-71.0_2023-4-12-16-43-10-979538-28.0_2023-4-12-16-43-40-979538-17.0_2023-4-12-16-44-18-979538-82.0_2023-4-12-16-45-58-979538-25.0_2023-4-12-16-46-31-979538-70.0_2023-4-12-16-48-16-979538-85.0_2023-4-12-16-49-56-979538-9.0_2023-4-12-16-50-12-979538-132.00000071525574_2023-4-12-16-52-52-979539-115.99999976158142_2023-4-12-16-55-13-979539-123.99999904632568_2023-4-12-16-58-1-979538-6.0_2023-4-12-16-58-11-979538-14.0_2023-4-12-16-58-29-979538-219.0_2023-4-12-17-2-23-979538-23.0_2023-4-12-17-2-54-979538-189.0_2023-4-12-17-6-26-979538-201.0_2023-4-12-17-10-35-979538-80.0_2023-4-12-17-11-56-979538-18.0_2023-4-12-17-13-10-979538-4.0_2023-4-12-17-13-35-979538-2.0_2023-4-12-17-13-52-979538-5.0_2023-4-12-17-13-58-979538-203.0_2023-4-12-17-18-19-979538-72.00000071525574_2023-4-12-17-20-5-979539-90.99999904632568_2023-4-12-17-22-12-979538-77.0_2023-4-12-17-24-1-979538-321.0_2023-4-12-17-29-28-979538-269.00000071525574_2023-4-12-17-35-45-979539-82.99999904632568_2023-4-12-17-37-10-979538-14.0_2023-4-12-17-37-42-979538-6.0_2023-4-12-17-38-9-979538-7.0_2023-4-12-17-38-48-979538-73.0_2023-4-12-17-40-3-979538-19.0_2023-4-12-17-40-52-979538-86.0_2023-4-12-17-42-24-979538-18.0_2023-4-12-17-43-4-979538-6.0_2023-4-12-17-43-12-979538-76.0_2023-4-12-17-44-38-979538-126.0_2023-4-12-17-47-0-979538-126.0_2023-4-12-17-49-24-979538-81.0_2023-4-12-17-53-4-979538-59.0_2023-4-12-17-54-29-979538-16.0_2023-4-12-17-54-49-979538-90.0_2023-4-12-17-56-28-979538-28.0_2023-4-12-17-56-57-979538-120.0_2023-4-12-17-59-20-979538-5.0_2023-4-12-18-0-54-979538-33.0_2023-4-12-18-10-28-979538-42.0_2023-4-12-18-11-48-979538-7.0_2023-4-12-18-12-9-979538-6.000000715255737_2023-4-12-18-12-27-979539-11.999999046325684_2023-4-12-18-12-53-979538-91.00000071525574_2023-4-12-18-14-48-979539-0.9999990463256836_2023-4-12-18-15-10-979538-20.0_2023-4-12-18-15-49-979538-79.0_2023-4-12-18-18-4-979538-5.0_2023-4-12-18-18-16-979538-12.0_2023-4-12-18-18-33-979538-15.0_2023-4-12-18-19-6-979538-7.0_2023-4-12-18-19-26-979538-11.0_2023-4-12-18-22-4-979538-159.0_2023-4-12-18-26-39-979538-7.0_2023-4-12-18-26-48-979538-15.0_2023-4-12-18-27-13-979538-10.0_2023-4-12-18-27-35-979538-10.0_2023-4-12-18-28-30-979538-3.0_2023-4-12-18-29-6-979538-6.0_2023-4-12-18-29-26-979538-10.0_2023-4-12-18-29-59-979538-1.0_2023-4-12-18-30-28-979538-4.0_2023-4-12-18-30-42-979538-31.0_2023-4-12-18-31-18-979538-215.0_2023-4-12-18-35-17-979538-1.0_2023-4-12-18-35-40-979538-2.0_2023-4-12-18-57-58-979538-45.0_2023-4-12-19-7-2-979538-76.0_2023-4-12-19-8-20-979538-20.000000715255737_2023-4-12-19-9-5-979539-77.99999904632568_2023-4-12-19-21-43-979538-115.0_2023-4-12-19-24-5-979538-74.0_2023-4-12-19-25-22-979538-113.0_,0,0,[],40.0
2023-04-13,100,-3373.8,0,[],0,1,2023-4-13-8-28-12-554538_,35.0
2023-04-14,100,-3390.7,0,[],0,0,[],35.0
2023-04-15,100,-3471.7,0,[],0,0,[],35.0
2023-04-16,100,-3495.2,0,[],0,0,[],35.0
