fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-131.4,1,2023-1-1-0-0-0-0-2.538393_,0,0,[],35.0
2023-01-02,100,-80.5,0,[],0,1,2023-1-2-5-39-50-808391_,35.0
2023-01-03,100,-26.3,0,[],0,0,[],35.0
2023-01-04,100,-155.0,0,[],0,6,2023-1-4-11-34-28-548391_2023-1-4-15-27-56-598391_2023-1-4-16-22-33-748391_2023-1-4-19-15-9-598391_2023-1-4-22-3-13-148391_2023-1-4-22-56-55-298391_,40.0
2023-01-05,100,-57.3,0,[],0,0,[],40.0
2023-01-06,76.8,23.4,1,2023-1-6-9-40-33-958393-20025.000000953674_,0,0,[],25.0
2023-01-07,63.3,-219.0,1,2023-1-7-3-43-7-958393-31685.000002861023_,0,0,[],35.0
2023-01-08,88.1,-87.6,1,2023-1-8-11-51-44-958393-10294.000000953674_,0,0,[],30.0
2023-01-09,63.8,-202.6,1,2023-1-9-3-50-14-958393-31319.000002861023_,0,0,[],30.0
2023-01-10,100,-144.6,0,[],0,1,2023-1-10-20-1-22-238391_,40.0
2023-01-11,100,-181.5,0,[],0,6,2023-1-11-15-59-16-808391_2023-1-11-17-10-43-558391_2023-1-11-18-33-39-708391_2023-1-11-20-9-29-58391_2023-1-11-21-10-42-358391_2023-1-11-22-29-34-858391_,35.0
2023-01-12,100,-77.0,0,[],0,1,2023-1-12-20-32-53-78391_,35.0
2023-01-13,100,-55.9,0,[],0,0,[],35.0
2023-01-14,100,-134.1,0,[],0,1,2023-1-14-3-24-50-978391_,40.0
2023-01-15,100,-161.9,0,[],0,2,2023-1-15-19-55-22-608391_2023-1-15-21-4-44-58391_,40.0
2023-01-16,100,-134.7,0,[],0,3,2023-1-16-8-47-13-538393_2023-1-16-17-38-0-288393_2023-1-16-17-42-47-788393_,45.0
2023-01-17,100,-179.4,0,[],0,0,[],45.0
2023-01-18,100,-155.1,0,[],0,0,[],45.0
2023-01-19,100,-243.4,0,[],0,1,2023-1-19-16-46-51-608391_,40.0
2023-01-20,100,-242.7,0,[],1,2,2023-1-20-17-20-54-268394_2023-1-20-22-15-29-568394_,35.0
2023-01-21,100,-122.0,0,[],0,0,[],40.0
2023-01-22,100,-133.9,0,[],0,0,[],40.0
2023-01-23,100,-226.1,0,[],0,2,2023-1-23-17-55-38-618393_2023-1-23-22-36-52-168393_,35.0
2023-01-24,100,-162.9,0,[],0,1,2023-1-24-12-50-12-788391_,35.0
2023-01-25,100,-258.4,0,[],2,4,2023-1-25-8-2-50-728393_2023-1-25-17-45-49-68397_2023-1-25-17-50-27-968397_2023-1-25-18-6-28-268397_,40.0
2023-01-26,100,-216.9,0,[],0,4,2023-1-26-6-16-44-158391_2023-1-26-6-18-23-508391_2023-1-26-17-32-34-108391_2023-1-26-19-4-49-858391_,55.0
2023-01-27,100,-165.1,0,[],1,4,2023-1-27-2-31-46-928391_2023-1-27-4-35-53-328391_2023-1-27-18-20-22-618393_2023-1-27-18-21-35-18393_,55.0
2023-01-28,100,-228.0,0,[],0,0,[],45.0
2023-01-29,100,-149.3,0,[],0,1,2023-1-29-20-12-11-268391_,40.0
2023-01-30,100,-144.7,0,[],1,1,2023-1-30-20-42-28-268394_,35.0
2023-01-31,100,-124.8,0,[],0,1,2023-1-31-8-44-22-598391_,35.0
2023-02-01,100,-117.9,0,[],0,1,2023-2-1-14-16-59-138391_,35.0
2023-02-02,100,-167.5,0,[],0,1,2023-2-2-20-26-14-268391_,35.0
2023-02-03,100,-229.4,0,[],0,2,2023-2-3-20-12-3-708391_2023-2-3-23-26-37-908391_,35.0
2023-02-04,100,-160.7,0,[],0,1,2023-2-4-22-1-17-528391_,45.0
2023-02-05,100,-207.9,0,[],0,0,[],35.0
2023-02-06,100,-247.6,0,[],0,1,2023-2-6-15-23-55-228391_,35.0
2023-02-07,100,-248.8,0,[],1,2,2023-2-7-18-56-52-618394_2023-2-7-18-57-54-118394_,50.0
2023-02-08,100,-162.0,0,[],0,3,2023-2-8-17-16-2-828393_2023-2-8-22-18-43-428393_2023-2-8-22-35-8-128393_,45.0
2023-02-09,100,-102.1,0,[],0,1,2023-2-9-3-17-10-638391_,45.0
