fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-282774.7,1,2023-1-1-0-0-0-0-2.838393_,0,0,[],20.0
2023-01-02,100,-281855.6,0,[],0,0,[],25.0
2023-01-03,100,-282052.1,0,[],0,0,[],25.0
2023-01-04,100,-278244.8,0,[],0,0,[],25.0
2023-01-05,100,-281896.1,0,[],0,0,[],25.0
2023-01-06,77.7,-283633.7,2,2023-1-6-9-40-27-958393-19294.99999976158_2023-1-6-15-14-10-958393-2.0000009536743164_,0,0,[],30.0
2023-01-07,64.2,-285154.7,2,2023-1-7-3-43-9-958393-30925.99999976158_2023-1-7-12-30-41-958393-2.0000009536743164_,0,0,[],30.0
2023-01-08,88.9,-286899.8,2,2023-1-8-11-51-43-958393-9560.999999761581_2023-1-8-14-43-46-958393-2.0000009536743164_,0,0,[],25.0
2023-01-09,64.6,-293491.8,2,2023-1-9-3-50-10-958393-30601.99999976158_2023-1-9-12-32-11-958393-2.0000009536743164_,0,0,[],30.0
2023-01-10,100,-308934.4,0,[],0,0,[],15.0
2023-01-11,100,-308241.0,0,[],0,0,[],15.0
2023-01-12,100,-317946.1,0,[],0,0,[],20.0
2023-01-13,100,-320556.0,0,[],0,0,[],20.0
2023-01-14,100,-321834.1,0,[],0,0,[],20.0
2023-01-15,100,-323432.0,0,[],0,0,[],15.0
2023-01-16,100,-322022.2,0,[],0,0,[],10.0
2023-01-17,100,-323306.1,0,[],0,0,[],10.0
2023-01-18,100,-326836.6,0,[],0,0,[],5.0
2023-01-19,100,-325609.0,0,[],0,0,[],15.0
2023-01-20,100,-320846.4,0,[],1,0,[],15.0
2023-01-21,100,-323392.9,0,[],0,0,[],15.0
2023-01-22,100,-327197.8,0,[],0,0,[],10.0
2023-01-23,100,-314131.0,0,[],0,1,2023-1-23-11-18-58-348393_,20.0
2023-01-24,100,-316057.3,0,[],0,0,[],15.0
2023-01-25,100,-307907.1,0,[],2,0,[],15.0
2023-01-26,100,-303552.6,0,[],0,0,[],10.0
2023-01-27,100,-306248.0,0,[],1,0,[],15.0
2023-01-28,100,-300847.3,0,[],0,0,[],10.0
2023-01-29,100,-297954.2,0,[],0,0,[],10.0
2023-01-30,100,-297454.7,0,[],1,0,[],15.0
2023-01-31,100,-297628.1,0,[],0,0,[],20.0
2023-02-01,100,-297679.9,0,[],0,0,[],15.0
2023-02-02,100,-293575.1,0,[],0,0,[],20.0
2023-02-03,100,-291126.5,0,[],0,0,[],15.0
2023-02-04,100,-299923.9,0,[],0,0,[],15.0
2023-02-05,100,-296168.8,0,[],0,0,[],15.0
2023-02-06,100,-290231.5,0,[],0,0,[],5.0
2023-02-07,100,-286870.0,0,[],1,0,[],15.0
2023-02-08,100,-288907.3,0,[],0,0,[],15.0
2023-02-09,100,-287496.8,0,[],0,0,[],15.0
2023-02-10,100,-288990.0,0,[],0,0,[],15.0
2023-02-11,100,-286652.1,0,[],0,0,[],20.0
2023-02-12,100,-283671.9,0,[],0,0,[],15.0
2023-02-13,100,-284026.7,0,[],0,0,[],15.0
2023-02-14,100,-282110.7,0,[],1,0,[],15.0
2023-02-15,100,-285158.9,0,[],2,0,[],15.0
2023-02-16,100,-293100.9,0,[],1,0,[],20.0
2023-02-17,100,-289686.3,0,[],0,0,[],25.0
2023-02-18,100,-297925.5,0,[],1,0,[],25.0
2023-02-19,100,-291152.4,0,[],1,0,[],20.0
2023-02-20,100,-288744.0,0,[],1,1,2023-2-20-3-44-32-338393_,20.0
2023-02-21,100,-284030.7,0,[],0,0,[],25.0
2023-02-22,100,-287885.3,0,[],0,0,[],25.0
2023-02-23,100,-288203.6,0,[],0,0,[],20.0
2023-02-24,100,-284504.0,0,[],0,0,[],25.0
2023-02-25,100,-289531.6,0,[],1,0,[],25.0
2023-02-26,100,-288820.7,0,[],1,0,[],25.0
2023-02-27,94.3,-284213.7,2,2023-2-27-20-31-28-958393-4961.999999761581_2023-2-27-22-6-9-958393-2.999999761581421_,0,0,[],25.0
2023-02-28,100,-278654.6,0,[],0,0,[],20.0
2023-03-01,100,-279653.2,0,[],1,0,[],20.0
2023-03-02,100,-283282.5,0,[],1,0,[],15.0
2023-03-03,100,-282017.0,0,[],0,0,[],15.0
2023-03-04,100,-281328.1,0,[],0,0,[],20.0
2023-03-05,100,-282841.3,0,[],0,0,[],25.0
2023-03-06,100,-285221.0,0,[],0,1,2023-3-6-11-35-5-248393_,20.0
2023-03-07,100,-292779.5,0,[],0,1,2023-3-7-4-0-51-948394_,10.0
2023-03-08,100,-289070.8,0,[],0,0,[],25.0
2023-03-09,100,-299826.7,0,[],0,0,[],25.0
2023-03-10,84.9,-305623.2,2,2023-3-10-17-46-44-958393-13002.999999761581_2023-3-10-21-35-16-958393-1.999999761581421_,0,1,2023-3-10-9-21-26-98393_,25.0
2023-03-11,100,-309034.6,0,[],0,0,[],25.0
2023-03-12,86.7,-309915.7,2,2023-3-12-17-34-56-958393-11518.999999761581_2023-3-12-20-58-46-958393-2.999999761581421_,0,0,[],25.0
2023-03-13,100,-311406.1,0,[],0,1,2023-3-13-3-9-20-898393_,25.0
2023-03-14,100,-305181.2,0,[],0,0,[],25.0
2023-03-15,100,-305707.2,0,[],0,1,2023-3-15-10-34-25-88393_,25.0
2023-03-16,79.8,-304992.5,2,2023-3-16-17-31-35-958393-17427.99999976158_2023-3-16-22-34-40-958393-2.999999761581421_,0,0,[],30.0
2023-03-17,85.0,-299126.7,2,2023-3-17-18-41-11-958393-12986.999999761581_2023-3-17-22-29-45-958393-2.0000009536743164_,0,0,[],30.0
2023-03-18,79.0,-292398.4,2,2023-3-18-17-32-59-958394-18115.999998807907_2023-3-18-22-47-16-958393-3.0000009536743164_,0,2,2023-3-18-17-15-26-948394_2023-3-18-17-16-20-648394_,30.0
2023-03-19,100,-281620.7,0,[],0,1,2023-3-19-11-26-27-828394_,25.0
2023-03-20,89.2,-274594.6,2,2023-3-20-19-35-32-958393-9361.999999761581_2023-3-20-22-23-45-958393-3.0000009536743164_,0,0,[],25.0
2023-03-21,100,-270668.6,0,[],0,0,[],25.0
2023-03-22,100,-269264.5,0,[],0,0,[],20.0
2023-03-23,100,-267403.3,0,[],0,0,[],20.0
2023-03-24,100,-275505.3,0,[],0,0,[],20.0
2023-03-25,100,-278405.3,0,[],0,0,[],25.0
2023-03-26,100,-279601.6,0,[],0,0,[],25.0
2023-03-27,100,-271779.3,0,[],1,0,[],25.0
2023-03-28,85.5,-268442.0,2,2023-3-28-17-38-4-958393-12541.999999761581_2023-3-28-21-19-16-958393-2.0000009536743164_,1,0,[],25.0
2023-03-29,100,-271154.3,0,[],1,0,[],15.0
2023-03-30,100,-273512.3,0,[],2,0,[],10.0
2023-03-31,100,-275165.6,0,[],0,0,[],15.0
2023-04-01,100,-272944.4,0,[],0,1,2023-4-1-5-7-36-918393_,25.0
2023-04-02,100,-276699.0,0,[],0,0,[],25.0
2023-04-03,100,-273501.6,0,[],0,0,[],20.0
2023-04-04,100,-283667.4,0,[],0,0,[],20.0
2023-04-05,84.2,-282304.8,2,2023-4-5-17-38-26-958393-13605.999999761581_2023-4-5-21-37-10-958393-2.0000009536743164_,1,0,[],25.0
2023-04-06,100,-289603.3,0,[],0,0,[],25.0
2023-04-07,100,-287271.9,0,[],0,0,[],25.0
2023-04-08,81.5,-287613.5,2,2023-4-8-17-33-31-958393-16013.999999761581_2023-4-8-22-12-16-958393-2.0000009536743164_,0,0,[],25.0
2023-04-09,100,-274570.3,0,[],0,0,[],20.0
2023-04-10,100,-262994.4,0,[],0,0,[],20.0
2023-04-11,100,-262689.5,0,[],0,0,[],20.0
2023-04-12,100,-269813.1,0,[],0,0,[],20.0
2023-04-13,93.0,-273645.6,2,2023-4-13-20-26-58-958393-6041.999999761581_2023-4-13-22-19-45-958393-2.0000009536743164_,0,0,[],25.0
2023-04-14,100,-273793.5,0,[],0,0,[],25.0
2023-04-15,100,-271505.9,0,[],0,1,2023-4-15-3-51-33-548393_,25.0
2023-04-16,100,-282788.3,0,[],0,0,[],20.0
2023-04-17,94.6,-287050.5,2,2023-4-17-20-43-6-958393-4689.999999761581_2023-4-17-22-13-46-958393-2.0000009536743164_,2,0,[],25.0
2023-04-18,100,-291483.8,0,[],0,0,[],25.0
2023-04-19,100,-285572.9,0,[],3,0,[],25.0
2023-04-20,100,-283845.0,0,[],0,0,[],25.0
2023-04-21,94.6,-281256.2,2,2023-4-21-18-58-41-958393-4643.999999761581_2023-4-21-20-28-15-958393-3.0000009536743164_,0,0,[],25.0
2023-04-22,100,-289955.5,0,[],0,0,[],25.0
2023-04-23,100,-285966.0,0,[],0,0,[],25.0
2023-04-24,100,-282836.3,0,[],0,0,[],10.0
2023-04-25,79.3,-280126.8,2,2023-4-25-17-16-45-958393-17905.99999976158_2023-4-25-22-27-10-958393-2.0000009536743164_,0,0,[],30.0
2023-04-26,100,-269504.8,0,[],1,0,[],20.0
2023-04-27,100,-263573.7,0,[],2,0,[],20.0
2023-04-28,83.5,-265148.4,2,2023-4-28-17-38-45-958393-14234.999999761581_2023-4-28-21-47-46-958393-3.0000009536743164_,0,0,[],25.0
2023-04-29,100,-264027.1,0,[],0,0,[],25.0
2023-04-30,100,-267535.5,0,[],0,0,[],25.0
2023-05-01,82.5,-273119.7,2,2023-5-1-17-56-30-958394-15081.999998807907_2023-5-1-22-19-46-958393-2.0000009536743164_,0,0,[],25.0
2023-05-02,100,-269819.9,0,[],0,0,[],25.0
2023-05-03,100,-264325.3,0,[],0,0,[],25.0
2023-05-04,100,-261764.6,0,[],0,0,[],20.0
2023-05-05,100,-260175.1,0,[],0,0,[],20.0
2023-05-06,100,-259635.3,0,[],0,0,[],15.0
2023-05-07,100,-262487.0,0,[],0,0,[],15.0
2023-05-08,100,-268108.3,0,[],0,0,[],15.0
2023-05-09,100,-268526.0,0,[],0,0,[],20.0
2023-05-10,100,-267810.1,0,[],0,1,2023-5-10-16-25-34-958393_,10.0
2023-05-11,100,-275670.1,0,[],1,0,[],20.0
2023-05-12,100,-281253.4,0,[],0,0,[],20.0
2023-05-13,100,-279967.2,0,[],0,0,[],20.0
2023-05-14,100,-271805.1,0,[],0,0,[],20.0
2023-05-15,100,-282661.5,0,[],0,0,[],20.0
2023-05-16,100,-309844.2,0,[],0,0,[],10.0
2023-05-17,100,-321167.8,0,[],0,0,[],15.0
2023-05-18,100,-322683.5,0,[],0,0,[],20.0
2023-05-19,100,-313565.2,0,[],0,2,2023-5-19-3-26-15-518393_2023-5-19-3-49-38-318393_,5.0
2023-05-20,100,-321162.1,0,[],0,0,[],10.0
2023-05-21,100,-333164.7,0,[],0,0,[],10.0
2023-05-22,100,-342269.1,0,[],0,0,[],15.0
2023-05-23,100,-345982.4,0,[],0,0,[],15.0
2023-05-24,100,-352283.0,0,[],0,0,[],20.0
2023-05-25,100,-352858.0,0,[],0,3,2023-5-25-3-10-40-428393_2023-5-25-3-11-32-178393_2023-5-25-3-12-37-28393_,10.0
2023-05-26,100,-366078.6,0,[],0,0,[],15.0
2023-05-27,100,-369723.5,0,[],0,0,[],15.0
2023-05-28,100,-367443.4,0,[],0,0,[],10.0
2023-05-29,100,-368684.8,0,[],1,0,[],20.0
2023-05-30,100,-373568.1,0,[],0,0,[],25.0
2023-05-31,100,-374199.0,0,[],0,0,[],25.0
2023-06-01,100,-384081.9,0,[],0,0,[],15.0
2023-06-02,100,-387290.0,0,[],0,0,[],15.0
2023-06-03,100,-389645.7,0,[],0,0,[],15.0
2023-06-04,100,-388217.9,0,[],0,0,[],20.0
2023-06-05,100,-390163.2,0,[],0,0,[],15.0
2023-06-06,100,-394557.3,0,[],0,0,[],15.0
2023-06-07,100,-391580.0,0,[],0,0,[],20.0
2023-06-08,100,-391354.8,0,[],0,0,[],20.0
2023-06-09,100,-396346.4,0,[],0,0,[],15.0
2023-06-10,100,-395303.9,0,[],0,1,2023-6-10-6-54-57-368393_,15.0
2023-06-11,100,-401967.6,0,[],1,0,[],25.0
2023-06-12,100,-408043.6,0,[],0,0,[],25.0
2023-06-13,100,-405927.8,0,[],0,0,[],25.0
2023-06-14,100,-403677.0,0,[],0,0,[],20.0
2023-06-15,100,-408368.1,0,[],0,0,[],15.0
2023-06-16,100,-409751.8,0,[],1,0,[],20.0
2023-06-17,100.0,-415887.0,1,2023-6-17-0-0-0-0-1.338393_,0,0,[],20.0
2023-06-18,100,-419627.0,0,[],0,2,2023-6-18-9-11-52-78393_2023-6-18-9-12-47-678393_,20.0
2023-06-19,100,-422969.7,0,[],0,0,[],20.0
2023-06-20,100,-421843.0,0,[],0,0,[],20.0
2023-06-21,100,-419668.5,0,[],2,0,[],20.0
2023-06-22,100,-421708.3,0,[],4,0,[],20.0
2023-06-23,100,-418271.7,0,[],0,0,[],20.0
2023-06-24,100,-420557.4,0,[],0,0,[],20.0
2023-06-25,100,-425131.9,0,[],0,0,[],20.0
2023-06-26,100,-424485.0,0,[],0,0,[],20.0
2023-06-27,100,-424699.1,0,[],0,0,[],20.0
2023-06-28,100,-426633.9,0,[],0,0,[],25.0
2023-06-29,100.0,-427347.7,1,2023-6-29-0-0-0-0-1.908394_,0,0,[],25.0
2023-06-30,100.0,-425548.2,1,2023-6-30-0-0-0-0-1.608393_,0,0,[],25.0
2023-07-01,100.0,-424691.9,1,2023-7-1-0-0-0-0-0.128393_,0,0,[],15.0
2023-07-02,100,-425597.4,0,[],0,0,[],10.0
2023-07-03,100,-430302.6,0,[],0,0,[],15.0
2023-07-04,100,-429308.8,0,[],0,0,[],20.0
2023-07-05,100.0,-427827.9,1,2023-7-5-0-0-0-0-1.318391_,0,0,[],20.0
2023-07-06,100.0,-428107.5,1,2023-7-6-0-0-0-0-2.118394_,0,0,[],15.0
2023-07-07,100.0,-429838.1,1,2023-7-7-0-0-0-0-3.808393_,0,0,[],15.0
2023-07-08,100,-434440.9,0,[],0,0,[],15.0
2023-07-09,100,-434724.6,0,[],0,0,[],25.0
2023-07-10,100,-432044.1,0,[],0,0,[],20.0
2023-07-11,100.0,-429947.0,1,2023-7-11-0-0-0-0-0.248393_,0,0,[],25.0
2023-07-12,100,-435348.5,0,[],2,0,[],25.0
2023-07-13,100.0,-432429.0,1,2023-7-13-0-0-0-0-2.578393_,3,0,[],25.0
2023-07-14,100,-430871.1,0,[],1,0,[],25.0
2023-07-15,100,-430696.9,0,[],0,0,[],25.0
2023-07-16,100,-432197.2,0,[],0,0,[],25.0
2023-07-17,36.5,-435117.7,2,2023-7-17-0-0-0-0-1.048394_2023-7-17-8-46-4-958394-54835.041606_,0,0,[],10.0
2023-07-18,0,-9,0,[],0,0,[],-9
2023-07-19,0,-9,0,[],0,0,[],-9
2023-07-20,0,-9,0,[],0,0,[],-9
2023-07-21,0,-9,0,[],0,0,[],-9
2023-07-22,0,-9,0,[],0,0,[],-9
2023-07-23,0,-9,0,[],0,0,[],-9
2023-07-24,0,-9,0,[],0,0,[],-9
2023-07-26,0,-9,0,[],0,0,[],-9
2023-07-27,0,-9,0,[],0,0,[],-9
2023-07-28,0,-9,0,[],0,0,[],-9
2023-07-29,0,-9,0,[],0,0,[],-9
2023-07-30,0,-9,0,[],0,0,[],-9
2023-07-31,0,-9,0,[],0,0,[],-9
2023-08-01,0,-9,0,[],0,0,[],-9
