fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-33089.6,1,2023-1-1-0-0-0-0-1.18_,0,0,[],25.0
2023-01-02,100,-33089.5,0,[],0,0,[],25.0
2023-01-03,100,-33089.5,0,[],0,1,2023-1-3-3-8-9-790000_,25.0
2023-01-04,100,-33089.4,0,[],0,0,[],25.0
2023-01-05,100,-33089.3,0,[],0,0,[],25.0
2023-01-06,100,-33089.3,0,[],0,2,2023-1-6-2-1-51-280000_2023-1-6-4-38-11-30000_,30.0
2023-01-07,100,-33089.6,0,[],0,0,[],25.0
2023-01-08,100,-33089.7,0,[],0,0,[],25.0
2023-01-09,100,-33089.6,0,[],0,0,[],25.0
2023-01-10,100,-33089.4,0,[],0,0,[],25.0
2023-01-11,100,-33089.8,0,[],0,1,2023-1-11-14-57-29-440000_,25.0
2023-01-12,100,-33089.9,0,[],0,1,2023-1-12-2-56-13-880000_,25.0
2023-01-13,100,-33089.9,0,[],0,2,2023-1-13-7-23-50-420000_2023-1-13-16-43-35-270000_,30.0
2023-01-14,100,-33089.7,0,[],0,1,2023-1-14-11-34-1-70000_,25.0
2023-01-15,100,-33089.7,0,[],0,1,2023-1-15-18-1-52-790000_,25.0
2023-01-16,100,-33089.3,0,[],0,0,[],25.0
2023-01-17,100,-33089.3,0,[],0,0,[],25.0
2023-01-18,100,-33089.3,0,[],0,0,[],25.0
2023-01-19,100,-33089.4,0,[],0,0,[],25.0
2023-01-20,100.0,-33089.6,1,2023-1-20-16-28-44-180000-12.710000038146973_,0,0,[],25.0
2023-01-21,100,-33089.5,0,[],0,0,[],25.0
2023-01-22,100,-33089.5,0,[],0,1,2023-1-22-7-2-24-190000_,25.0
2023-01-23,100,-33089.4,0,[],0,0,[],25.0
2023-01-24,100,-33089.4,0,[],0,0,[],25.0
2023-01-25,100.0,-33089.6,2,2023-1-25-14-48-47-580000-23.97000002861023_2023-1-25-14-51-41-130000-11.300000190734863_,0,0,[],25.0
2023-01-26,100,-33089.7,0,[],0,1,2023-1-26-4-32-39-260000_,30.0
2023-01-27,100.0,-33089.5,1,2023-1-27-14-50-5-500000-25.21999979019165_,0,1,2023-1-27-4-35-47-290000_,30.0
2023-01-28,100,-33089.8,0,[],0,0,[],25.0
2023-01-29,100,-33089.8,0,[],0,1,2023-1-29-2-5-59-980000_,25.0
2023-01-30,100.0,-33089.6,1,2023-1-30-16-41-58-40000-14.960000038146973_,0,0,[],25.0
2023-01-31,100,-33089.7,0,[],0,0,[],30.0
2023-02-01,99.8,-33090.0,2,2023-2-1-11-29-36-850000-150.0400002002716_2023-2-1-11-34-2-710000-8.27999997138977_,0,1,2023-2-1-19-53-2-150000_,30.0
2023-02-02,100,-33090.3,0,[],0,1,2023-2-2-8-2-53-440000_,30.0
2023-02-03,100,-33090.0,0,[],0,0,[],30.0
2023-02-04,100,-33089.7,0,[],0,0,[],25.0
2023-02-05,100,-33089.6,0,[],0,1,2023-2-5-6-29-48-490000_,25.0
2023-02-06,100,-33089.6,0,[],0,0,[],25.0
2023-02-07,98.4,-33089.6,1,2023-2-7-14-19-22-410000-1386.3300004005432_,0,2,2023-2-7-0-45-31-70000_2023-2-7-2-58-13-470000_,30.0
2023-02-08,100,-33089.1,0,[],0,0,[],25.0
2023-02-09,100,-33088.8,0,[],0,0,[],25.0
2023-02-10,100,-33089.0,0,[],0,2,2023-2-10-2-33-28-110000_2023-2-10-8-12-5-560000_,30.0
2023-02-11,100,-33089.1,0,[],0,0,[],25.0
2023-02-12,100,-33089.1,0,[],0,0,[],25.0
2023-02-13,100,-33089.1,0,[],0,0,[],25.0
2023-02-14,100.0,-33088.8,1,2023-2-14-16-4-16-870000-19.359999895095825_,0,0,[],25.0
2023-02-15,100.0,-33088.5,2,2023-2-15-15-56-28-420000-21.699999809265137_2023-2-15-19-40-48-50000-19.950000047683716_,0,1,2023-2-15-13-6-4-880000_,25.0
2023-02-16,100.0,-33088.2,1,2023-2-16-0-24-48-770000-15.819999933242798_,0,0,[],25.0
2023-02-17,100,-33088.6,0,[],0,0,[],25.0
2023-02-18,100.0,-33088.7,1,2023-2-18-16-17-8-970000-14.200000286102295_,0,0,[],25.0
2023-02-19,100.0,-33088.9,1,2023-2-19-1-38-45-910000-13.649999856948853_,0,1,2023-2-19-23-46-13-670000_,25.0
2023-02-20,100.0,-33088.8,1,2023-2-20-20-26-56-610000-11.56000018119812_,0,0,[],25.0
2023-02-21,100,-33088.8,0,[],0,1,2023-2-21-4-7-31-390000_,25.0
2023-02-22,100,-33088.5,0,[],0,0,[],25.0
2023-02-23,100,-33088.3,0,[],0,0,[],25.0
2023-02-24,100,-33088.2,0,[],0,0,[],30.0
2023-02-25,100.0,-33088.2,1,2023-2-25-22-42-21-910000-16.430000066757202_,0,0,[],30.0
2023-02-26,100.0,-33088.2,1,2023-2-26-17-21-38-330000-15.509999990463257_,0,0,[],25.0
2023-02-27,100,-33088.3,0,[],0,1,2023-2-27-13-49-47-370000_,25.0
2023-02-28,100,-33088.0,0,[],0,0,[],30.0
2023-03-01,100.0,-33087.4,1,2023-3-1-19-10-54-70000-13.729999780654907_,0,0,[],25.0
2023-03-02,100.0,-33087.5,1,2023-3-2-4-57-49-820000-15.240000247955322_,0,1,2023-3-2-8-51-19-370000_,25.0
2023-03-03,100,-33087.9,0,[],0,1,2023-3-3-2-13-0-760000_,30.0
2023-03-04,100,-33087.6,0,[],0,1,2023-3-4-4-35-53-490000_,30.0
2023-03-05,100,-33087.9,0,[],0,0,[],25.0
2023-03-06,100,-33088.3,0,[],0,0,[],25.0
2023-03-07,100,-33088.0,0,[],0,1,2023-3-7-4-2-14-440000_,30.0
2023-03-08,100,-33087.8,0,[],0,0,[],30.0
2023-03-09,100,-33088.2,0,[],0,0,[],25.0
2023-03-10,100,-33088.2,0,[],0,3,2023-3-10-9-19-47-110000_2023-3-10-9-20-38-210000_2023-3-10-20-49-4-410000_,30.0
2023-03-11,100,-33089.0,0,[],0,1,2023-3-11-5-13-8-110000_,25.0
2023-03-12,100,-33088.5,0,[],0,1,2023-3-12-6-0-50-170000_,25.0
2023-03-13,100,-33088.5,0,[],0,1,2023-3-13-3-15-35-320000_,25.0
2023-03-14,100,-33088.3,0,[],0,1,2023-3-14-5-8-55-490000_,30.0
2023-03-15,100,-33088.3,0,[],0,0,[],25.0
2023-03-16,100,-33088.2,0,[],0,0,[],25.0
2023-03-17,100,-33088.3,0,[],0,1,2023-3-17-18-46-21-500000_,25.0
2023-03-18,100,-33088.1,0,[],0,1,2023-3-18-17-17-38-350000_,30.0
2023-03-19,100,-33087.7,0,[],0,0,[],25.0
2023-03-20,100,-33087.5,0,[],0,0,[],25.0
2023-03-21,100,-33087.8,0,[],0,1,2023-3-21-6-18-24-490000_,25.0
2023-03-22,100,-33087.6,0,[],0,0,[],30.0
2023-03-23,100,-33087.8,0,[],0,0,[],25.0
2023-03-24,100,-33087.9,0,[],0,0,[],25.0
2023-03-25,100,-33087.8,0,[],0,0,[],30.0
2023-03-26,100,-33087.5,0,[],0,0,[],25.0
2023-03-27,100.0,-33088.0,1,2023-3-27-23-21-11-680000-19.02999997138977_,0,0,[],25.0
2023-03-28,100.0,-33087.9,2,2023-3-28-4-31-13-980000-3.9200000762939453_2023-3-28-19-19-54-210000-8.880000114440918_,0,0,[],25.0
2023-03-29,100.0,-33086.2,1,2023-3-29-17-28-52-970000-12.710000038146973_,0,0,[],25.0
2023-03-30,100.0,-33086.4,2,2023-3-30-19-18-33-410000-8.860000133514404_2023-3-30-19-28-42-560000-11.210000038146973_,0,1,2023-3-30-8-27-21-150000_,30.0
2023-03-31,100,-33086.3,0,[],0,0,[],25.0
2023-04-01,100,-33085.9,0,[],0,1,2023-4-1-4-2-7-590000_,25.0
2023-04-02,100,-33086.2,0,[],0,2,2023-4-2-6-58-16-130000_2023-4-2-7-5-2-630000_,25.0
2023-04-03,100,-33086.4,0,[],0,0,[],25.0
2023-04-04,100,-33085.5,0,[],0,0,[],25.0
2023-04-05,100.0,-33085.5,2,2023-4-5-20-17-52-110000-9.27999997138977_2023-4-5-22-32-30-680000-12.710000038146973_,0,0,[],25.0
2023-04-06,100,-33085.3,0,[],0,0,[],25.0
2023-04-07,100,-33085.3,0,[],0,0,[],25.0
2023-04-08,100,-33086.2,0,[],0,0,[],25.0
2023-04-09,100,-33086.0,0,[],0,0,[],25.0
2023-04-10,100,-33086.2,0,[],0,0,[],25.0
2023-04-11,100,-33085.8,0,[],0,0,[],25.0
2023-04-12,100,-33085.4,0,[],0,0,[],25.0
2023-04-13,100,-33085.3,0,[],0,0,[],25.0
2023-04-14,100,-33085.3,0,[],0,0,[],25.0
2023-04-15,100,-33085.5,0,[],0,1,2023-4-15-20-53-54-650000_,30.0
2023-04-16,100,-33085.8,0,[],0,1,2023-4-16-2-48-47-700000_,25.0
2023-04-17,99.9,-33085.8,3,2023-4-17-14-32-20-350000-15.059999942779541_2023-4-17-14-32-55-780000-8.910000085830688_2023-4-17-20-46-44-920000-26.18999981880188_,0,0,[],25.0
2023-04-18,100,-33086.7,0,[],0,0,[],25.0
2023-04-19,99.9,-33086.1,3,2023-4-19-16-20-14-910000-25.419999837875366_2023-4-19-16-46-4-470000-9.070000171661377_2023-4-19-22-17-5-340000-14.299999952316284_,0,3,2023-4-19-4-3-52-170000_2023-4-19-6-57-44-270000_2023-4-19-15-12-41-70000_,25.0
2023-04-20,100,-33085.6,0,[],0,0,[],25.0
2023-04-21,100,-33085.4,0,[],0,2,2023-4-21-3-43-22-420000_2023-4-21-23-14-37-470000_,25.0
2023-04-22,100,-33085.4,0,[],0,0,[],25.0
2023-04-23,100,-33087.1,0,[],0,1,2023-4-23-4-0-17-510000_,25.0
2023-04-24,100,-33085.0,0,[],0,0,[],25.0
2023-04-25,100,-33086.0,0,[],0,1,2023-4-25-5-40-38-570000_,25.0
2023-04-26,100.0,-33086.1,1,2023-4-26-21-17-13-90000-15.210000276565552_,0,0,[],25.0
2023-04-27,49.2,-33088.4,1,2023-4-27-11-48-9-640000-43910.36_,0,0,[],30.0
2023-04-28,0,-9,0,[],0,0,[],-9
2023-04-29,0,-9,0,[],0,0,[],-9
2023-04-30,0,-9,0,[],0,0,[],-9
2023-05-01,0,-9,0,[],0,0,[],-9
2023-05-02,0,-9,0,[],0,0,[],-9
2023-05-03,0,-9,0,[],0,0,[],-9
2023-05-04,0,-9,0,[],0,0,[],-9
2023-05-05,0,-9,0,[],0,0,[],-9
2023-05-06,0,-9,0,[],0,0,[],-9
2023-05-07,0,-9,0,[],0,0,[],-9
2023-05-08,0,-9,0,[],0,0,[],-9
2023-05-09,0,-9,0,[],0,0,[],-9
2023-05-10,0,-9,0,[],0,0,[],-9
2023-05-11,0,-9,0,[],0,0,[],-9
2023-05-12,0,-9,0,[],0,0,[],-9
2023-05-13,0,-9,0,[],0,0,[],-9
2023-05-14,0,-9,0,[],0,0,[],-9
2023-05-15,0,-9,0,[],0,0,[],-9
2023-05-16,0,-9,0,[],0,0,[],-9
2023-05-17,0,-9,0,[],0,0,[],-9
2023-05-18,0,-9,0,[],0,0,[],-9
2023-05-19,0,-9,0,[],0,0,[],-9
2023-05-20,0,-9,0,[],0,0,[],-9
2023-05-21,0,-9,0,[],0,0,[],-9
2023-05-22,0,-9,0,[],0,0,[],-9
2023-05-23,0,-9,0,[],0,0,[],-9
2023-05-24,0,-9,0,[],0,0,[],-9
2023-05-25,0,-9,0,[],0,0,[],-9
2023-05-26,0,-9,0,[],0,0,[],-9
2023-05-27,0,-9,0,[],0,0,[],-9
2023-05-28,0,-9,0,[],0,0,[],-9
2023-05-29,0,-9,0,[],0,0,[],-9
2023-05-30,0,-9,0,[],0,0,[],-9
2023-05-31,0,-9,0,[],0,0,[],-9
2023-06-01,0,-9,0,[],0,0,[],-9
2023-06-02,0,-9,0,[],0,0,[],-9
2023-06-03,0,-9,0,[],0,0,[],-9
2023-06-04,0,-9,0,[],0,0,[],-9
2023-06-05,0,-9,0,[],0,0,[],-9
2023-06-06,0,-9,0,[],0,0,[],-9
2023-06-07,0,-9,0,[],0,0,[],-9
2023-06-08,0,-9,0,[],0,0,[],-9
2023-06-09,0,-9,0,[],0,0,[],-9
2023-06-10,0,-9,0,[],0,0,[],-9
2023-06-11,0,-9,0,[],0,0,[],-9
2023-06-12,0,-9,0,[],0,0,[],-9
2023-06-13,0,-9,0,[],0,0,[],-9
2023-06-14,0,-9,0,[],0,0,[],-9
2023-06-15,0,-9,0,[],0,0,[],-9
2023-06-16,0,-9,0,[],0,0,[],-9
2023-06-17,0,-9,0,[],0,0,[],-9
2023-06-18,0,-9,0,[],0,0,[],-9
2023-06-19,0,-9,0,[],0,0,[],-9
2023-06-20,0,-9,0,[],0,0,[],-9
2023-06-21,0,-9,0,[],0,0,[],-9
2023-06-22,0,-9,0,[],0,0,[],-9
2023-06-23,0,-9,0,[],0,0,[],-9
2023-06-24,0,-9,0,[],0,0,[],-9
2023-06-25,0,-9,0,[],0,0,[],-9
2023-06-26,0,-9,0,[],0,0,[],-9
2023-06-27,0,-9,0,[],0,0,[],-9
2023-06-28,0,-9,0,[],0,0,[],-9
2023-06-29,0,-9,0,[],0,0,[],-9
2023-06-30,0,-9,0,[],0,0,[],-9
2023-07-01,0,-9,0,[],0,0,[],-9
2023-07-02,0,-9,0,[],0,0,[],-9
2023-07-03,0,-9,0,[],0,0,[],-9
2023-07-04,0,-9,0,[],0,0,[],-9
2023-07-05,0,-9,0,[],0,0,[],-9
2023-07-06,0,-9,0,[],0,0,[],-9
2023-07-07,0,-9,0,[],0,0,[],-9
2023-07-08,0,-9,0,[],0,0,[],-9
2023-07-09,0,-9,0,[],0,0,[],-9
2023-07-10,0,-9,0,[],0,0,[],-9
2023-07-11,0,-9,0,[],0,0,[],-9
2023-07-12,0,-9,0,[],0,0,[],-9
2023-07-13,0,-9,0,[],0,0,[],-9
2023-07-14,0,-9,0,[],0,0,[],-9
2023-07-15,0,-9,0,[],0,0,[],-9
2023-07-16,0,-9,0,[],0,0,[],-9
2023-07-17,0,-9,0,[],0,0,[],-9
2023-07-18,0,-9,0,[],0,0,[],-9
2023-07-19,0,-9,0,[],0,0,[],-9
2023-07-20,23.4,-33089.4,1,2023-7-20-0-0-0-0-66153.36_,0,0,[],25.0
2023-07-21,31.1,-33089.9,2,2023-7-21-2-8-39-340000-59549.87000012398_2023-7-21-18-41-17-820000-6.2200000286102295_,0,0,[],80.0
2023-07-22,100,-33090.5,0,[],0,0,[],25.0
2023-07-23,100,-33089.7,0,[],0,0,[],25.0
