fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100,-119210.8,0,[],0,6,2023-1-1-0-15-15-900000_2023-1-1-0-57-16-50000_2023-1-1-1-4-45-700000_2023-1-1-5-7-29-700000_2023-1-1-6-51-0-400000_2023-1-1-13-3-14-50000_,5.0
2023-01-02,100,-117066.4,0,[],0,2,2023-1-2-2-44-44-800000_2023-1-2-5-51-58-450000_,5.0
2023-01-03,100,-115994.3,0,[],0,8,2023-1-3-1-39-55-750000_2023-1-3-1-40-48-750000_2023-1-3-7-27-53-600000_2023-1-3-10-18-7-600000_2023-1-3-15-20-38-400000_2023-1-3-19-18-25-450000_2023-1-3-20-45-38-950000_2023-1-3-20-46-29-100000_,5.0
2023-01-04,100,-115960.5,0,[],0,8,2023-1-4-0-40-56-900000_2023-1-4-2-21-37-700000_2023-1-4-6-0-11-750000_2023-1-4-9-26-49-900000_2023-1-4-14-6-57-550000_2023-1-4-16-5-20-100000_2023-1-4-17-23-0-600000_2023-1-4-21-31-21-450000_,5.0
2023-01-05,100,-113962.8,0,[],0,7,2023-1-5-1-51-53-100000_2023-1-5-7-43-3-450000_2023-1-5-8-19-42-100000_2023-1-5-10-32-32-350000_2023-1-5-15-12-46-450000_2023-1-5-21-16-31-200000_2023-1-5-23-46-54-50000_,5.0
2023-01-06,100,-113327.1,0,[],0,2,2023-1-6-5-46-45-350000_2023-1-6-13-25-45-700000_,0.0
2023-01-07,100,-110448.4,0,[],0,4,2023-1-7-4-22-58-600000_2023-1-7-15-27-42-900000_2023-1-7-20-1-51-250000_2023-1-7-22-48-20-550000_,5.0
2023-01-08,100,-110515.9,0,[],0,2,2023-1-8-6-1-27-100000_2023-1-8-6-2-18-250000_,5.0
2023-01-09,100,-110159.9,0,[],0,5,2023-1-9-9-57-45-350000_2023-1-9-10-17-24-600000_2023-1-9-10-27-5-300000_2023-1-9-20-15-21-500000_2023-1-9-20-45-45-400000_,5.0
2023-01-10,100,-108792.8,0,[],0,3,2023-1-10-10-2-14-50000_2023-1-10-18-16-46-350000_2023-1-10-21-27-18-750000_,0.0
2023-01-11,100,-107951.0,0,[],0,5,2023-1-11-0-46-0-0_2023-1-11-12-26-26-700000_2023-1-11-18-33-12-800000_2023-1-11-19-1-29-200000_2023-1-11-19-57-22-900000_,0.0
2023-01-12,100,-109938.9,0,[],0,4,2023-1-12-10-58-44-300000_2023-1-12-12-0-0-450000_2023-1-12-12-0-51-0_2023-1-12-12-1-41-700000_,0.0
2023-01-13,100,-109647.1,0,[],0,1,2023-1-13-9-6-27-900000_,0.0
2023-01-14,100,-109590.6,0,[],0,3,2023-1-14-1-18-11-900000_2023-1-14-5-50-17-850000_2023-1-14-23-21-29-50000_,0.0
2023-01-15,100,-109490.7,0,[],0,3,2023-1-15-11-49-43-750000_2023-1-15-11-52-50-900000_2023-1-15-16-52-33-550000_,0.0
2023-01-16,100,-109049.6,0,[],0,1,2023-1-16-8-58-40-550000_,0.0
2023-01-17,100,-106801.9,0,[],0,0,[],0.0
2023-01-18,100,-107182.3,0,[],0,4,2023-1-18-0-40-27-400000_2023-1-18-1-14-35-50000_2023-1-18-18-24-30-0_2023-1-18-21-9-26-950000_,0.0
2023-01-19,100,-108140.0,0,[],0,0,[],5.0
2023-01-20,100,-107471.2,0,[],0,0,[],5.0
2023-01-21,100,-106874.7,0,[],0,0,[],25.0
2023-01-22,100,-105947.4,0,[],0,4,2023-1-22-0-2-26-750000_2023-1-22-1-57-26-700000_2023-1-22-6-42-12-650000_2023-1-22-20-1-52-250000_,0.0
2023-01-23,100,-105920.8,0,[],0,1,2023-1-23-16-40-44-250000_,0.0
2023-01-24,100,-106119.9,0,[],0,0,[],5.0
2023-01-25,100,-106754.3,0,[],0,0,[],0.0
2023-01-26,100,-105915.8,0,[],0,4,2023-1-26-2-38-52-50000_2023-1-26-5-56-21-900000_2023-1-26-5-57-12-200000_2023-1-26-5-58-31-350000_,5.0
2023-01-27,100,-105216.7,0,[],0,1,2023-1-27-6-28-40-750000_,5.0
2023-01-28,100,-106179.9,0,[],0,0,[],5.0
2023-01-29,100,-107634.1,0,[],0,2,2023-1-29-11-11-40-300000_2023-1-29-11-26-14-900000_,5.0
2023-01-30,100,-106068.8,0,[],0,0,[],5.0
2023-01-31,100,-105415.3,0,[],0,1,2023-1-31-1-29-11-0_,5.0
2023-02-01,100,-105692.9,0,[],0,1,2023-2-1-15-59-25-750000_,5.0
2023-02-02,100,-103815.2,0,[],0,4,2023-2-2-11-9-36-850000_2023-2-2-11-10-30-300000_2023-2-2-11-57-45-300000_2023-2-2-11-59-47-650000_,5.0
2023-02-03,100,-102148.3,0,[],0,9,2023-2-3-7-42-20-400000_2023-2-3-7-43-52-650000_2023-2-3-8-26-24-250000_2023-2-3-9-34-14-100000_2023-2-3-10-48-7-300000_2023-2-3-11-11-9-350000_2023-2-3-12-57-54-600000_2023-2-3-12-59-19-400000_2023-2-3-16-59-21-200000_,0.0
2023-02-04,100,-104002.4,0,[],0,2,2023-2-4-5-19-53-450000_2023-2-4-13-50-16-50000_,5.0
2023-02-05,100,-106433.2,0,[],0,2,2023-2-5-23-27-16-950000_2023-2-5-23-57-35-600000_,5.0
2023-02-06,100,-106278.3,0,[],0,3,2023-2-6-0-19-16-850000_2023-2-6-0-20-6-900000_2023-2-6-2-48-2-350000_,10.0
2023-02-07,100,-105142.0,0,[],0,4,2023-2-7-8-37-47-100000_2023-2-7-9-36-13-400000_2023-2-7-9-37-59-950000_2023-2-7-9-39-26-300000_,5.0
2023-02-08,100,-106562.3,0,[],0,0,[],5.0
2023-02-09,100,-106958.1,0,[],0,3,2023-2-9-8-16-31-550000_2023-2-9-8-17-31-0_2023-2-9-17-37-18-300000_,0.0
2023-02-10,100,-105428.0,0,[],0,1,2023-2-10-6-21-46-950000_,5.0
2023-02-11,100,-104576.1,0,[],0,7,2023-2-11-3-56-8-950000_2023-2-11-3-58-13-0_2023-2-11-9-12-55-900000_2023-2-11-13-42-23-0_2023-2-11-19-21-35-250000_2023-2-11-19-22-50-500000_2023-2-11-20-55-52-900000_,0.0
2023-02-12,100,-104307.8,0,[],0,13,2023-2-12-5-30-48-600000_2023-2-12-5-41-35-200000_2023-2-12-5-42-40-600000_2023-2-12-5-51-26-50000_2023-2-12-7-49-58-350000_2023-2-12-7-55-47-200000_2023-2-12-7-56-37-400000_2023-2-12-7-57-27-550000_2023-2-12-7-59-39-550000_2023-2-12-8-4-3-250000_2023-2-12-8-13-43-150000_2023-2-12-9-16-23-150000_2023-2-12-9-21-26-500000_,5.0
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,100,-106165.8,0,[],0,0,[],0.0
2023-02-15,100,-106058.3,0,[],0,0,[],0.0
2023-02-16,100,-106027.3,0,[],0,5,2023-2-16-3-36-31-0_2023-2-16-11-18-6-350000_2023-2-16-11-34-58-550000_2023-2-16-14-3-27-950000_2023-2-16-14-13-7-450000_,5.0
2023-02-17,100,-106227.1,0,[],0,4,2023-2-17-3-19-12-50000_2023-2-17-3-21-30-50000_2023-2-17-3-22-20-250000_2023-2-17-6-10-1-400000_,5.0
2023-02-18,100,-106162.4,0,[],0,0,[],0.0
2023-02-19,100,-106848.3,0,[],0,1,2023-2-19-2-14-4-200000_,5.0
2023-02-20,100,-107652.0,0,[],0,0,[],0.0
2023-02-21,100,-108208.8,0,[],0,4,2023-2-21-16-39-31-50000_2023-2-21-22-7-42-650000_2023-2-21-22-47-40-800000_2023-2-21-22-49-54-550000_,5.0
2023-02-22,100,-107279.2,0,[],0,5,2023-2-22-8-22-7-750000_2023-2-22-11-19-5-300000_2023-2-22-13-2-25-350000_2023-2-22-16-42-20-300000_2023-2-22-20-43-9-850000_,10.0
2023-02-23,100,-106543.1,0,[],0,1,2023-2-23-22-47-11-550000_,20.0
2023-02-24,100,-105115.7,0,[],0,24,2023-2-24-0-12-30-750000_2023-2-24-1-9-48-650000_2023-2-24-1-12-49-100000_2023-2-24-1-14-22-650000_2023-2-24-1-15-19-950000_2023-2-24-1-22-11-400000_2023-2-24-4-40-27-450000_2023-2-24-4-41-50-50000_2023-2-24-4-43-24-700000_2023-2-24-8-13-34-500000_2023-2-24-8-18-28-350000_2023-2-24-8-20-14-250000_2023-2-24-8-49-45-950000_2023-2-24-10-38-32-600000_2023-2-24-12-1-27-150000_2023-2-24-12-7-12-750000_2023-2-24-12-38-43-150000_2023-2-24-13-1-5-50000_2023-2-24-13-37-48-500000_2023-2-24-17-59-50-650000_2023-2-24-20-13-24-750000_2023-2-24-21-23-17-600000_2023-2-24-21-27-26-750000_2023-2-24-22-1-30-50000_,15.0
2023-02-25,100,-105188.4,0,[],0,4,2023-2-25-2-24-13-50000_2023-2-25-5-25-53-950000_2023-2-25-5-27-36-650000_2023-2-25-12-39-24-450000_,25.0
