fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-37124.8,1,2023-1-1-0-0-0-0-0.24_,0,0,[],75.0
2023-01-02,100,-36584.5,0,[],0,0,[],75.0
2023-01-03,100,-37042.0,0,[],0,0,[],75.0
2023-01-04,100,-35508.9,0,[],0,0,[],75.0
2023-01-05,100,-31647.2,0,[],0,0,[],75.0
2023-01-06,100,-33299.4,0,[],0,0,[],75.0
2023-01-07,100,-32673.2,0,[],0,0,[],75.0
2023-01-08,100,-34176.3,0,[],0,0,[],75.0
2023-01-09,100,-37455.7,0,[],0,0,[],75.0
2023-01-10,100,-40396.3,0,[],0,2,2023-1-10-4-11-32-65000_2023-1-10-4-13-11-165000_,75.0
2023-01-11,100,-40356.9,0,[],0,0,[],75.0
2023-01-12,100,-38749.8,0,[],0,0,[],75.0
2023-01-13,100,-37856.8,0,[],0,0,[],75.0
2023-01-14,100,-36602.4,0,[],0,2,2023-1-14-11-56-9-770000_2023-1-14-11-57-11-320000_,75.0
2023-01-15,100,-34010.3,0,[],0,0,[],75.0
2023-01-16,100,-32337.2,0,[],0,0,[],75.0
2023-01-17,100,-33621.2,0,[],0,0,[],75.0
2023-01-18,100,-35251.1,0,[],0,0,[],75.0
2023-01-19,100,-37660.8,0,[],0,0,[],75.0
2023-01-20,100.0,-35920.9,1,2023-1-20-16-28-48-675000-12.634999990463257_,0,0,[],80.0
2023-01-21,100,-34580.2,0,[],0,0,[],75.0
2023-01-22,100,-37128.4,0,[],0,0,[],75.0
2023-01-23,100,-36688.8,0,[],0,0,[],75.0
2023-01-24,100,-35074.4,0,[],0,0,[],75.0
2023-01-25,100.0,-36431.4,2,2023-1-25-14-48-53-620000-21.12500023841858_2023-1-25-14-51-48-235000-6.749999761581421_,0,0,[],80.0
2023-01-26,100,-29816.9,0,[],0,0,[],75.0
2023-01-27,100.0,-26345.0,1,2023-1-27-14-50-13-765000-17.52999997138977_,0,0,[],80.0
2023-01-28,100,-24044.3,0,[],0,0,[],75.0
2023-01-29,100,-23787.2,0,[],0,0,[],75.0
2023-01-30,100.0,-25347.8,1,2023-1-30-16-42-3-90000-11.329999923706055_,0,0,[],75.0
2023-01-31,100,-28530.1,0,[],0,0,[],75.0
2023-02-01,100,-28148.6,0,[],0,0,[],75.0
2023-02-02,100,-24983.5,0,[],0,0,[],75.0
2023-02-03,100,-24363.0,0,[],0,0,[],75.0
2023-02-04,100,-26236.5,0,[],0,0,[],75.0
2023-02-05,100,-25512.7,0,[],0,0,[],75.0
2023-02-06,100,-28090.4,0,[],0,0,[],75.0
2023-02-07,98.9,-26356.5,1,2023-2-7-14-26-7-130000-985.3600001335144_,0,0,[],80.0
2023-02-08,100,-22763.1,0,[],0,0,[],75.0
2023-02-09,100,-23342.6,0,[],0,0,[],75.0
2023-02-10,100,-25633.1,0,[],0,0,[],75.0
2023-02-11,100,-25769.4,0,[],0,0,[],75.0
2023-02-12,100,-28424.8,0,[],0,0,[],75.0
2023-02-13,100,-29185.7,0,[],0,0,[],75.0
2023-02-14,100.0,-29210.1,1,2023-2-14-16-4-22-5000-17.014999866485596_,0,0,[],75.0
2023-02-15,100.0,-29243.7,2,2023-2-15-15-56-35-290000-15.509999752044678_2023-2-15-19-40-59-185000-14.680000066757202_,0,0,[],80.0
2023-02-16,100.0,-32079.7,1,2023-2-16-0-24-56-515000-8.31499981880188_,0,0,[],75.0
2023-02-17,100,-35547.4,0,[],0,0,[],75.0
2023-02-18,100.0,-31923.9,1,2023-2-18-16-17-14-90000-14.234999895095825_,0,0,[],75.0
2023-02-19,100.0,-30693.6,1,2023-2-19-1-38-52-735000-9.359999656677246_,0,0,[],75.0
2023-02-20,100.0,-35651.0,1,2023-2-20-20-27-2-880000-9.584999799728394_,0,0,[],75.0
2023-02-21,100,-37479.8,0,[],0,0,[],75.0
2023-02-22,100,-41399.0,0,[],0,0,[],75.0
2023-02-23,100,-42277.5,0,[],0,0,[],75.0
2023-02-24,100,-34335.8,0,[],0,0,[],75.0
2023-02-25,100.0,-32433.9,1,2023-2-25-22-42-26-800000-13.839999914169312_,0,0,[],75.0
2023-02-26,100.0,-32037.9,1,2023-2-26-17-21-44-255000-10.494999885559082_,0,0,[],75.0
2023-02-27,100,-30037.1,0,[],0,0,[],75.0
2023-02-28,100,-27058.5,0,[],0,0,[],75.0
2023-03-01,100.0,-27488.4,1,2023-3-1-19-11-1-35000-7.949999809265137_,0,0,[],75.0
2023-03-02,100.0,-29890.0,1,2023-3-2-4-57-55-195000-8.194999694824219_,0,0,[],75.0
2023-03-03,100,-28634.3,0,[],0,0,[],75.0
2023-03-04,100,-31105.8,0,[],0,0,[],75.0
2023-03-05,100,-31537.1,0,[],0,0,[],75.0
2023-03-06,100,-32364.1,0,[],0,0,[],75.0
2023-03-07,100,-35137.3,0,[],0,0,[],75.0
2023-03-08,100,-39444.3,0,[],0,0,[],75.0
2023-03-09,100,-42377.9,0,[],0,0,[],75.0
2023-03-10,100,-45165.7,0,[],2,1,2023-3-10-9-20-12-915000_,80.0
2023-03-11,100,-45280.6,0,[],2,0,[],75.0
2023-03-12,100,-46196.8,0,[],1,0,[],75.0
2023-03-13,100,-45577.7,0,[],3,0,[],75.0
2023-03-14,100,-45674.8,0,[],3,0,[],75.0
2023-03-15,100,-48919.2,0,[],1,0,[],75.0
2023-03-16,100,-47993.4,0,[],2,0,[],75.0
2023-03-17,100,-44133.3,0,[],1,0,[],75.0
2023-03-18,100,-43738.5,0,[],0,0,[],80.0
2023-03-19,100,-44152.6,0,[],2,0,[],75.0
2023-03-20,100,-40620.7,0,[],1,0,[],75.0
2023-03-21,100,-37413.9,0,[],6,0,[],75.0
2023-03-22,100,-36445.5,0,[],7,0,[],75.0
2023-03-23,87.3,-36463.1,1,2023-3-23-20-57-18-930000-10961.07_,8,0,[],75.0
2023-03-24,0,-9,0,[],0,0,[],-9
2023-03-25,0,-9,0,[],0,0,[],-9
2023-03-26,0,-9,0,[],0,0,[],-9
2023-03-27,0,-9,0,[],0,0,[],-9
2023-03-28,0,-9,0,[],0,0,[],-9
2023-03-29,0,-9,0,[],0,0,[],-9
2023-03-30,0,-9,0,[],0,0,[],-9
2023-03-31,0,-9,0,[],0,0,[],-9
2023-04-01,0,-9,0,[],0,0,[],-9
2023-04-02,0,-9,0,[],0,0,[],-9
2023-04-03,0,-9,0,[],0,0,[],-9
2023-04-04,0,-9,0,[],0,0,[],-9
2023-04-05,0,-9,0,[],0,0,[],-9
2023-04-06,0,-9,0,[],0,0,[],-9
2023-04-07,0,-9,0,[],0,0,[],-9
2023-04-08,0,-9,0,[],0,0,[],-9
2023-04-09,0,-9,0,[],0,0,[],-9
2023-04-10,0,-9,0,[],0,0,[],-9
2023-04-11,0,-9,0,[],0,0,[],-9
2023-04-12,0,-9,0,[],0,0,[],-9
2023-04-13,0,-9,0,[],0,0,[],-9
2023-04-14,0,-9,0,[],0,0,[],-9
2023-04-15,0,-9,0,[],0,0,[],-9
2023-04-16,0,-9,0,[],0,0,[],-9
2023-04-17,0,-9,0,[],0,0,[],-9
2023-04-18,0,-9,0,[],0,0,[],-9
2023-04-19,0,-9,0,[],0,0,[],-9
2023-04-20,0,-9,0,[],0,0,[],-9
2023-04-21,0,-9,0,[],0,0,[],-9
2023-04-22,0,-9,0,[],0,0,[],-9
2023-04-23,0,-9,0,[],0,0,[],-9
2023-04-24,0,-9,0,[],0,0,[],-9
2023-04-25,0,-9,0,[],0,0,[],-9
2023-04-26,0,-9,0,[],0,0,[],-9
2023-04-27,0,-9,0,[],0,0,[],-9
2023-04-28,0,-9,0,[],0,0,[],-9
2023-04-29,0,-9,0,[],0,0,[],-9
2023-04-30,0,-9,0,[],0,0,[],-9
2023-05-01,0,-9,0,[],0,0,[],-9
2023-05-02,0,-9,0,[],0,0,[],-9
2023-05-03,0,-9,0,[],0,0,[],-9
2023-05-04,0,-9,0,[],0,0,[],-9
2023-05-05,0,-9,0,[],0,0,[],-9
2023-05-06,0,-9,0,[],0,0,[],-9
2023-05-07,0,-9,0,[],0,0,[],-9
2023-05-08,0,-9,0,[],0,0,[],-9
2023-05-09,0,-9,0,[],0,0,[],-9
2023-05-10,0,-9,0,[],0,0,[],-9
2023-05-11,0,-9,0,[],0,0,[],-9
2023-05-12,0,-9,0,[],0,0,[],-9
2023-05-13,0,-9,0,[],0,0,[],-9
2023-05-14,0,-9,0,[],0,0,[],-9
2023-05-15,0,-9,0,[],0,0,[],-9
2023-05-16,0,-9,0,[],0,0,[],-9
2023-05-17,0,-9,0,[],0,0,[],-9
2023-05-18,0,-9,0,[],0,0,[],-9
2023-05-19,0,-9,0,[],0,0,[],-9
2023-05-20,0,-9,0,[],0,0,[],-9
2023-05-21,0,-9,0,[],0,0,[],-9
2023-05-22,0,-9,0,[],0,0,[],-9
2023-05-23,0,-9,0,[],0,0,[],-9
2023-05-24,0,-9,0,[],0,0,[],-9
2023-05-25,0,-9,0,[],0,0,[],-9
2023-05-26,0,-9,0,[],0,0,[],-9
2023-05-27,0,-9,0,[],0,0,[],-9
2023-05-28,0,-9,0,[],0,0,[],-9
2023-05-29,0,-9,0,[],0,0,[],-9
2023-05-30,0,-9,0,[],0,0,[],-9
2023-05-31,0,-9,0,[],0,0,[],-9
2023-06-01,38.2,-25141.5,1,2023-6-1-0-0-0-0-53434.68_,0,0,[],75.0
2023-06-02,100,-26714.2,0,[],0,0,[],75.0
2023-06-03,100,-25078.8,0,[],0,0,[],75.0
2023-06-04,100,-23823.2,0,[],0,0,[],75.0
2023-06-05,100,-24829.2,0,[],0,0,[],75.0
2023-06-06,100,-24064.7,0,[],0,0,[],75.0
2023-06-07,100,-24416.5,0,[],0,0,[],75.0
2023-06-08,100,-23315.4,0,[],0,0,[],75.0
2023-06-09,100,-25247.7,0,[],0,0,[],75.0
2023-06-10,100,-24952.7,0,[],0,0,[],75.0
2023-06-11,100.0,-24392.6,1,2023-6-11-0-13-16-10000-11.729999780654907_,0,0,[],75.0
