fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,18.2,1,2023-1-1-0-0-0-0-0.94_,0,0,[],50.0
2023-01-02,100,-2348.5,0,[],0,0,[],50.0
2023-01-03,100,-3049.2,0,[],0,0,[],50.0
2023-01-04,100,-2619.4,0,[],0,0,[],50.0
2023-01-05,100,-2451.9,0,[],0,0,[],45.0
2023-01-06,100,1436.1,0,[],0,0,[],40.0
2023-01-07,88.4,-395.7,1,2023-1-7-15-26-4-850000-10011.224999904633_,0,0,[],30.0
2023-01-08,100,-3402.5,0,[],0,0,[],40.0
2023-01-09,100,-3046.2,0,[],0,0,[],50.0
2023-01-10,100,29.0,0,[],0,0,[],50.0
2023-01-11,100,-3044.7,0,[],0,0,[],50.0
2023-01-12,100,-2064.8,0,[],0,0,[],50.0
2023-01-13,100,-2006.6,0,[],0,0,[],50.0
2023-01-14,100,198.7,0,[],0,0,[],50.0
2023-01-15,100,-1618.3,0,[],0,0,[],55.0
2023-01-16,100,-2672.1,0,[],0,0,[],55.0
2023-01-17,100,-4624.7,0,[],0,0,[],50.0
2023-01-18,100,3860.8,0,[],0,0,[],45.0
2023-01-19,100,644.5,0,[],0,0,[],45.0
2023-01-20,100.0,-1111.8,1,2023-1-20-16-28-50-795000-9.334999799728394_,0,0,[],50.0
2023-01-21,100,-1541.9,0,[],0,0,[],45.0
2023-01-22,100,1746.0,0,[],0,0,[],40.0
2023-01-23,100,-1096.7,0,[],0,0,[],45.0
2023-01-24,100,-3337.8,0,[],0,0,[],45.0
2023-01-25,100.0,-2080.2,2,2023-1-25-14-48-55-615000-18.21499991416931_2023-1-25-14-51-48-650000-5.7850000858306885_,0,0,[],45.0
2023-01-26,100,-828.2,0,[],0,0,[],50.0
2023-01-27,100.0,-3191.8,1,2023-1-27-14-50-15-275000-15.019999742507935_,0,0,[],50.0
2023-01-28,100,-5053.1,0,[],0,0,[],55.0
2023-01-29,100,-5278.4,0,[],0,0,[],50.0
2023-01-30,100.0,-4441.7,1,2023-1-30-16-42-5-780000-8.744999885559082_,0,0,[],50.0
2023-01-31,100,-4294.1,0,[],0,0,[],50.0
2023-02-01,100,-3997.7,0,[],0,0,[],55.0
2023-02-02,100,-5350.1,0,[],0,0,[],50.0
2023-02-03,100,-4228.5,0,[],0,0,[],50.0
2023-02-04,100,-1606.9,0,[],0,0,[],50.0
2023-02-05,100,-1303.1,0,[],0,0,[],50.0
2023-02-06,96.9,-1945.1,1,2023-2-6-19-8-17-630000-2696.6099996566772_,0,0,[],40.0
2023-02-07,99.8,-4941.1,4,2023-2-7-14-32-13-30000-6.199999809265137_2023-2-7-14-35-1-600000-22.014999866485596_2023-2-7-14-36-26-235000-76.97499990463257_2023-2-7-14-41-17-275000-76.39999985694885_,0,1,2023-2-7-21-31-44-530000_,55.0
2023-02-08,100,-3493.2,0,[],0,0,[],50.0
2023-02-09,100,-4102.1,0,[],0,0,[],50.0
2023-02-10,100,-3586.8,0,[],0,0,[],50.0
2023-02-11,100,-3816.6,0,[],0,0,[],50.0
2023-02-12,100,-3110.2,0,[],0,0,[],45.0
2023-02-13,100,-3644.8,0,[],0,0,[],50.0
2023-02-14,100.0,-2992.4,1,2023-2-14-16-4-23-840000-16.234999895095825_,0,0,[],50.0
2023-02-15,100.0,-1043.8,2,2023-2-15-15-56-35-630000-14.574999570846558_2023-2-15-19-40-59-155000-15.604999780654907_,0,0,[],45.0
2023-02-16,100.0,1870.8,1,2023-2-16-0-24-56-465000-9.459999799728394_,0,0,[],40.0
2023-02-17,100,-160.0,0,[],0,0,[],45.0
2023-02-18,100.0,-2899.5,1,2023-2-18-16-17-14-940000-14.039999723434448_,0,0,[],50.0
2023-02-19,100.0,-3657.7,1,2023-2-19-1-38-52-995000-9.174999713897705_,0,0,[],40.0
2023-02-20,100.0,-5108.0,1,2023-2-20-20-27-3-95000-6.229999780654907_,0,0,[],50.0
2023-02-21,100,-5129.5,0,[],0,0,[],50.0
2023-02-22,100,-5479.1,0,[],0,0,[],50.0
2023-02-23,100,-6321.0,0,[],0,0,[],50.0
2023-02-24,74.9,-2251.9,1,2023-2-24-17-58-27-80000-21692.92_,0,0,[],50.0
2023-02-25,0,-9,0,[],0,0,[],-9
2023-02-26,0,-9,0,[],0,0,[],-9
2023-02-27,0,-9,0,[],0,0,[],-9
2023-02-28,0,-9,0,[],0,0,[],-9
2023-03-01,18.7,-10604.3,1,2023-3-1-0-0-0-0-70263.85_,0,0,[],55.0
2023-03-02,100.0,-5130.9,1,2023-3-2-4-57-53-120000-12.40499997138977_,0,0,[],50.0
2023-03-03,100,-3779.4,0,[],0,0,[],50.0
2023-03-04,100,-4431.0,0,[],0,0,[],55.0
2023-03-05,100,-2664.6,0,[],0,0,[],50.0
2023-03-06,100,33.3,0,[],0,0,[],50.0
2023-03-07,99.3,1972.4,1,2023-3-7-20-7-45-505000-615.4900000095367_,0,0,[],50.0
2023-03-08,86.5,-202.2,1,2023-3-8-20-45-16-940000-11683.06_,0,0,[],50.0
2023-03-09,38.8,-13769.4,1,2023-3-9-0-0-0-0-52851.58_,0,0,[],50.0
