fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-11-23,4.8,-43361.2,1,2023-11-23-0-0-0-0-82240.56_,0,0,[],-9
2023-11-24,100.0,-42318.5,1,2023-11-24-0-0-0-0-2.225_,0,0,[],-9
2023-11-25,100.0,-39533.1,1,2023-11-25-0-0-0-0-2.09_,0,0,[],-9
2023-11-26,100,-40900.2,0,[],0,0,[],-9
2023-11-27,100,-43770.9,0,[],0,0,[],-9
2023-11-28,100.0,-44248.8,1,2023-11-28-12-36-54-320000-11.674999952316284_,0,0,[],40.0
2023-11-29,100,-42101.1,0,[],0,1,2023-11-29-21-39-9-945000_,40.0
2023-11-30,100.0,-40766.3,1,2023-11-30-0-0-0-0-2.145_,0,0,[],40.0
2023-12-01,100,-42204.5,0,[],0,0,[],40.0
2023-12-02,100,-43994.3,0,[],0,0,[],40.0
2023-12-03,100,-43099.0,0,[],0,0,[],40.0
2023-12-04,100,-42779.4,0,[],0,0,[],40.0
2023-12-05,100,-43917.1,0,[],0,0,[],40.0
2023-12-06,100,-44009.2,0,[],0,0,[],40.0
2023-12-07,100,-41299.5,0,[],0,0,[],40.0
2023-12-08,100,-40967.6,0,[],0,0,[],40.0
2023-12-09,100,-42377.4,0,[],0,0,[],40.0
2023-12-10,100,-41552.7,0,[],0,0,[],40.0
2023-12-11,100,-41692.5,0,[],0,0,[],40.0
2023-12-12,100,-41769.6,0,[],0,0,[],40.0
2023-12-13,100.0,-42094.8,1,2023-12-13-16-45-19-680000-7.46999979019165_,0,0,[],40.0
2023-12-14,100.0,-41725.4,1,2023-12-14-0-0-0-0-2.91_,0,2,2023-12-14-14-0-36-410000_2023-12-14-18-22-11-110000_,40.0
2023-12-15,100,-41010.0,0,[],0,1,2023-12-15-20-24-26-465000_,40.0
2023-12-16,100.0,-42174.2,1,2023-12-16-0-0-0-0-1.335_,0,0,[],40.0
2023-12-17,100,-41633.4,0,[],0,0,[],40.0
2023-12-17,100.0,-41633.4,1,2023-12-17-0-0-0-0-1.93_,0,0,[],40.0
2023-12-18,100,-42307.8,0,[],0,0,[],40.0
2023-12-19,100.0,-42671.6,1,2023-12-19-0-0-0-0-0.925_,0,0,[],40.0
2023-12-20,100,-43510.0,0,[],0,0,[],40.0
2023-12-21,100.0,-43066.3,1,2023-12-21-0-0-0-0-0.58_,0,0,[],40.0
2023-12-22,100,-44476.7,0,[],0,0,[],40.0
2023-12-23,100,-44253.9,0,[],0,0,[],40.0
2023-12-24,100,-41627.5,0,[],0,0,[],40.0
2023-12-25,100,-41560.4,0,[],0,0,[],40.0
2023-12-26,100,-41307.8,0,[],0,1,2023-12-26-5-16-17-240000_,40.0
2023-12-27,100,-42736.2,0,[],0,0,[],40.0
2023-12-28,100,-41628.1,0,[],0,0,[],40.0
2023-12-29,100,-42025.3,0,[],0,0,[],40.0
