fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,83.4,-2556.8,2,2023-1-1-0-0-0-0-0.689538_2023-1-1-9-39-38-979538-14321.0_,0,0,[],35.0
2023-01-02,84.6,-2518.1,1,2023-1-2-9-36-7-979538-13270.000000715256_,0,0,[],35.0
2023-01-03,75.4,-2416.7,1,2023-1-3-6-51-19-979538-21239.000000715256_,0,0,[],35.0
2023-01-04,74.2,-2669.0,1,2023-1-4-7-14-27-979538-22252.000000715256_,0,0,[],35.0
2023-01-05,73.7,-2456.3,1,2023-1-5-6-30-3-979538-22720.000000715256_,0,0,[],30.0
2023-01-06,78.2,-2672.2,1,2023-1-6-7-57-52-979538-18830.0_,0,0,[],35.0
2023-01-07,57.8,-2876.9,1,2023-1-7-2-35-5-979538-36463.0_,0,0,[],30.0
2023-01-08,72.7,-2873.9,1,2023-1-8-6-12-19-979538-23580.000000715256_,0,0,[],30.0
2023-01-09,71.1,-2874.1,2,2023-1-9-7-36-56-979538-19102.0_2023-1-9-13-40-12-979538-5886.000000715256_,0,0,[],35.0
2023-01-10,70.2,-2872.3,1,2023-1-10-8-30-31-979538-25757.000000715256_,0,1,2023-1-10-21-20-16-984539_,30.0
2023-01-11,62.0,-2892.7,1,2023-1-11-3-59-6-979538-32803.0_,0,0,[],30.0
2023-01-12,80.3,-2859.4,1,2023-1-12-7-48-27-979538-17061.000000715256_,0,0,[],35.0
2023-01-13,75.5,-2933.0,1,2023-1-13-7-20-22-979538-21177.0_,0,1,2023-1-13-16-42-48-284538_,30.0
2023-01-14,56.1,-3023.9,1,2023-1-14-2-46-11-979538-37897.000000715256_,0,0,[],30.0
2023-01-15,77.4,-2974.6,1,2023-1-15-7-34-38-979538-19504.000000715256_,0,0,[],30.0
2023-01-16,80.0,-2813.4,1,2023-1-16-8-34-41-979538-17258.0_,0,0,[],35.0
2023-01-17,68.6,-2718.9,1,2023-1-17-5-33-23-979538-27140.0_,0,0,[],35.0
2023-01-18,83.8,-2960.5,1,2023-1-18-10-20-40-979538-13989.000000715256_,0,0,[],35.0
2023-01-19,56.0,-3090.8,1,2023-1-19-3-3-1-979539-38020.99999976158_,0,0,[],30.0
2023-01-20,69.8,-2794.6,1,2023-1-20-5-20-54-979538-26124.000000715256_,1,0,[],30.0
2023-01-21,100,-3080.4,0,[],0,0,[],35.0
2023-01-22,78.6,-2983.4,1,2023-1-22-9-36-49-979538-18479.000000715256_,0,0,[],35.0
2023-01-23,90.8,-2979.0,1,2023-1-23-11-7-32-979538-7936.000000715256_,0,0,[],35.0
2023-01-24,100,-2892.5,0,[],0,0,[],40.0
2023-01-25,89.3,-2578.1,1,2023-1-25-10-18-54-979538-9234.000000715256_,2,0,[],35.0
2023-01-26,91.3,-2543.1,1,2023-1-26-10-49-9-979538-7509.0_,0,0,[],40.0
2023-01-27,86.6,-2359.7,1,2023-1-27-9-52-28-979538-11540.0_,1,0,[],35.0
2023-01-28,77.6,-2375.0,1,2023-1-28-7-34-6-979538-19326.0_,0,0,[],35.0
2023-01-29,84.7,-2519.3,1,2023-1-29-9-9-2-979536-13216.000002861023_,0,0,[],35.0
2023-01-30,80.6,-2311.9,1,2023-1-30-8-13-36-979539-16721.999999046326_,1,0,[],35.0
2023-01-31,84.8,-2315.1,1,2023-1-31-9-16-53-979538-13105.0_,0,0,[],35.0
2023-02-01,83.8,-2383.1,1,2023-2-1-9-6-1-979538-13967.0_,0,0,[],35.0
2023-02-02,88.3,-2498.2,1,2023-2-2-9-57-34-979538-10089.0_,0,0,[],35.0
2023-02-03,100,-2525.9,0,[],0,0,[],40.0
2023-02-04,100,-2662.0,0,[],0,1,2023-2-4-21-11-40-209538_,40.0
2023-02-05,100,-2537.7,0,[],0,0,[],40.0
2023-02-06,100,-2071.9,0,[],0,0,[],40.0
2023-02-07,100,-3163.0,0,[],1,0,[],35.0
2023-02-08,100,-3219.4,0,[],0,0,[],35.0
2023-02-09,100,-3412.5,0,[],0,0,[],35.0
2023-02-10,100,-3003.9,0,[],0,1,2023-2-10-20-22-23-469538_,35.0
2023-02-11,100,-3214.7,0,[],0,0,[],35.0
2023-02-12,100,-3026.8,0,[],0,0,[],35.0
2023-02-13,100,-3099.7,0,[],0,0,[],35.0
2023-02-14,100,-3034.5,0,[],1,0,[],35.0
2023-02-15,100,-3092.7,0,[],2,0,[],35.0
2023-02-16,100,-3222.9,0,[],1,2,2023-2-16-22-19-27-334538_2023-2-16-22-35-1-384538_,35.0
2023-02-17,100,-3132.8,0,[],0,0,[],35.0
2023-02-18,100,-3421.0,0,[],1,0,[],35.0
2023-02-19,100,-3675.0,0,[],1,0,[],35.0
2023-02-20,60.3,-3149.5,1,2023-2-20-4-48-48-979538-34259.0_,1,0,[],30.0
2023-02-21,76.4,-3004.4,1,2023-2-21-7-49-44-979536-20399.000002145767_,0,0,[],30.0
2023-02-22,74.7,-3252.7,1,2023-2-22-8-28-30-979538-21822.000000715256_,0,0,[],30.0
2023-02-23,61.9,-3019.5,1,2023-2-23-3-27-2-979538-32951.000000715256_,0,0,[],30.0
2023-02-24,100,-2822.4,0,[],0,0,[],35.0
2023-02-25,100,-2674.7,0,[],1,0,[],35.0
2023-02-26,100,-2549.6,0,[],1,0,[],35.0
2023-02-27,100,-2337.8,0,[],0,0,[],35.0
2023-02-28,100,-2129.0,0,[],0,0,[],35.0
2023-03-01,100,-2308.1,0,[],1,0,[],35.0
2023-03-02,100,-3366.7,0,[],1,0,[],35.0
2023-03-03,100,-2951.4,0,[],0,0,[],35.0
2023-03-04,100,-2791.9,0,[],0,0,[],35.0
2023-03-05,100,-3152.8,0,[],0,0,[],35.0
2023-03-06,100,-3215.4,0,[],0,0,[],35.0
2023-03-07,100,-3187.6,0,[],0,0,[],35.0
2023-03-08,100,-3523.9,0,[],0,0,[],35.0
2023-03-09,100,-4483.2,0,[],0,0,[],35.0
2023-03-10,89.7,-3886.9,2,2023-3-10-10-15-47-979538-8791.0_2023-3-10-15-37-27-979538-90.00000071525574_,0,1,2023-3-10-9-19-46-554538_,35.0
2023-03-11,100,-3488.8,0,[],0,0,[],35.0
2023-03-12,58.4,-3240.1,1,2023-3-12-2-53-41-979538-35947.0_,0,0,[],30.0
2023-03-13,100,-3518.9,0,[],0,0,[],35.0
2023-03-14,70.4,-3287.0,1,2023-3-14-5-25-2-979538-25577.0_,0,0,[],30.0
2023-03-15,100,-3553.5,0,[],0,0,[],35.0
2023-03-16,100,-3820.8,0,[],0,0,[],35.0
2023-03-17,100,-3175.3,0,[],0,0,[],35.0
2023-03-18,100,-3300.0,0,[],0,0,[],40.0
2023-03-19,100,-3366.0,0,[],0,0,[],35.0
2023-03-20,100,-3088.6,0,[],0,0,[],35.0
2023-03-21,100,-2970.2,0,[],0,0,[],35.0
2023-03-22,100,-2891.8,0,[],0,0,[],35.0
2023-03-23,100,-2756.3,0,[],0,0,[],35.0
2023-03-24,100,-2826.5,0,[],0,0,[],35.0
2023-03-25,100,-3252.1,0,[],0,0,[],35.0
2023-03-26,100,-3367.4,0,[],0,0,[],35.0
2023-03-27,100,-2798.3,0,[],1,0,[],35.0
2023-03-28,100,-3019.7,0,[],2,0,[],35.0
2023-03-29,100,-2947.7,0,[],1,0,[],35.0
2023-03-30,100,-2861.0,0,[],2,0,[],35.0
2023-03-31,100,-2570.5,0,[],0,0,[],35.0
2023-04-01,100,-3201.8,0,[],0,0,[],35.0
2023-04-02,100,-3006.5,0,[],0,0,[],35.0
2023-04-03,100,-2496.1,0,[],0,0,[],35.0
2023-04-04,100,-2729.8,0,[],0,0,[],35.0
2023-04-05,100,-3065.1,0,[],2,0,[],35.0
2023-04-06,100,-3242.9,0,[],0,0,[],35.0
2023-04-07,100,-3972.3,0,[],0,0,[],35.0
2023-04-08,100,-3785.5,0,[],0,0,[],35.0
2023-04-09,100,-3227.7,0,[],0,0,[],35.0
2023-04-10,100,-3534.0,0,[],0,0,[],35.0
2023-04-11,100,-3040.0,0,[],0,0,[],35.0
2023-04-12,100,-3110.0,0,[],0,0,[],35.0
2023-04-13,100,-3388.6,0,[],0,0,[],35.0
2023-04-14,100,-3098.6,0,[],0,0,[],35.0
2023-04-15,100,-2682.1,0,[],0,0,[],35.0
2023-04-16,100,-3380.3,0,[],0,0,[],35.0
2023-04-17,100,-4225.1,0,[],3,0,[],35.0
2023-04-18,100,-4201.3,0,[],0,0,[],35.0
2023-04-19,100,-3351.3,0,[],3,0,[],35.0
2023-04-20,100,-3073.4,0,[],0,0,[],35.0
2023-04-21,100,-4114.0,0,[],0,0,[],35.0
2023-04-22,100,-4851.2,0,[],0,0,[],35.0
2023-04-23,100,-4174.8,0,[],0,0,[],35.0
2023-04-24,100,-3669.3,0,[],0,0,[],35.0
2023-04-25,100,-3363.2,0,[],0,0,[],35.0
2023-04-26,100,-3273.9,0,[],1,0,[],35.0
2023-04-27,100,-3019.5,0,[],2,0,[],35.0
2023-04-28,100,-2760.9,0,[],0,0,[],35.0
2023-04-29,100,-2376.8,0,[],0,0,[],35.0
2023-04-30,100,-2557.1,0,[],0,0,[],35.0
2023-05-01,100,-2561.5,0,[],0,0,[],35.0
2023-05-02,100,-1874.5,0,[],0,0,[],35.0
2023-05-03,99.6,-1753.6,1,2023-5-3-5-16-54-979538-332.00000071525574_,0,0,[],35.0
2023-05-04,100,-1835.0,0,[],0,0,[],35.0
2023-05-05,100,-1641.2,0,[],0,0,[],35.0
2023-05-06,100,-1594.6,0,[],0,0,[],35.0
2023-05-07,100,-1659.2,0,[],0,0,[],35.0
2023-05-08,23.3,-1330.5,1,2023-5-8-5-35-4-979536-66295.020464_,0,0,[],35.0
2023-05-09,0,-9,0,[],0,0,[],-9
2023-05-10,0,-9,0,[],0,0,[],-9
2023-05-11,0,-9,0,[],0,0,[],-9
2023-05-12,0,-9,0,[],0,0,[],-9
2023-05-13,0,-9,0,[],0,0,[],-9
2023-05-14,0,-9,0,[],0,0,[],-9
2023-05-15,0,-9,0,[],0,0,[],-9
2023-05-16,0,-9,0,[],0,0,[],-9
2023-05-17,0,-9,0,[],0,0,[],-9
2023-05-18,0,-9,0,[],0,0,[],-9
2023-05-19,0,-9,0,[],0,0,[],-9
2023-05-20,0,-9,0,[],0,0,[],-9
2023-05-21,0,-9,0,[],0,0,[],-9
2023-05-22,0,-9,0,[],0,0,[],-9
2023-05-23,0,-9,0,[],0,0,[],-9
2023-05-24,0,-9,0,[],0,0,[],-9
2023-05-25,0,-9,0,[],0,0,[],-9
2023-05-26,0,-9,0,[],0,0,[],-9
2023-05-27,0,-9,0,[],0,0,[],-9
2023-05-28,0,-9,0,[],0,0,[],-9
2023-05-29,0,-9,0,[],0,0,[],-9
2023-05-30,0,-9,0,[],0,0,[],-9
2023-05-31,0,-9,0,[],0,0,[],-9
2023-06-01,0,-9,0,[],0,0,[],-9
2023-06-02,0,-9,0,[],0,0,[],-9
2023-06-03,0,-9,0,[],0,0,[],-9
2023-06-04,0,-9,0,[],0,0,[],-9
2023-06-05,0,-9,0,[],0,0,[],-9
2023-06-06,0,-9,0,[],0,0,[],-9
2023-06-07,0,-9,0,[],0,0,[],-9
2023-06-08,0,-9,0,[],0,0,[],-9
2023-06-09,0,-9,0,[],0,0,[],-9
2023-06-10,0,-9,0,[],0,0,[],-9
2023-06-11,0,-9,0,[],0,0,[],-9
2023-06-12,0,-9,0,[],0,0,[],-9
2023-06-13,0,-9,0,[],0,0,[],-9
2023-06-14,0,-9,0,[],0,0,[],-9
2023-06-15,0,-9,0,[],0,0,[],-9
2023-06-16,0,-9,0,[],0,0,[],-9
2023-06-17,0,-9,0,[],0,0,[],-9
2023-06-18,0,-9,0,[],0,0,[],-9
2023-06-19,0,-9,0,[],0,0,[],-9
2023-06-20,0,-9,0,[],0,0,[],-9
2023-06-21,0,-9,0,[],0,0,[],-9
2023-06-22,0,-9,0,[],0,0,[],-9
2023-06-23,0,-9,0,[],0,0,[],-9
2023-06-24,0,-9,0,[],0,0,[],-9
2023-06-25,34.2,3999.2,1,2023-6-25-0-0-0-0-56869.984539_,0,0,[],35.0
2023-06-26,100,3445.6,0,[],0,0,[],35.0
2023-06-27,100,3210.6,0,[],0,0,[],35.0
2023-06-28,100,3805.7,0,[],0,0,[],35.0
2023-06-29,100.0,4486.7,1,2023-6-29-0-0-0-0-1.584538_,0,0,[],35.0
2023-06-30,100.0,4745.5,1,2023-6-30-0-0-0-0-2.179538_,0,0,[],35.0
2023-07-01,100.0,4878.0,1,2023-7-1-0-0-0-0-0.804538_,0,0,[],35.0
2023-07-02,100,5014.5,0,[],0,0,[],35.0
2023-07-03,100,4560.9,0,[],0,0,[],35.0
2023-07-04,100,4040.5,0,[],0,0,[],35.0
2023-07-05,100.0,3997.1,1,2023-7-5-0-0-0-0-0.954539_,0,0,[],35.0
2023-07-06,100.0,4377.4,1,2023-7-6-0-0-0-0-1.939538_,0,0,[],35.0
2023-07-07,100.0,4252.2,1,2023-7-7-0-0-0-0-2.724538_,0,0,[],35.0
2023-07-08,100,4033.2,0,[],0,0,[],35.0
2023-07-09,100,4302.3,0,[],0,0,[],35.0
2023-07-10,100,4891.1,0,[],0,0,[],35.0
2023-07-11,100.0,4817.0,1,2023-7-11-0-0-0-0-0.879536_,0,0,[],35.0
2023-07-12,100,5479.7,0,[],2,0,[],35.0
2023-07-13,100.0,5756.3,1,2023-7-13-0-0-0-0-1.534538_,4,0,[],40.0
2023-07-14,100,5329.0,0,[],1,0,[],35.0
2023-07-15,100,4589.5,0,[],0,0,[],35.0
2023-07-16,100,4975.8,0,[],0,0,[],35.0
2023-07-17,100.0,5363.8,1,2023-7-17-0-0-0-0-2.389538_,0,0,[],35.0
2023-07-18,100,5463.1,0,[],0,0,[],35.0
2023-07-19,100.0,5643.6,1,2023-7-19-0-0-0-0-2.749538_,0,0,[],35.0
2023-07-20,100,5948.3,0,[],0,0,[],35.0
2023-07-21,100,5891.1,0,[],0,0,[],35.0
2023-07-22,100,5548.2,0,[],0,0,[],35.0
2023-07-23,100,5886.2,0,[],0,0,[],35.0
2023-07-24,100.0,6472.3,1,2023-7-24-0-0-0-0-1.639538_,2,0,[],40.0
2023-07-26,100.0,4446.8,1,2023-7-26-0-0-0-0-2.709538_,0,0,[],35.0
2023-07-27,100.0,3171.2,1,2023-7-27-0-0-0-9538-2.745_,1,0,[],35.0
2023-07-28,100,3805.0,0,[],0,0,[],35.0
2023-07-29,100,4427.1,0,[],0,0,[],35.0
2023-07-30,100,4849.0,0,[],0,0,[],35.0
2023-07-31,100,4947.7,0,[],0,0,[],35.0
2023-08-01,100.0,4731.4,1,2023-8-1-0-0-0-0-1.069538_,0,0,[],35.0
2023-08-02,100.0,4709.1,1,2023-8-2-0-0-0-0-1.954538_,0,0,[],35.0
2023-08-03,100.0,5176.0,1,2023-8-3-0-0-0-0-0.459538_,0,0,[],35.0
2023-08-04,100.0,5695.6,1,2023-8-4-0-0-0-0-2.339538_,2,0,[],35.0
2023-08-05,100,6012.7,0,[],2,0,[],40.0
2023-08-06,100,5890.0,0,[],0,0,[],40.0
2023-08-07,100,5376.4,0,[],0,0,[],35.0
2023-08-08,100.0,5561.0,1,2023-8-8-0-0-0-0-1.704538_,0,0,[],35.0
2023-08-09,100.0,5473.7,1,2023-8-9-0-0-0-0-0.554538_,1,0,[],35.0
2023-08-10,100.0,4229.5,1,2023-8-10-0-0-0-0-0.329538_,0,0,[],35.0
2023-08-11,100.0,4594.6,1,2023-8-11-0-0-0-0-0.574538_,0,0,[],35.0
2023-08-12,100,4686.8,0,[],0,0,[],35.0
2023-08-13,100,4310.0,0,[],0,0,[],35.0
2023-08-14,100.0,3928.5,1,2023-8-14-0-0-0-0-2.844538_,0,0,[],35.0
2023-08-15,100.0,4120.6,1,2023-8-15-0-0-0-0-1.354538_,0,0,[],35.0
2023-08-16,100,3652.9,0,[],1,0,[],35.0
2023-08-17,100,3238.4,0,[],1,1,2023-8-17-17-5-49-484538_,35.0
2023-08-18,100,3798.2,0,[],0,0,[],35.0
2023-08-19,100,3717.1,0,[],0,0,[],35.0
2023-08-20,100,3749.8,0,[],0,0,[],35.0
2023-08-21,100,3470.8,0,[],0,1,2023-8-21-22-1-57-699538_,35.0
2023-08-22,100,3319.8,0,[],0,0,[],35.0
2023-08-23,100,3270.9,0,[],1,0,[],35.0
2023-08-24,100,3307.0,0,[],0,0,[],35.0
2023-08-25,100,3447.2,0,[],0,0,[],35.0
2023-08-26,100,4122.5,0,[],0,0,[],35.0
2023-08-27,100,4571.3,0,[],0,0,[],35.0
2023-08-28,100,4595.2,0,[],0,0,[],35.0
2023-08-29,100,5082.3,0,[],0,0,[],35.0
2023-08-30,100.0,5367.5,1,2023-8-30-0-0-0-0-1.884538_,0,0,[],35.0
2023-08-31,100,5180.7,0,[],0,0,[],35.0
2023-09-01,100,5261.7,0,[],1,0,[],35.0
2023-09-02,100,4903.9,0,[],0,0,[],35.0
2023-09-03,100,3634.9,0,[],0,0,[],35.0
2023-09-04,100.0,3588.1,1,2023-9-4-0-0-0-0-2.624538_,0,0,[],35.0
2023-09-05,100.0,3906.8,1,2023-9-5-0-0-0-0-0.979538_,1,0,[],35.0
2023-09-06,100,4365.6,0,[],0,0,[],35.0
2023-09-07,100.0,4556.1,1,2023-9-7-0-0-0-0-2.809538_,1,0,[],35.0
2023-09-08,100,4536.9,0,[],0,0,[],35.0
2023-09-09,100,4757.9,0,[],0,0,[],35.0
2023-09-10,100,4699.0,0,[],1,0,[],35.0
2023-09-11,100,4562.0,0,[],1,0,[],35.0
2023-09-12,100.0,4852.1,1,2023-9-12-0-0-0-0-2.134538_,0,1,2023-9-12-23-12-5-284538_,35.0
2023-09-13,100.0,4977.2,1,2023-9-13-0-0-0-0-0.564538_,0,0,[],35.0
2023-09-14,100,4386.5,0,[],0,2,2023-9-14-7-2-13-399538_2023-9-14-14-26-8-999538_,35.0
2023-09-15,100,4222.8,0,[],0,0,[],35.0
2023-09-16,100,4607.3,0,[],0,1,2023-9-16-13-30-39-589538_,35.0
2023-09-17,100,4653.1,0,[],0,0,[],35.0
2023-09-18,100,4588.7,0,[],0,0,[],35.0
2023-09-19,100,4584.2,0,[],0,0,[],35.0
2023-09-20,100,4432.3,0,[],1,0,[],35.0
2023-09-21,100.0,4528.3,1,2023-9-21-0-0-0-0-2.819538_,0,0,[],35.0
2023-09-22,100.0,4964.1,1,2023-9-22-0-0-0-0-1.684538_,0,1,2023-9-22-22-49-22-134538_,35.0
2023-09-23,100,4086.6,0,[],0,0,[],35.0
2023-09-24,100,3712.3,0,[],0,0,[],35.0
2023-09-25,100.0,3809.2,1,2023-9-25-0-0-0-0-2.414538_,2,0,[],35.0
2023-09-26,100,3838.9,0,[],0,0,[],35.0
2023-09-27,100.0,3119.6,1,2023-9-27-0-0-0-0-1.549538_,0,0,[],35.0
2023-09-28,100,2811.5,0,[],1,0,[],35.0
2023-09-29,100.0,2618.5,1,2023-9-29-0-0-0-0-1.044538_,0,0,[],35.0
2023-09-30,100,3150.9,0,[],0,0,[],35.0
2023-10-01,100,3393.4,0,[],0,0,[],35.0
2023-10-02,100.0,3308.8,1,2023-10-2-0-0-0-0-0.739538_,0,0,[],35.0
2023-10-03,100.0,2922.2,1,2023-10-3-0-0-0-0-0.724538_,0,0,[],35.0
2023-10-04,100.0,2454.2,1,2023-10-4-0-0-0-0-2.519538_,1,0,[],35.0
2023-10-05,100,2413.2,0,[],1,0,[],35.0
2023-10-06,100.0,2178.1,1,2023-10-6-0-0-0-0-2.754538_,1,0,[],35.0
2023-10-07,100,2126.8,0,[],0,0,[],35.0
2023-10-08,100,2227.5,0,[],0,0,[],35.0
2023-10-09,100.0,2264.2,1,2023-10-9-0-0-0-0-0.604538_,0,0,[],35.0
2023-10-10,100.0,2146.6,1,2023-10-10-0-0-0-0-2.764539_,0,0,[],35.0
2023-10-11,100.0,1897.6,1,2023-10-11-0-0-0-0-0.234538_,0,0,[],35.0
2023-10-12,100.0,2338.4,1,2023-10-12-0-0-0-0-2.709538_,0,0,[],35.0
2023-10-13,100.0,2687.6,1,2023-10-13-0-0-0-0-0.624538_,0,0,[],35.0
2023-10-14,100,2582.6,0,[],0,0,[],35.0
2023-10-15,100,2253.4,0,[],0,0,[],35.0
2023-10-16,100.0,2202.5,1,2023-10-16-0-0-0-0-0.899538_,0,0,[],35.0
2023-10-17,100.0,1917.2,1,2023-10-17-0-0-0-0-0.684538_,0,0,[],35.0
2023-10-18,100.0,2112.8,1,2023-10-18-0-0-0-0-1.954538_,0,0,[],35.0
2023-10-19,100.0,2292.1,1,2023-10-19-0-0-0-0-1.334539_,0,0,[],35.0
2023-10-20,100.0,1813.6,1,2023-10-20-0-0-0-0-0.714538_,1,0,[],35.0
2023-10-21,100,1040.7,0,[],1,0,[],35.0
2023-10-22,100,1198.6,0,[],0,0,[],35.0
2023-10-22,100.0,1198.6,1,2023-10-22-0-0-0-0-0.849538_,0,0,[],35.0
2023-10-23,100,1123.9,0,[],0,0,[],35.0
2023-10-24,100,1108.6,0,[],0,1,2023-10-24-23-17-22-604538_,35.0
2023-10-25,100.0,769.6,1,2023-10-25-0-0-0-0-1.159538_,1,0,[],35.0
2023-10-26,100.0,713.5,1,2023-10-26-0-0-0-0-2.034538_,0,0,[],35.0
2023-10-27,100,442.6,0,[],0,0,[],35.0
2023-10-28,100,458.1,0,[],0,0,[],35.0
2023-10-29,100,503.0,0,[],0,0,[],35.0
2023-10-30,100.0,727.8,1,2023-10-30-0-0-0-0-1.089538_,0,1,2023-10-30-11-45-11-589538_,35.0
2023-10-31,100,473.7,0,[],0,0,[],35.0
2023-11-01,100,603.6,0,[],0,0,[],35.0
2023-11-02,100.0,363.3,1,2023-11-2-0-0-0-0-1.799538_,0,0,[],35.0
2023-11-03,100,377.3,0,[],0,0,[],35.0
2023-11-04,100,318.0,0,[],0,0,[],35.0
2023-11-05,100,445.2,0,[],0,0,[],35.0
2023-11-06,100,271.9,0,[],0,0,[],35.0
2023-11-07,100.0,-46.7,1,2023-11-7-0-0-0-0-1.009538_,1,0,[],35.0
2023-11-08,100,318.9,0,[],0,0,[],35.0
2023-11-09,100,680.1,0,[],5,0,[],35.0
2023-11-10,100.0,636.8,1,2023-11-10-15-38-28-979536-0.8950018882751465_,3,1,2023-11-10-7-48-40-784538_,35.0
2023-11-11,100,695.3,0,[],0,0,[],35.0
2023-11-12,100,568.6,0,[],1,0,[],35.0
2023-11-13,100,329.4,0,[],0,1,2023-11-13-5-42-55-309538_,35.0
2023-11-14,100,572.2,0,[],0,0,[],35.0
2023-11-15,100,508.1,0,[],0,0,[],35.0
2023-11-16,100,95.9,0,[],0,0,[],35.0
2023-11-17,100.0,369.4,1,2023-11-17-0-0-0-0-1.104538_,1,0,[],35.0
2023-11-18,100,-140.6,0,[],0,0,[],35.0
2023-11-19,100,-342.3,0,[],0,0,[],35.0
2023-11-20,100.0,-373.9,1,2023-11-20-0-0-0-0-0.659538_,0,0,[],35.0
