fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,55.5,1,2023-1-1-0-0-0-0-0.908391_,0,2,2023-1-1-22-33-26-408391_2023-1-1-22-35-31-558391_,0.0
2023-01-02,100,49.8,0,[],0,0,[],0.0
2023-01-03,100,15.0,0,[],0,0,[],0.0
2023-01-04,100,25.4,0,[],0,1,2023-1-4-20-27-32-548393_,0.0
2023-01-05,100,32.1,0,[],0,2,2023-1-5-22-43-58-218393_2023-1-5-22-45-41-418393_,0.0
2023-01-06,100,11.1,0,[],0,7,2023-1-6-1-57-32-768393_2023-1-6-1-58-58-968393_2023-1-6-2-1-32-618393_2023-1-6-2-2-22-618393_2023-1-6-4-37-54-618393_2023-1-6-10-49-28-118393_2023-1-6-10-50-19-668393_,0.0
2023-01-07,100,-26.9,0,[],0,0,[],0.0
2023-01-08,100,-2.1,0,[],0,7,2023-1-8-13-22-58-728393_2023-1-8-13-31-51-478393_2023-1-8-18-38-50-578393_2023-1-8-18-53-11-78393_2023-1-8-23-54-0-628393_2023-1-8-23-59-6-978393_2023-1-8-23-59-57-828393_,0.0
2023-01-09,100,-17.5,0,[],0,3,2023-1-9-0-0-1-918393_2023-1-9-0-0-52-418393_2023-1-9-18-53-38-18393_,0.0
2023-01-10,100,-0.1,0,[],0,0,[],0.0
2023-01-11,100,-0.0,0,[],0,0,[],0.0
2023-01-12,100,-18.0,0,[],0,0,[],0.0
2023-01-13,100,45.9,0,[],0,2,2023-1-13-7-23-32-968393_2023-1-13-16-43-21-268393_,0.0
2023-01-14,100,5.6,0,[],0,1,2023-1-14-18-20-13-948393_,0.0
2023-01-15,100,19.0,0,[],0,0,[],0.0
2023-01-16,100,35.0,0,[],0,0,[],0.0
2023-01-17,100,-8.2,0,[],0,5,2023-1-17-15-43-41-548393_2023-1-17-15-45-7-348393_2023-1-17-15-45-57-748393_2023-1-17-23-16-31-348393_2023-1-17-23-17-21-798393_,0.0
2023-01-18,100,11.6,0,[],0,4,2023-1-18-4-12-10-798393_2023-1-18-4-13-1-48393_2023-1-18-8-19-13-798393_2023-1-18-11-15-11-998393_,0.0
2023-01-19,100,14.4,0,[],0,1,2023-1-19-18-0-37-528393_,0.0
2023-01-20,100,6.3,0,[],1,4,2023-1-20-11-30-53-438393_2023-1-20-11-33-42-238393_2023-1-20-22-20-15-318393_2023-1-20-22-21-34-168393_,0.0
2023-01-21,100,19.0,0,[],0,0,[],0.0
2023-01-22,100,32.6,0,[],0,1,2023-1-22-0-59-59-938393_,0.0
2023-01-23,100,7.2,0,[],0,0,[],0.0
2023-01-24,100,26.8,0,[],0,0,[],0.0
2023-01-25,100,7.7,0,[],2,0,[],0.0
2023-01-26,100,16.0,0,[],0,2,2023-1-26-2-42-23-728393_2023-1-26-4-32-12-528393_,0.0
2023-01-27,100,33.7,0,[],1,1,2023-1-27-4-35-28-628393_,0.0
2023-01-28,100,60.7,0,[],0,2,2023-1-28-10-55-5-798393_2023-1-28-15-14-16-498393_,0.0
2023-01-29,100,55.7,0,[],0,0,[],0.0
2023-01-30,100,22.5,0,[],1,0,[],0.0
2023-01-31,100,60.3,0,[],0,0,[],0.0
2023-02-01,100,33.3,0,[],0,1,2023-2-1-19-52-44-668393_,0.0
2023-02-02,100,38.6,0,[],0,0,[],0.0
2023-02-03,100,16.1,0,[],0,0,[],0.0
2023-02-04,100,5.5,0,[],0,0,[],0.0
2023-02-05,100,19.4,0,[],0,1,2023-2-5-20-5-26-18393_,0.0
2023-02-06,100,10.7,0,[],0,10,2023-2-6-1-49-29-198391_2023-2-6-1-50-21-748391_2023-2-6-1-51-36-298391_2023-2-6-1-54-12-348391_2023-2-6-1-55-11-398391_2023-2-6-2-5-54-398391_2023-2-6-2-9-31-798391_2023-2-6-4-35-43-848391_2023-2-6-11-10-19-198391_2023-2-6-11-13-21-98391_,5.0
2023-02-07,100,23.3,0,[],1,2,2023-2-7-0-44-51-558393_2023-2-7-2-58-0-708393_,0.0
2023-02-08,100,33.0,0,[],0,0,[],0.0
2023-02-09,100,37.0,0,[],0,0,[],0.0
2023-02-10,100,37.2,0,[],0,0,[],0.0
2023-02-11,100,-3.3,0,[],0,0,[],0.0
2023-02-12,100,38.1,0,[],0,0,[],0.0
2023-02-13,100,5.7,0,[],0,0,[],0.0
2023-02-14,100,-8.6,0,[],1,1,2023-2-14-4-8-54-988393_,0.0
2023-02-15,100,23.7,0,[],2,1,2023-2-15-13-5-53-948393_,0.0
2023-02-16,100,-19.7,0,[],1,1,2023-2-16-0-51-38-618393_,0.0
2023-02-17,100,1.4,0,[],0,0,[],0.0
2023-02-18,100,-17.7,0,[],1,0,[],0.0
2023-02-19,100,-9.4,0,[],1,1,2023-2-19-2-56-8-418393_,0.0
2023-02-20,100,-65.8,0,[],1,1,2023-2-20-19-22-48-548393_,0.0
2023-02-21,100,-45.3,0,[],0,0,[],0.0
2023-02-22,100,-39.4,0,[],0,0,[],0.0
2023-02-23,100,-114.0,0,[],0,4,2023-2-23-1-59-27-678393_2023-2-23-2-1-53-878393_2023-2-23-2-16-31-328393_2023-2-23-2-21-49-278393_,0.0
2023-02-24,100,-4.4,0,[],0,0,[],0.0
2023-02-25,100,11.5,0,[],1,0,[],0.0
2023-02-26,100,-8.7,0,[],1,0,[],0.0
2023-02-27,100,-11.3,0,[],0,1,2023-2-27-13-49-8-218393_,0.0
2023-02-28,100,6.2,0,[],0,2,2023-2-28-22-21-41-18393_2023-2-28-22-23-12-918393_,0.0
2023-03-01,100,39.1,0,[],1,1,2023-3-1-11-49-35-308393_,0.0
2023-03-02,100,52.5,0,[],1,1,2023-3-2-4-49-41-438393_,0.0
2023-03-03,100,49.5,0,[],0,0,[],0.0
2023-03-04,100,7.7,0,[],0,0,[],0.0
2023-03-05,100,49.9,0,[],0,5,2023-3-5-13-36-13-578393_2023-3-5-13-37-3-678393_2023-3-5-14-21-10-328393_2023-3-5-14-22-0-628393_2023-3-5-16-0-51-978393_,0.0
2023-03-06,100,6.6,0,[],0,0,[],0.0
2023-03-07,100,-64.7,0,[],0,2,2023-3-7-4-1-11-668393_2023-3-7-4-2-4-868393_,0.0
2023-03-08,100,-33.4,0,[],0,1,2023-3-8-14-24-19-378393_,0.0
2023-03-09,100,-110.6,0,[],0,0,[],0.0
2023-03-10,100,-68.7,0,[],0,5,2023-3-10-5-0-53-618393_2023-3-10-5-1-54-168393_2023-3-10-9-20-20-368393_2023-3-10-20-49-2-68393_2023-3-10-20-49-53-368393_,0.0
2023-03-11,100,-12.6,0,[],0,2,2023-3-11-21-13-29-818393_2023-3-11-21-14-20-418393_,0.0
2023-03-12,100,-47.8,0,[],0,0,[],0.0
2023-03-13,100,19.7,0,[],0,2,2023-3-13-19-56-4-268393_2023-3-13-19-57-52-768393_,0.0
2023-03-14,100,-11.2,0,[],0,1,2023-3-14-5-8-43-668393_,0.0
2023-03-15,100,-50.0,0,[],0,1,2023-3-15-1-56-35-778393_,0.0
2023-03-16,100,31.4,0,[],0,8,2023-3-16-1-46-50-348393_2023-3-16-1-47-40-698393_2023-3-16-1-48-48-648393_2023-3-16-7-26-56-748393_2023-3-16-10-43-4-798393_2023-3-16-14-5-16-748393_2023-3-16-23-9-21-248393_2023-3-16-23-11-11-798393_,0.0
2023-03-17,100,62.5,0,[],0,1,2023-3-17-18-45-9-538393_,0.0
2023-03-18,100,57.4,0,[],0,4,2023-3-18-17-16-38-668393_2023-3-18-17-17-30-68393_2023-3-18-18-1-17-68393_2023-3-18-18-7-5-868393_,0.0
2023-03-19,100,28.1,0,[],0,0,[],0.0
2023-03-20,100,56.6,0,[],0,1,2023-3-20-10-39-1-288393_,0.0
2023-03-21,100,54.0,0,[],0,2,2023-3-21-1-51-30-318393_2023-3-21-13-57-49-718393_,0.0
2023-03-22,100,45.4,0,[],0,2,2023-3-22-16-14-1-588393_2023-3-22-16-19-27-38393_,0.0
2023-03-23,100,69.6,0,[],0,0,[],0.0
2023-03-24,100,61.2,0,[],0,0,[],0.0
2023-03-25,100,9.5,0,[],0,0,[],0.0
2023-03-26,100,-2.8,0,[],0,0,[],0.0
2023-03-27,100,-12.4,0,[],1,0,[],0.0
2023-03-28,100,5.3,0,[],2,0,[],0.0
2023-03-29,100,-29.2,0,[],1,0,[],0.0
2023-03-30,100,-71.7,0,[],2,7,2023-3-30-8-26-57-638393_2023-3-30-17-55-33-138393_2023-3-30-17-56-30-488393_2023-3-30-17-57-22-738393_2023-3-30-17-58-37-838393_2023-3-30-18-1-36-538393_2023-3-30-23-12-15-168393_,0.0
2023-03-31,100,30.1,0,[],0,0,[],0.0
2023-04-01,100,44.8,0,[],0,0,[],0.0
2023-04-02,100,70.1,0,[],0,3,2023-4-2-7-21-43-428393_2023-4-2-19-4-11-928393_2023-4-2-19-5-4-78393_,0.0
2023-04-03,100,38.4,0,[],0,0,[],0.0
2023-04-04,100,54.7,0,[],0,4,2023-4-4-19-28-28-678393_2023-4-4-22-21-48-528393_2023-4-4-22-22-50-78393_2023-4-4-22-23-42-878393_,0.0
2023-04-05,100,9.7,0,[],2,3,2023-4-5-3-21-48-268393_2023-4-5-3-23-16-968393_2023-4-5-3-24-7-118393_,0.0
2023-04-06,100,-14.8,0,[],0,1,2023-4-6-23-16-46-348393_,0.0
2023-04-07,100,-2.7,0,[],0,0,[],0.0
2023-04-08,100,-5.8,0,[],0,0,[],0.0
2023-04-09,100,19.6,0,[],0,1,2023-4-9-21-58-1-368393_,0.0
2023-04-10,100,42.9,0,[],0,0,[],0.0
2023-04-11,100,14.6,0,[],0,0,[],0.0
2023-04-12,100,-17.3,0,[],0,0,[],0.0
2023-04-13,100,22.3,0,[],0,1,2023-4-13-8-28-19-938393_,0.0
2023-04-14,100,-27.4,0,[],0,4,2023-4-14-10-40-44-718393_2023-4-14-23-18-18-868393_2023-4-14-23-20-4-768393_2023-4-14-23-20-54-768393_,0.0
2023-04-15,100,-12.4,0,[],0,1,2023-4-15-20-53-28-358393_,0.0
2023-04-16,100,9.2,0,[],0,0,[],0.0
2023-04-17,100,-26.5,0,[],3,1,2023-4-17-23-54-13-968393_,0.0
2023-04-18,100,-26.7,0,[],0,1,2023-4-18-15-43-51-698393_,0.0
2023-04-19,100,-12.2,0,[],3,0,[],0.0
2023-04-20,100,22.1,0,[],0,1,2023-4-20-12-35-35-58393_,0.0
2023-04-21,100,-29.7,0,[],0,3,2023-4-21-21-39-4-138393_2023-4-21-21-39-55-138393_2023-4-21-23-16-15-488393_,0.0
2023-04-22,100,-5.8,0,[],0,0,[],0.0
2023-04-23,100,7.2,0,[],0,0,[],0.0
2023-04-24,100,6.5,0,[],0,10,2023-4-24-1-31-6-598393_2023-4-24-1-32-12-748393_2023-4-24-1-33-3-198393_2023-4-24-2-5-18-348393_2023-4-24-21-46-49-348393_2023-4-24-21-47-47-748393_2023-4-24-22-1-2-998393_2023-4-24-22-1-53-598393_2023-4-24-22-8-19-898393_2023-4-24-22-9-40-848393_,0.0
2023-04-25,100,7.3,0,[],0,2,2023-4-25-5-40-29-718393_2023-4-25-5-41-21-768393_,0.0
2023-04-26,100,20.9,0,[],1,1,2023-4-26-3-19-0-658393_,0.0
2023-04-27,100,-7.0,0,[],2,1,2023-4-27-23-13-1-218393_,0.0
2023-04-28,100,10.2,0,[],0,6,2023-4-28-6-44-52-318393_2023-4-28-6-45-53-518393_2023-4-28-6-47-14-318393_2023-4-28-10-17-25-168393_2023-4-28-20-0-47-18393_2023-4-28-22-10-28-518393_,0.0
2023-04-29,100,61.3,0,[],0,0,[],0.0
2023-04-30,100,47.6,0,[],0,0,[],0.0
2023-05-01,100,27.5,0,[],0,2,2023-5-1-9-37-27-358393_2023-5-1-19-4-44-658393_,0.0
2023-05-02,100,12.1,0,[],0,0,[],0.0
2023-05-03,100,-19.4,0,[],0,0,[],0.0
2023-05-04,100,-7.4,0,[],0,0,[],0.0
2023-05-05,100,36.5,0,[],0,0,[],0.0
2023-05-06,100,24.6,0,[],0,0,[],0.0
2023-05-07,100,43.8,0,[],0,1,2023-5-7-8-6-10-88393_,0.0
2023-05-08,100,19.5,0,[],0,2,2023-5-8-0-55-29-908393_2023-5-8-0-56-20-858393_,0.0
2023-05-09,100,13.3,0,[],0,0,[],0.0
