fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,362.4,1,2023-1-1-0-0-0-0-3.708393_,0,17,2023-1-1-0-57-57-558393_2023-1-1-3-45-54-58393_2023-1-1-4-16-33-158393_2023-1-1-4-56-29-258393_2023-1-1-6-0-4-758393_2023-1-1-6-11-21-658393_2023-1-1-6-16-50-958393_2023-1-1-9-4-46-158393_2023-1-1-10-26-26-658393_2023-1-1-10-27-16-758393_2023-1-1-13-16-8-908393_2023-1-1-15-54-59-858393_2023-1-1-15-55-49-958393_2023-1-1-17-2-5-708393_2023-1-1-18-12-10-858393_2023-1-1-21-19-0-858393_2023-1-1-21-34-21-208393_,10.0
2023-01-02,100,374.1,0,[],0,20,2023-1-2-0-43-58-368393_2023-1-2-4-31-3-568393_2023-1-2-4-52-11-818393_2023-1-2-5-58-28-418393_2023-1-2-7-18-27-768393_2023-1-2-7-19-17-818393_2023-1-2-8-10-55-218393_2023-1-2-8-44-36-68393_2023-1-2-8-45-26-568393_2023-1-2-11-42-4-318393_2023-1-2-11-42-55-168393_2023-1-2-12-44-26-768393_2023-1-2-12-45-16-818393_2023-1-2-14-0-27-668393_2023-1-2-14-1-18-68393_2023-1-2-16-22-26-318393_2023-1-2-21-39-30-368393_2023-1-2-21-40-21-218393_2023-1-2-23-26-48-718393_2023-1-2-23-27-38-968393_,0.0
2023-01-03,100,461.0,0,[],0,15,2023-1-3-1-27-57-448391_2023-1-3-1-28-48-548391_2023-1-3-2-23-50-548391_2023-1-3-2-24-41-948391_2023-1-3-5-39-54-548391_2023-1-3-5-40-45-248391_2023-1-3-8-36-4-448391_2023-1-3-10-18-53-48391_2023-1-3-10-19-43-648391_2023-1-3-13-44-42-898391_2023-1-3-13-45-36-348391_2023-1-3-17-48-30-398391_2023-1-3-17-49-20-398391_2023-1-3-19-58-13-598391_2023-1-3-23-23-58-198391_,0.0
2023-01-04,100,429.8,0,[],0,21,2023-1-4-1-2-35-58393_2023-1-4-1-3-25-158393_2023-1-4-3-12-5-808393_2023-1-4-3-12-55-858393_2023-1-4-5-5-7-208393_2023-1-4-5-15-9-908393_2023-1-4-7-55-53-308393_2023-1-4-7-56-44-658393_2023-1-4-9-31-41-908393_2023-1-4-9-32-32-108393_2023-1-4-10-39-37-708393_2023-1-4-10-40-28-708393_2023-1-4-12-26-24-908393_2023-1-4-12-27-15-158393_2023-1-4-14-3-19-308393_2023-1-4-14-4-9-608393_2023-1-4-17-52-30-208393_2023-1-4-17-53-20-708393_2023-1-4-20-5-5-208393_2023-1-4-21-30-4-508393_2023-1-4-22-2-2-608393_,5.0
2023-01-05,100,392.2,0,[],0,15,2023-1-5-0-0-18-808393_2023-1-5-3-19-36-8393_2023-1-5-5-43-6-858393_2023-1-5-7-1-32-708393_2023-1-5-7-2-22-708393_2023-1-5-9-49-33-458393_2023-1-5-9-50-23-708393_2023-1-5-14-32-11-108393_2023-1-5-16-28-19-208393_2023-1-5-16-31-31-258393_2023-1-5-18-3-6-8393_2023-1-5-18-4-12-608393_2023-1-5-20-9-23-808393_2023-1-5-20-21-19-658393_2023-1-5-22-23-37-458393_,0.0
2023-01-06,100,374.2,0,[],0,11,2023-1-6-0-56-51-508393_2023-1-6-0-57-41-508393_2023-1-6-3-5-16-808393_2023-1-6-4-38-0-208393_2023-1-6-8-27-58-208393_2023-1-6-8-28-49-108393_2023-1-6-12-52-23-958393_2023-1-6-16-10-10-608393_2023-1-6-17-4-44-158393_2023-1-6-18-38-8-758393_2023-1-6-22-24-22-308393_,0.0
2023-01-07,100,550.8,0,[],0,23,2023-1-7-0-53-28-768391_2023-1-7-3-43-10-168391_2023-1-7-3-44-0-168391_2023-1-7-5-23-14-468391_2023-1-7-6-41-41-268391_2023-1-7-7-0-8-18391_2023-1-7-9-1-35-668391_2023-1-7-9-14-45-868391_2023-1-7-9-21-23-768391_2023-1-7-12-11-14-18391_2023-1-7-13-22-49-818391_2023-1-7-14-23-53-518391_2023-1-7-14-58-3-718391_2023-1-7-16-21-17-968391_2023-1-7-17-39-49-568391_2023-1-7-18-30-0-168391_2023-1-7-18-59-30-618391_2023-1-7-19-19-25-168391_2023-1-7-20-5-50-518391_2023-1-7-20-44-52-118391_2023-1-7-21-41-9-618391_2023-1-7-22-24-13-268391_2023-1-7-23-10-43-518391_,20.0
2023-01-08,100,355.8,0,[],0,19,2023-1-8-0-22-34-888393_2023-1-8-1-20-3-888393_2023-1-8-1-33-12-438393_2023-1-8-1-42-38-438393_2023-1-8-2-33-37-38393_2023-1-8-3-27-0-338393_2023-1-8-4-49-42-338393_2023-1-8-7-46-42-738393_2023-1-8-9-13-30-938393_2023-1-8-10-40-52-438393_2023-1-8-12-49-4-988393_2023-1-8-14-47-11-988393_2023-1-8-16-5-53-438393_2023-1-8-17-25-36-838393_2023-1-8-19-38-41-488393_2023-1-8-20-23-32-688393_2023-1-8-20-24-22-788393_2023-1-8-22-15-49-788393_2023-1-8-22-16-42-88393_,15.0
2023-01-09,100,432.4,0,[],0,21,2023-1-9-0-26-53-8393_2023-1-9-2-1-45-658393_2023-1-9-2-56-5-8393_2023-1-9-3-33-49-758393_2023-1-9-4-54-19-608393_2023-1-9-4-59-51-458393_2023-1-9-6-32-7-208393_2023-1-9-7-29-56-208393_2023-1-9-8-5-13-408393_2023-1-9-8-28-21-8393_2023-1-9-9-13-13-658393_2023-1-9-11-41-55-208393_2023-1-9-11-42-46-458393_2023-1-9-12-22-48-958393_2023-1-9-13-4-36-358393_2023-1-9-13-42-53-908393_2023-1-9-16-53-53-758393_2023-1-9-16-54-44-708393_2023-1-9-18-52-59-908393_2023-1-9-21-11-24-308393_2023-1-9-23-0-23-658393_,15.0
2023-01-10,100,403.4,0,[],0,15,2023-1-10-4-13-38-858393_2023-1-10-4-14-29-558393_2023-1-10-6-4-53-8393_2023-1-10-7-47-18-308393_2023-1-10-9-29-44-458393_2023-1-10-11-5-48-758393_2023-1-10-13-16-49-458393_2023-1-10-15-25-12-258393_2023-1-10-15-26-3-58393_2023-1-10-17-18-31-308393_2023-1-10-17-19-22-208393_2023-1-10-19-43-29-8393_2023-1-10-19-44-19-58393_2023-1-10-21-47-33-358393_2023-1-10-21-48-52-408393_,0.0
