fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,8867.7,1,2023-1-1-0-0-0-0-1.739538_,0,0,[],35.0
2023-01-02,100,8907.6,0,[],0,0,[],35.0
2023-01-03,100,8916.6,0,[],0,0,[],35.0
2023-01-04,100,8857.0,0,[],0,1,2023-1-4-17-58-32-194538_,35.0
2023-01-05,100,8816.1,0,[],0,1,2023-1-5-11-4-24-329538_,35.0
2023-01-06,100,8759.6,0,[],0,0,[],35.0
2023-01-07,100,8731.6,0,[],0,0,[],35.0
2023-01-08,100,8728.4,0,[],0,0,[],35.0
2023-01-09,100,8683.5,0,[],0,0,[],35.0
2023-01-10,100,8674.7,0,[],0,0,[],35.0
2023-01-11,100,8666.9,0,[],0,0,[],35.0
2023-01-12,100,8673.4,0,[],0,1,2023-1-12-2-54-46-254538_,35.0
2023-01-13,100,8649.5,0,[],0,1,2023-1-13-7-22-19-19538_,35.0
2023-01-14,100,8659.7,0,[],0,1,2023-1-14-18-18-54-514538_,35.0
2023-01-15,100,8647.2,0,[],0,0,[],35.0
2023-01-16,100,8639.5,0,[],0,0,[],35.0
2023-01-17,100,8655.1,0,[],0,0,[],35.0
2023-01-18,100,8654.4,0,[],0,0,[],35.0
2023-01-19,100,8662.9,0,[],0,0,[],35.0
2023-01-20,100,8694.3,0,[],1,0,[],35.0
2023-01-21,100,8737.9,0,[],0,0,[],35.0
2023-01-22,100,8776.9,0,[],0,0,[],35.0
2023-01-23,100,8838.3,0,[],0,0,[],30.0
2023-01-24,100,8887.4,0,[],0,0,[],35.0
2023-01-25,100,8900.5,0,[],2,0,[],35.0
2023-01-26,100,8859.1,0,[],0,0,[],35.0
2023-01-27,100,8822.2,0,[],1,0,[],35.0
2023-01-28,100,8776.9,0,[],0,0,[],35.0
2023-01-29,100,8735.8,0,[],0,0,[],35.0
2023-01-30,100,8744.0,0,[],1,0,[],35.0
2023-01-31,100,8788.0,0,[],0,0,[],35.0
2023-02-01,100,8755.0,0,[],0,0,[],35.0
2023-02-02,100,8782.4,0,[],0,0,[],35.0
2023-02-03,100,8802.6,0,[],0,0,[],35.0
2023-02-04,100,8891.1,0,[],0,0,[],35.0
2023-02-05,100,9187.5,0,[],0,0,[],35.0
2023-02-06,100,9242.0,0,[],0,0,[],35.0
2023-02-07,100,9172.4,0,[],1,2,2023-2-7-2-56-43-704538_2023-2-7-9-27-35-404538_,35.0
2023-02-08,100,9140.3,0,[],0,0,[],35.0
2023-02-09,100,9218.3,0,[],0,0,[],35.0
2023-02-10,100,9255.1,0,[],0,1,2023-2-10-20-21-41-94538_,35.0
2023-02-11,100,9220.1,0,[],0,0,[],35.0
2023-02-12,100,9190.4,0,[],0,0,[],35.0
2023-02-13,100,9169.0,0,[],0,0,[],35.0
2023-02-14,100,9147.8,0,[],1,0,[],35.0
2023-02-15,100,9171.9,0,[],2,2,2023-2-15-13-4-46-19538_2023-2-15-22-55-11-234538_,35.0
2023-02-16,100,9157.8,0,[],1,1,2023-2-16-22-19-59-884538_,35.0
2023-02-17,100,9077.7,0,[],0,0,[],35.0
2023-02-18,100,9059.7,0,[],1,0,[],35.0
2023-02-19,100,9040.2,0,[],1,0,[],35.0
2023-02-20,100,9039.1,0,[],1,0,[],35.0
2023-02-21,100,9110.4,0,[],0,0,[],35.0
2023-02-22,100,9136.1,0,[],0,0,[],35.0
2023-02-23,100,9078.8,0,[],0,0,[],35.0
2023-02-24,100,9067.5,0,[],0,1,2023-2-24-11-23-50-839539_,35.0
2023-02-25,100,9249.3,0,[],1,0,[],35.0
2023-02-26,100,9469.7,0,[],1,0,[],35.0
2023-02-27,100,9657.7,0,[],0,0,[],35.0
2023-02-28,100,9793.1,0,[],0,0,[],35.0
2023-03-01,100,9966.8,0,[],1,0,[],35.0
2023-03-02,100,10063.6,0,[],1,0,[],35.0
2023-03-03,100,10017.9,0,[],0,1,2023-3-3-20-10-38-619539_,35.0
2023-03-04,100,9951.3,0,[],0,1,2023-3-4-7-20-28-119538_,35.0
2023-03-05,100,9865.6,0,[],0,0,[],35.0
2023-03-06,100,9797.4,0,[],0,0,[],35.0
2023-03-07,100,9757.3,0,[],0,0,[],35.0
2023-03-08,100,9749.0,0,[],0,0,[],35.0
2023-03-09,100,9720.7,0,[],0,0,[],35.0
2023-03-10,100,9711.9,0,[],0,1,2023-3-10-9-19-22-394538_,35.0
2023-03-11,100,9701.8,0,[],0,2,2023-3-11-5-12-41-534538_2023-3-11-17-20-7-184538_,35.0
2023-03-12,100,9682.0,0,[],0,0,[],35.0
2023-03-13,100,9655.9,0,[],0,0,[],35.0
2023-03-14,100,9621.3,0,[],0,1,2023-3-14-5-7-42-74538_,35.0
2023-03-15,100,9584.6,0,[],0,0,[],35.0
2023-03-16,100,9542.9,0,[],0,0,[],35.0
2023-03-17,100,9566.6,0,[],0,0,[],35.0
2023-03-18,100,9547.1,0,[],0,0,[],35.0
2023-03-19,100,9515.0,0,[],0,0,[],35.0
2023-03-20,100,9490.0,0,[],0,0,[],35.0
2023-03-21,100,9539.7,0,[],0,0,[],35.0
2023-03-22,100,9562.4,0,[],0,0,[],35.0
2023-03-23,100,9610.6,0,[],0,0,[],35.0
2023-03-24,100,9627.2,0,[],0,0,[],35.0
2023-03-25,100,9657.1,0,[],0,0,[],35.0
2023-03-26,100,9672.8,0,[],0,1,2023-3-26-23-1-6-804538_,35.0
2023-03-27,100,9602.0,0,[],1,1,2023-3-27-10-28-1-499538_,35.0
2023-03-28,100,9554.2,0,[],2,0,[],35.0
2023-03-29,100.0,9557.1,1,2023-3-29-17-28-59-979538-0.9150009155273438_,0,0,[],35.0
2023-03-30,100,9569.4,0,[],2,1,2023-3-30-8-25-28-604538_,35.0
2023-03-31,100,9572.1,0,[],0,0,[],35.0
2023-04-01,100,9578.4,0,[],0,0,[],35.0
2023-04-02,100,9582.9,0,[],0,0,[],35.0
2023-04-03,100,9574.3,0,[],0,0,[],35.0
