fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,2284.7,1,2023-1-1-0-0-0-0-0.665_,0,0,[],40.0
2023-01-02,58.4,2158.3,1,2023-1-2-0-2-25-985000-35924.00999999046_,2,0,[],40.0
2023-01-03,100,1268.1,0,[],0,0,[],40.0
2023-01-04,100,833.6,0,[],1,0,[],40.0
2023-01-05,100,635.5,0,[],0,0,[],40.0
2023-01-06,100.0,804.4,1,2023-1-6-0-2-38-995000-24.99999976158142_,1,0,[],40.0
2023-01-07,29.4,947.5,1,2023-1-7-0-3-21-995000-60979.99999976158_,2,0,[],40.0
2023-01-08,100,765.1,0,[],1,0,[],40.0
2023-01-09,34.2,619.0,6,2023-1-9-1-32-44-995000-4.999999761581421_2023-1-9-1-33-9-995000-4.999999761581421_2023-1-9-1-33-19-995000-34.99999976158142_2023-1-9-1-33-59-995000-229.99999976158142_2023-1-9-1-38-19-995000-94.99999976158142_2023-1-9-2-48-24-995000-56469.99999976158_,7,0,[],40.0
2023-01-10,46.1,703.3,3,2023-1-10-0-0-49-995000-19.99999976158142_2023-1-10-8-36-39-995000-644.9999997615814_2023-1-10-8-55-59-995000-45939.99999976158_,6,0,[],40.0
2023-01-11,100,1258.1,0,[],1,0,[],40.0
2023-01-12,100,1207.2,0,[],4,0,[],40.0
2023-01-13,100,1015.6,0,[],0,0,[],40.0
2023-01-14,78.5,1053.6,1,2023-1-14-0-5-11-995000-18557.99999976158_,2,0,[],40.0
2023-01-15,99.5,918.4,3,2023-1-15-9-51-44-995000-4.999999761581421_2023-1-15-21-58-40-995000-39.99999976158142_2023-1-15-21-59-40-995000-354.9999997615814_,2,0,[],40.0
2023-01-16,44.0,702.5,8,2023-1-16-1-1-35-995000-4.999999761581421_2023-1-16-1-1-45-995000-4.999999761581421_2023-1-16-1-2-5-995000-49.99999976158142_2023-1-16-1-3-5-995000-64.99999976158142_2023-1-16-1-4-15-995000-24.99999976158142_2023-1-16-1-4-45-995000-114.99999976158142_2023-1-16-1-7-0-995000-104.99999976158142_2023-1-16-2-2-25-995000-48036.99999976158_,4,0,[],40.0
2023-01-17,100,1128.5,0,[],0,0,[],40.0
2023-01-18,99.6,912.7,2,2023-1-18-0-0-0-0-185.0_2023-1-18-0-3-29-995000-144.99999976158142_,1,0,[],40.0
2023-01-19,18.9,670.5,3,2023-1-19-0-0-0-0-160.0_2023-1-19-0-0-49-995000-14.999999761581421_2023-1-19-0-3-14-995000-69899.99999976158_,3,0,[],40.0
2023-01-20,100,1160.6,0,[],0,0,[],40.0
2023-01-21,99.9,966.2,2,2023-1-21-8-57-55-995000-24.99999976158142_2023-1-21-8-59-50-995000-24.99999976158142_,0,0,[],40.0
2023-01-22,100.0,609.5,1,2023-1-22-19-59-12-995000-0.9999997615814209_,0,0,[],40.0
2023-01-23,100,297.2,0,[],1,0,[],40.0
2023-01-24,99.7,-22.6,1,2023-1-24-11-14-55-995000-274.9999997615814_,0,0,[],40.0
2023-01-25,99.9,24.7,1,2023-1-25-0-0-0-160000-128.84_,1,0,[],40.0
2023-01-26,99.8,810.9,3,2023-1-26-0-0-1-645000-125.355_2023-1-26-0-2-1-995000-3.999999761581421_2023-1-26-0-2-16-995000-28.99999976158142_,2,0,[],40.0
2023-01-27,99.9,1619.7,1,2023-1-27-0-0-2-455000-82.545_,1,0,[],40.0
2023-01-28,100,2355.6,0,[],1,0,[],40.0
2023-01-29,18.6,2521.5,1,2023-1-29-0-5-6-995000-70346.99999976158_,1,0,[],40.0
2023-01-30,100,2691.1,0,[],1,0,[],40.0
2023-01-31,100,2738.3,0,[],0,0,[],40.0
2023-02-01,100,2445.8,0,[],0,0,[],40.0
2023-02-02,100,1842.2,0,[],0,0,[],40.0
2023-02-03,100,1640.1,0,[],0,0,[],40.0
2023-02-04,100,1926.5,0,[],0,0,[],40.0
2023-02-05,100,1215.5,0,[],0,0,[],40.0
2023-02-06,99.8,728.8,1,2023-2-6-0-0-2-735000-140.265_,1,0,[],40.0
2023-02-07,12.6,566.5,1,2023-2-7-0-2-37-995000-75514.99999976158_,1,0,[],40.0
2023-02-08,100.0,468.7,1,2023-2-8-19-11-27-995000-19.99999976158142_,3,0,[],40.0
2023-02-09,100.0,678.4,1,2023-2-9-20-10-59-995000-39.99999976158142_,1,0,[],40.0
2023-02-10,100,702.0,0,[],0,0,[],40.0
2023-02-11,100,499.1,0,[],0,0,[],40.0
2023-02-12,100,547.8,0,[],0,0,[],40.0
2023-02-13,100,668.6,0,[],0,0,[],40.0
2023-02-14,100,756.3,0,[],0,0,[],40.0
2023-02-15,98.0,779.4,3,2023-2-15-19-49-2-995000-1274.9999997615814_2023-2-15-20-12-22-995000-249.99999976158142_2023-2-15-20-16-42-995000-164.99999976158142_,0,0,[],40.0
2023-02-16,100.0,693.2,1,2023-2-16-16-0-52-995000-34.99999976158142_,0,0,[],40.0
2023-02-17,99.9,760.4,2,2023-2-17-0-3-7-995000-4.999999761581421_2023-2-17-0-3-52-995000-44.99999976158142_,2,0,[],40.0
2023-02-18,99.9,997.1,4,2023-2-18-13-15-9-995000-29.99999976158142_2023-2-18-13-18-4-995000-29.99999976158142_2023-2-18-13-31-19-995000-24.99999976158142_2023-2-18-13-34-14-995000-24.99999976158142_,0,0,[],40.0
2023-02-19,99.8,1290.9,1,2023-2-19-0-0-1-995000-140.005_,1,0,[],40.0
2023-02-20,100.0,1251.5,1,2023-2-20-0-0-23-995000-0.9999997615814209_,0,0,[],40.0
2023-02-21,15.7,1062.5,5,2023-2-21-0-2-9-995000-64259.99999976158_2023-2-21-17-53-14-995000-124.99999976158142_2023-2-21-17-55-39-995000-94.99999976158142_2023-2-21-18-2-14-995000-8314.999999761581_2023-2-21-20-22-54-995000-49.99999976158142_,2,0,[],40.0
2023-02-22,100,727.6,0,[],1,0,[],40.0
2023-02-23,100,458.9,0,[],0,0,[],40.0
2023-02-24,99.5,282.3,2,2023-2-24-23-36-16-995000-39.99999976158142_2023-2-24-23-37-1-995000-359.9999997615814_,3,0,[],40.0
2023-02-25,100,1049.1,0,[],0,0,[],40.0
2023-02-26,100,1396.4,0,[],0,0,[],40.0
2023-02-27,100,1744.7,0,[],0,0,[],40.0
2023-02-28,99.8,1867.9,1,2023-2-28-0-7-56-995000-214.99999976158142_,0,0,[],40.0
2023-03-01,100,1532.9,0,[],1,0,[],40.0
2023-03-02,99.5,1418.6,3,2023-3-2-16-37-8-995000-110.99999976158142_2023-3-2-16-39-4-995000-84.99999976158142_2023-3-2-16-40-54-995000-199.99999976158142_,1,0,[],40.0
2023-03-03,98.5,1270.3,3,2023-3-3-16-26-28-995000-428.9999997615814_2023-3-3-17-2-17-995000-429.9999997615814_2023-3-3-17-53-54-995000-424.9999997615814_,1,0,[],40.0
2023-03-04,98.1,1040.2,5,2023-3-4-1-47-46-995000-1283.9999997615814_2023-3-4-2-12-5-995000-74.99999976158142_2023-3-4-2-13-40-995000-34.99999976158142_2023-3-4-2-14-20-995000-9.999999761581421_2023-3-4-2-14-35-995000-194.99999976158142_,0,0,[],40.0
2023-03-05,100,949.7,0,[],0,0,[],40.0
2023-03-06,99.9,970.8,1,2023-3-6-0-0-2-240000-108.76_,1,0,[],40.0
2023-03-07,100,946.0,0,[],0,0,[],40.0
2023-03-08,99.5,808.0,5,2023-3-8-0-1-26-995000-29.99999976158142_2023-3-8-0-2-36-995000-39.99999976158142_2023-3-8-15-27-35-995000-26.99999976158142_2023-3-8-15-42-50-995000-293.9999997615814_2023-3-8-15-51-49-995000-64.99999976158142_,2,0,[],40.0
2023-03-09,100,874.2,0,[],0,0,[],40.0
2023-03-10,98.5,439.8,1,2023-3-10-0-3-15-995000-1314.9999997615814_,2,0,[],45.0
2023-03-11,100,437.2,0,[],0,0,[],40.0
2023-03-12,98.3,255.6,3,2023-3-12-20-30-56-995000-919.9999997615814_2023-3-12-20-46-21-995000-234.99999976158142_2023-3-12-20-50-26-995000-344.9999997615814_,3,0,[],40.0
2023-03-13,100,349.4,0,[],1,0,[],40.0
2023-03-14,99.8,369.9,1,2023-3-14-0-15-23-995000-214.99999976158142_,1,0,[],40.0
2023-03-15,96.9,263.2,9,2023-3-15-0-0-1-770000-32.23_2023-3-15-0-3-18-995000-1124.9999997615814_2023-3-15-0-58-30-995000-149.99999976158142_2023-3-15-1-2-45-995000-114.99999976158142_2023-3-15-1-10-5-995000-169.99999976158142_2023-3-15-1-14-20-995000-4.999999761581421_2023-3-15-1-21-10-995000-114.99999976158142_2023-3-15-2-4-55-995000-554.9999997615814_2023-3-15-2-29-10-995000-384.9999997615814_,19,0,[],40.0
2023-03-16,100,-261.4,0,[],2,0,[],40.0
