fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-286.6,1,2023-1-1-0-0-0-0-1.44_,0,14,2023-1-1-3-21-54-690000_2023-1-1-4-7-36-240000_2023-1-1-4-8-26-440000_2023-1-1-6-4-58-790000_2023-1-1-7-59-34-690000_2023-1-1-8-0-3-540000_2023-1-1-8-37-17-540000_2023-1-1-12-42-13-490000_2023-1-1-13-56-48-440000_2023-1-1-14-52-26-590000_2023-1-1-19-31-44-590000_2023-1-1-20-14-51-840000_2023-1-1-20-27-27-140000_2023-1-1-23-21-15-90000_,25.0
2023-01-02,100,87.7,0,[],0,12,2023-1-2-0-1-36-820000_2023-1-2-7-8-40-420000_2023-1-2-8-44-21-820000_2023-1-2-8-53-30-870000_2023-1-2-10-0-30-870000_2023-1-2-13-33-20-870000_2023-1-2-15-34-1-670000_2023-1-2-15-42-51-970000_2023-1-2-16-24-30-20000_2023-1-2-16-35-4-520000_2023-1-2-22-1-17-870000_2023-1-2-23-33-31-170000_,25.0
2023-01-03,100,-220.7,0,[],0,8,2023-1-3-13-36-30-860000_2023-1-3-14-53-23-60000_2023-1-3-15-52-55-160000_2023-1-3-16-8-34-60000_2023-1-3-18-20-33-260000_2023-1-3-21-6-48-360000_2023-1-3-21-29-24-660000_2023-1-3-23-15-49-460000_,25.0
2023-01-04,100,-52.6,0,[],0,15,2023-1-4-6-36-15-290000_2023-1-4-6-40-22-340000_2023-1-4-9-11-22-340000_2023-1-4-9-54-38-440000_2023-1-4-11-5-37-190000_2023-1-4-12-54-27-840000_2023-1-4-13-7-36-240000_2023-1-4-15-12-4-940000_2023-1-4-16-54-47-390000_2023-1-4-17-9-23-290000_2023-1-4-18-32-51-190000_2023-1-4-19-17-59-790000_2023-1-4-21-38-36-990000_2023-1-4-21-57-25-540000_2023-1-4-22-35-4-890000_,25.0
2023-01-05,100,-190.5,0,[],0,18,2023-1-5-0-27-19-30000_2023-1-5-4-56-54-130000_2023-1-5-4-57-47-680000_2023-1-5-6-30-42-630000_2023-1-5-7-5-3-530000_2023-1-5-8-28-32-580000_2023-1-5-13-14-48-480000_2023-1-5-13-38-58-980000_2023-1-5-15-41-14-230000_2023-1-5-15-53-20-530000_2023-1-5-16-2-21-630000_2023-1-5-16-42-43-30000_2023-1-5-19-42-7-30000_2023-1-5-19-58-1-830000_2023-1-5-21-55-50-630000_2023-1-5-22-51-57-780000_2023-1-5-22-54-34-880000_2023-1-5-23-59-28-230000_,25.0
2023-01-06,100,186.8,0,[],0,16,2023-1-6-0-0-2-800000_2023-1-6-0-10-14-450000_2023-1-6-4-23-56-450000_2023-1-6-7-22-30-950000_2023-1-6-8-54-2-100000_2023-1-6-9-56-58-450000_2023-1-6-11-20-0-400000_2023-1-6-11-20-51-0_2023-1-6-13-4-36-250000_2023-1-6-15-49-27-250000_2023-1-6-16-11-3-250000_2023-1-6-20-33-8-500000_2023-1-6-21-33-0-450000_2023-1-6-22-7-47-800000_2023-1-6-22-16-10-700000_2023-1-6-23-31-49-600000_,25.0
2023-01-07,99.7,-1517.5,1,2023-1-7-8-21-8-170000-222.06000018119812_,0,6,2023-1-7-1-26-53-220000_2023-1-7-9-0-52-590000_2023-1-7-16-3-21-390000_2023-1-7-17-16-18-440000_2023-1-7-18-44-23-540000_2023-1-7-20-16-28-390000_,25.0
2023-01-08,100,-296.4,0,[],0,5,2023-1-8-2-26-3-620000_2023-1-8-6-31-59-970000_2023-1-8-8-50-50-520000_2023-1-8-15-8-18-120000_2023-1-8-23-9-36-970000_,25.0
2023-01-09,100,337.6,0,[],0,8,2023-1-9-0-48-51-350000_2023-1-9-4-57-19-800000_2023-1-9-7-40-2-200000_2023-1-9-15-26-31-700000_2023-1-9-16-29-40-600000_2023-1-9-16-34-45-600000_2023-1-9-20-47-8-800000_2023-1-9-22-32-31-0_,25.0
2023-01-10,100.0,34.0,1,2023-1-10-16-13-38-50000-10.380000114440918_,0,13,2023-1-10-5-41-1-720000_2023-1-10-6-1-33-670000_2023-1-10-6-2-29-520000_2023-1-10-11-11-25-920000_2023-1-10-15-24-40-220000_2023-1-10-15-57-6-670000_2023-1-10-18-3-28-590000_2023-1-10-18-17-48-790000_2023-1-10-19-12-55-40000_2023-1-10-20-40-26-640000_2023-1-10-20-59-4-490000_2023-1-10-21-9-54-90000_2023-1-10-21-13-25-590000_,25.0
