fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-09-22,37.5,-22318.6,1,2023-9-22-0-0-0-0-53969.26_,0,6,2023-9-22-15-21-45-210000_2023-9-22-15-33-54-460000_2023-9-22-15-41-12-110000_2023-9-22-15-50-59-810000_2023-9-22-15-53-14-910000_2023-9-22-15-54-4-910000_,-9
2023-09-23,100,-4731.5,0,[],0,0,[],-9
2023-09-24,100,-2403.8,0,[],0,1,2023-9-24-4-22-37-840000_,-9
2023-09-25,100.0,6232.3,3,2023-9-25-0-0-0-0-0.34_2023-9-25-19-41-53-780000-11.640000104904175_2023-9-25-19-43-20-870000-4.119999885559082_,0,0,[],-9
2023-09-26,100,6695.9,0,[],0,0,[],-9
2023-09-27,100.0,2767.9,1,2023-9-27-0-0-0-0-2.79_,0,0,[],-9
2023-09-28,100.0,-8837.9,1,2023-9-28-19-20-9-990000-9.990000009536743_,0,0,[],-9
2023-09-29,100.0,1497.4,1,2023-9-29-0-0-0-0-0.44_,0,0,[],-9
2023-09-30,19.6,-35926.2,5,2023-9-30-14-53-25-840000-32794.16_2023-9-30-4-27-32-990000-22686.140000104904_2023-9-30-10-45-43-230000-5661.259999990463_2023-9-30-12-32-11-480000-7688.340000152588_2023-9-30-14-40-39-440000-595.5_,0,0,[],-9
2023-10-01,0.0,14567.8,3,2023-10-1-0-0-0-0-46994.96_2023-10-1-14-16-54-500000-34985.5_2023-10-1-13-3-33-540000-4387.069999933243_,0,0,[],-9
2023-10-02,100.0,6403.0,1,2023-10-2-0-0-0-0-3.72_,0,0,[],-9
2023-10-03,100.0,1934.0,1,2023-10-3-0-0-0-0-0.75_,0,0,[],-9
2023-10-04,100.0,1498.2,2,2023-10-4-0-0-0-0-3.71_2023-10-4-17-30-26-800000-9.420000076293945_,0,0,[],0.0
2023-10-05,100.0,-2386.4,1,2023-10-5-17-15-11-150000-7.870000123977661_,0,0,[],0.0
2023-10-06,99.9,-12534.2,2,2023-10-6-0-0-0-0-0.48_2023-10-6-15-52-32-170000-79.1100001335144_,0,0,[],0.0
2023-10-07,100,3755.6,0,[],0,0,[],0.0
2023-10-08,100,1176.4,0,[],0,0,[],5.0
2023-10-09,100.0,3540.3,1,2023-10-9-0-0-0-0-1.03_,0,0,[],0.0
2023-10-10,100.0,-13214.0,1,2023-10-10-0-0-0-0-2.88_,0,0,[],0.0
2023-10-11,100.0,10474.2,1,2023-10-11-0-0-0-0-2.64_,0,0,[],0.0
2023-10-12,100.0,-876.7,1,2023-10-12-0-0-0-0-0.61_,0,0,[],0.0
2023-10-13,100.0,-10242.9,1,2023-10-13-0-0-0-0-1.82_,0,0,[],0.0
2023-10-14,100,3925.8,0,[],0,0,[],0.0
2023-10-15,100,-814.0,0,[],0,0,[],0.0
2023-10-16,100.0,-6711.0,1,2023-10-16-0-0-0-0-2.15_,0,0,[],0.0
2023-10-17,100,8737.8,0,[],0,0,[],0.0
2023-10-18,100.0,-10253.8,1,2023-10-18-0-0-0-0-0.87_,0,0,[],0.0
2023-10-19,100.0,10368.9,1,2023-10-19-0-0-0-0-1.8_,0,1,2023-10-19-7-7-5-50000_,5.0
2023-10-20,100.0,111.2,2,2023-10-20-0-0-0-0-2.25_2023-10-20-21-23-8-660000-9.379999876022339_,0,0,[],0.0
2023-10-21,100.0,403.8,1,2023-10-21-21-57-2-880000-11.990000009536743_,0,0,[],0.0
2023-10-22,100,-14562.6,0,[],0,0,[],0.0
2023-10-22,100.0,-14562.6,1,2023-10-22-0-0-0-0-0.71_,0,0,[],0.0
2023-10-23,100,10877.7,0,[],0,0,[],0.0
2023-10-24,100,2901.0,0,[],0,0,[],0.0
2023-10-25,100.0,-6125.1,2,2023-10-25-0-0-0-0-2.81_2023-10-25-20-22-7-930000-3.570000410079956_,0,0,[],0.0
2023-10-26,100.0,3720.7,1,2023-10-26-0-0-0-0-1.91_,0,0,[],0.0
2023-10-27,100,438.8,0,[],0,0,[],0.0
2023-10-28,100,-7537.9,0,[],0,0,[],0.0
2023-10-29,100,-7049.1,0,[],0,0,[],0.0
2023-10-30,100.0,13132.5,1,2023-10-30-0-0-0-0-1.75_,0,0,[],0.0
2023-10-31,100,-9332.8,0,[],0,0,[],0.0
2023-11-01,100,-10528.1,0,[],0,1,2023-11-1-6-16-59-830000_,0.0
2023-11-02,100.0,15159.9,1,2023-11-2-0-0-0-0-0.79_,0,1,2023-11-2-4-17-32-740000_,0.0
2023-11-03,100,-556.7,0,[],0,0,[],0.0
2023-11-04,100,-1636.9,0,[],0,0,[],0.0
2023-11-05,100,1272.3,0,[],0,0,[],0.0
2023-11-06,100,-10267.9,0,[],0,0,[],0.0
2023-11-07,100.0,3187.6,2,2023-11-7-0-0-0-0-3.54_2023-11-7-18-34-25-560000-10.500000238418579_,0,0,[],0.0
2023-11-08,100,4651.6,0,[],0,0,[],0.0
2023-11-09,100.0,-6860.6,5,2023-11-9-14-49-37-840000-8.440000057220459_2023-11-9-15-3-59-540000-8.259999990463257_2023-11-9-15-30-59-220000-5.680000066757202_2023-11-9-22-31-18-740000-9.360000133514404_2023-11-9-22-48-58-460000-7.4100000858306885_,0,0,[],0.0
2023-11-10,100.0,-1685.7,4,2023-11-10-13-53-26-890000-8.000000238418579_2023-11-10-15-38-32-730000-8.210000276565552_2023-11-10-20-27-6-340000-3.7900002002716064_2023-11-10-20-29-54-290000-5.759999990463257_,0,1,2023-11-10-7-49-15-380000_,0.0
2023-11-11,100,-1762.2,0,[],0,0,[],0.0
2023-11-12,100.0,-2615.2,1,2023-11-12-23-36-41-670000-3.5_,0,0,[],0.0
2023-11-13,100,7201.9,0,[],0,0,[],0.0
2023-11-14,100,-1743.4,0,[],0,0,[],0.0
2023-11-15,100,2931.0,0,[],0,0,[],0.0
2023-11-16,100,4907.6,0,[],0,0,[],5.0
2023-11-17,100.0,379.7,2,2023-11-17-0-0-0-0-0.94_2023-11-17-22-44-22-540000-8.120000123977661_,0,0,[],0.0
2023-11-18,100,567.2,0,[],0,0,[],0.0
2023-11-19,100,99.8,0,[],0,0,[],0.0
2023-11-20,100.0,-1295.4,1,2023-11-20-0-0-0-0-1.35_,0,0,[],0.0
2023-11-21,100.0,-1512.5,1,2023-11-21-0-0-0-0-3.16_,0,0,[],0.0
2023-11-22,100,2218.8,0,[],0,0,[],0.0
2023-11-23,100.0,-775.8,2,2023-11-23-0-0-0-0-0.57_2023-11-23-22-50-31-350000-9.079999923706055_,0,0,[],0.0
2023-11-24,100.0,-2476.7,1,2023-11-24-0-0-0-0-0.54_,0,0,[],0.0
2023-11-25,100.0,-11738.1,1,2023-11-25-0-0-0-0-1.26_,0,0,[],0.0
2023-11-26,100,6515.6,0,[],0,0,[],0.0
2023-11-27,100,-3216.7,0,[],0,0,[],0.0
2023-11-28,100.0,5149.5,1,2023-11-28-12-36-51-200000-7.369999885559082_,0,0,[],0.0
2023-11-29,100,-4861.7,0,[],0,0,[],0.0
2023-11-30,100.0,2507.3,1,2023-11-30-0-0-0-0-0.73_,0,0,[],0.0
2023-12-01,100,-991.4,0,[],0,0,[],0.0
2023-12-02,100,668.9,0,[],0,3,2023-12-2-15-57-11-90000_2023-12-2-15-58-53-840000_2023-12-2-16-1-33-190000_,5.0
2023-12-03,100,883.4,0,[],0,0,[],0.0
2023-12-04,100,-97.7,0,[],0,0,[],0.0
2023-12-05,100,-237.7,0,[],0,0,[],0.0
2023-12-06,100,110.3,0,[],0,0,[],0.0
2023-12-07,100,1158.3,0,[],0,0,[],0.0
