fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,27.3,-12242.9,3,2023-1-1-0-0-0-0-50221.968393_2023-1-1-20-29-39-958393-12620.041607_2023-1-1-14-9-17-958393-1.999999761581421_,0,0,[],0.0
2023-01-02,0,-9,0,[],0,0,[],-9
2023-01-03,27.8,-11970.1,2,2023-1-3-0-0-0-0-52645.968393_2023-1-3-21-17-48-958393-9731.041607_,0,4,2023-1-3-18-28-14-718393_2023-1-3-18-40-51-518393_2023-1-3-18-41-55-268393_2023-1-3-18-45-20-568393_,0.0
2023-01-04,29.5,-11904.1,3,2023-1-4-0-0-0-0-46445.968393_2023-1-4-19-58-38-958393-14481.041607_2023-1-4-13-6-48-958393-0.9999997615814209_,0,0,[],0.0
2023-01-05,26.0,-12160.4,4,2023-1-5-0-0-0-0-45515.968393_2023-1-5-19-58-40-958393-14479.041607_2023-1-5-17-30-16-958393-3903.9999997615814_2023-1-5-18-47-15-958393-1.999999761581421_,0,1,2023-1-5-15-36-29-568393_,0.0
2023-01-06,43.8,-11580.4,1,2023-1-6-0-0-0-0-48537.968393_,0,0,[],0.0
2023-01-07,100,-10951.9,0,[],0,0,[],0.0
2023-01-08,100,-10925.7,0,[],0,1,2023-1-8-7-59-9-278393_,0.0
2023-01-09,100,-10949.2,0,[],0,1,2023-1-9-18-53-5-408393_,0.0
2023-01-10,100,-11008.1,0,[],0,0,[],0.0
2023-01-11,100,-11074.8,0,[],0,1,2023-1-11-16-44-50-538394_,0.0
2023-01-12,100,-11116.2,0,[],0,1,2023-1-12-6-39-44-968393_,0.0
2023-01-13,100,-11106.6,0,[],0,2,2023-1-13-7-24-21-808393_2023-1-13-16-44-9-908393_,0.0
2023-01-14,100,-11192.2,0,[],0,0,[],0.0
2023-01-15,10.9,-12230.8,4,2023-1-15-14-12-53-958393-35226.041607_2023-1-15-1-41-43-958393-41597.99999976158_2023-1-15-13-27-17-958393-0.9999997615814209_2023-1-15-14-5-12-958393-181.99999976158142_,0,0,[],100.0
2023-01-16,0,-9,0,[],0,0,[],-9
2023-01-17,0,-9,0,[],0,0,[],-9
2023-01-18,0,-9,0,[],0,0,[],-9
2023-01-19,0,-9,0,[],0,0,[],-9
2023-01-20,0,-9,0,[],0,0,[],-9
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,0,-9,0,[],0,0,[],-9
2023-01-27,0,-9,0,[],0,0,[],-9
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,0,-9,0,[],0,0,[],-9
2023-01-31,0,-9,0,[],0,0,[],-9
2023-02-01,0,-9,0,[],0,0,[],-9
2023-02-02,0,-9,0,[],0,0,[],-9
2023-02-03,0,-9,0,[],0,0,[],-9
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,0,-9,0,[],0,0,[],-9
2023-02-07,0,-9,0,[],0,0,[],-9
2023-02-08,0,-9,0,[],0,0,[],-9
2023-02-09,0,-9,0,[],0,0,[],-9
2023-02-10,0,-9,0,[],0,0,[],-9
2023-02-11,0,-9,0,[],0,0,[],-9
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,0,-9,0,[],0,0,[],-9
2023-02-15,0,-9,0,[],0,0,[],-9
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,0,-9,0,[],0,0,[],-9
2023-02-18,0,-9,0,[],0,0,[],-9
2023-02-19,0,-9,0,[],0,0,[],-9
2023-02-20,0,-9,0,[],0,0,[],-9
2023-02-21,0,-9,0,[],0,0,[],-9
2023-02-22,0,-9,0,[],0,0,[],-9
2023-02-23,0,-9,0,[],0,0,[],-9
2023-02-24,0,-9,0,[],0,0,[],-9
2023-02-25,0,-9,0,[],0,0,[],-9
2023-02-26,0,-9,0,[],0,0,[],-9
2023-02-27,0,-9,0,[],0,0,[],-9
2023-02-28,0,-9,0,[],0,0,[],-9
2023-03-01,0,-9,0,[],0,0,[],-9
2023-03-02,0,-9,0,[],0,0,[],-9
