fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,0,-9,0,[],0,0,[],-9
2023-01-02,0,-9,0,[],0,0,[],-9
2023-01-03,27.9,8.7,3,2023-1-3-0-0-0-0-52588.0_2023-1-3-21-17-49-820000-9730.18_2023-1-3-14-36-30-450000-0.2200000286102295_,4,0,[],50.0
2023-01-04,0,-9,0,[],0,0,[],-9
2023-01-05,26.2,14.8,9,2023-1-5-0-0-0-0-45457.0_2023-1-5-19-58-52-75000-14467.925_2023-1-5-12-37-39-650000-0.11500000953674316_2023-1-5-12-37-42-190000-0.17999982833862305_2023-1-5-17-30-30-980000-3831.0149998664856_2023-1-5-18-34-24-170000-0.1700000762939453_2023-1-5-18-34-28-600000-0.43000006675720215_2023-1-5-18-34-40-400000-1.7899999618530273_2023-1-5-18-34-44-530000-0.059999942779541016_,5,1,2023-1-5-13-14-35-605000_,45.0
2023-01-06,43.8,6.4,1,2023-1-6-0-0-0-0-48529.455_,0,0,[],55.0
2023-01-07,100,0.2,0,[],0,1,2023-1-7-17-10-27-965000_,50.0
2023-01-08,100,-0.1,0,[],0,0,[],50.0
2023-01-09,100,0.1,0,[],0,1,2023-1-9-17-17-55-820000_,50.0
2023-01-10,100,0.0,0,[],0,0,[],50.0
2023-01-11,100,-0.0,0,[],0,2,2023-1-11-11-57-53-745000_2023-1-11-15-28-21-545000_,50.0
2023-01-12,99.6,-0.1,1,2023-1-12-16-11-21-945000-324.9850001335144_,0,0,[],45.0
2023-01-13,100,0.1,0,[],4,1,2023-1-13-10-10-20-910000_,55.0
2023-01-14,100,-0.3,0,[],3,2,2023-1-14-12-30-8-890000_2023-1-14-22-25-14-150000_,55.0
2023-01-15,7.2,0.6,2,2023-1-15-14-13-0-15000-35219.985_2023-1-15-1-41-50-465000-44933.38499999046_,0,0,[],75.0
2023-01-16,0,-9,0,[],0,0,[],-9
2023-01-17,0,-9,0,[],0,0,[],-9
2023-01-18,0,-9,0,[],0,0,[],-9
2023-01-19,0,-9,0,[],0,0,[],-9
2023-01-20,0,-9,0,[],0,0,[],-9
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,0,-9,0,[],0,0,[],-9
2023-01-27,0,-9,0,[],0,0,[],-9
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,0,-9,0,[],0,0,[],-9
