fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,815.0,1,2023-1-1-0-0-0-0-4.958393_,0,2,2023-1-1-5-28-14-158393_2023-1-1-9-1-8-958393_,0.0
2023-01-02,100,818.8,0,[],0,4,2023-1-2-3-55-0-578393_2023-1-2-4-31-15-128393_2023-1-2-8-18-35-478393_2023-1-2-23-54-0-78393_,0.0
2023-01-03,100,764.2,0,[],0,4,2023-1-3-2-35-35-398393_2023-1-3-4-44-12-648393_2023-1-3-4-45-2-998393_2023-1-3-21-49-27-848393_,0.0
2023-01-04,100,820.8,0,[],0,2,2023-1-4-4-41-9-948393_2023-1-4-13-31-8-948393_,0.0
2023-01-05,100,795.2,0,[],0,4,2023-1-5-8-42-15-838393_2023-1-5-11-4-56-138393_2023-1-5-15-11-50-88393_2023-1-5-15-19-17-488393_,0.0
2023-01-06,100,800.1,0,[],0,5,2023-1-6-0-0-43-528393_2023-1-6-0-1-36-678393_2023-1-6-4-37-30-278393_2023-1-6-7-58-48-628393_2023-1-6-7-59-39-228393_,0.0
2023-01-07,100,809.5,0,[],0,2,2023-1-7-3-26-21-618393_2023-1-7-23-47-31-718393_,0.0
2023-01-08,100,792.2,0,[],0,9,2023-1-8-0-28-3-88393_2023-1-8-2-7-11-188393_2023-1-8-3-53-14-688393_2023-1-8-9-29-55-938393_2023-1-8-13-23-29-738393_2023-1-8-13-31-39-238393_2023-1-8-14-18-12-538393_2023-1-8-14-19-11-988393_2023-1-8-18-0-38-238393_,0.0
2023-01-09,100,830.4,0,[],0,2,2023-1-9-1-21-6-638393_2023-1-9-8-7-14-938393_,0.0
2023-01-10,100,814.7,0,[],0,3,2023-1-10-2-9-9-868393_2023-1-10-3-5-38-218393_2023-1-10-18-32-55-368393_,0.0
2023-01-11,100,835.3,0,[],0,3,2023-1-11-7-43-22-608393_2023-1-11-7-45-45-158393_2023-1-11-7-47-13-208393_,0.0
2023-01-12,100,806.9,0,[],0,2,2023-1-12-2-56-2-958393_2023-1-12-18-23-49-8393_,0.0
2023-01-13,100,761.1,0,[],0,2,2023-1-13-7-23-35-338393_2023-1-13-16-43-20-238393_,0.0
2023-01-14,100,790.8,0,[],0,2,2023-1-14-1-29-52-238393_2023-1-14-18-20-8-888393_,0.0
2023-01-15,100,744.9,0,[],0,0,[],0.0
2023-01-16,100,821.5,0,[],0,4,2023-1-16-2-11-37-718393_2023-1-16-4-49-51-68393_2023-1-16-7-41-58-368393_2023-1-16-10-31-15-568393_,0.0
2023-01-17,100,785.7,0,[],0,1,2023-1-17-2-36-36-758393_,0.0
2023-01-18,100,822.9,0,[],0,4,2023-1-18-2-13-4-288393_2023-1-18-8-2-22-938393_2023-1-18-8-5-1-638393_2023-1-18-23-43-42-88393_,0.0
2023-01-19,100,810.3,0,[],0,2,2023-1-19-8-38-50-938393_2023-1-19-13-34-39-688393_,0.0
2023-01-20,100,830.3,0,[],1,4,2023-1-20-0-47-17-958393_2023-1-20-0-56-28-658393_2023-1-20-11-31-3-658393_2023-1-20-11-32-54-258393_,0.0
2023-01-21,100,806.1,0,[],0,0,[],0.0
2023-01-22,100,799.6,0,[],0,0,[],0.0
2023-01-23,100,805.6,0,[],0,3,2023-1-23-9-59-8-538393_2023-1-23-10-0-14-338393_2023-1-23-23-31-23-138393_,0.0
2023-01-24,100,804.1,0,[],0,2,2023-1-24-14-29-25-568391_2023-1-24-23-39-12-68391_,0.0
2023-01-25,100,800.7,0,[],2,0,[],0.0
2023-01-26,100,795.6,0,[],0,2,2023-1-26-4-32-19-988393_2023-1-26-18-47-37-538393_,0.0
2023-01-27,100,797.5,0,[],1,5,2023-1-27-1-24-37-658393_2023-1-27-1-45-5-358393_2023-1-27-4-35-38-458393_2023-1-27-11-19-45-408393_2023-1-27-18-31-50-668393_,0.0
2023-01-28,100,799.9,0,[],0,3,2023-1-28-0-43-10-888393_2023-1-28-15-0-35-288393_2023-1-28-16-51-37-888393_,0.0
2023-01-29,100,796.2,0,[],0,1,2023-1-29-2-5-54-108393_,0.0
2023-01-30,100,784.9,0,[],1,2,2023-1-30-16-13-35-668391_2023-1-30-19-53-39-318393_,0.0
2023-01-31,100,796.2,0,[],0,1,2023-1-31-3-46-26-908393_,0.0
2023-02-01,100,797.2,0,[],0,1,2023-2-1-19-52-3-238394_,0.0
2023-02-02,100,791.2,0,[],0,2,2023-2-2-12-32-16-428393_2023-2-2-16-20-1-228393_,0.0
2023-02-03,100,791.7,0,[],0,3,2023-2-3-15-54-0-88393_2023-2-3-20-25-12-388393_2023-2-3-22-19-36-388393_,0.0
2023-02-04,100,788.2,0,[],0,5,2023-2-4-0-32-5-448393_2023-2-4-3-22-33-398393_2023-2-4-4-29-38-48393_2023-2-4-8-25-17-248393_2023-2-4-23-43-14-648393_,0.0
2023-02-05,100,784.8,0,[],0,0,[],0.0
2023-02-06,100,786.5,0,[],0,4,2023-2-6-1-50-32-948393_2023-2-6-1-51-40-198393_2023-2-6-11-10-42-798393_2023-2-6-21-49-40-148393_,5.0
2023-02-07,100,790.4,0,[],1,3,2023-2-7-0-44-50-298393_2023-2-7-2-57-58-98393_2023-2-7-21-33-16-868393_,0.0
2023-02-08,100,782.9,0,[],0,0,[],0.0
2023-02-09,100,785.9,0,[],0,0,[],0.0
2023-02-10,100,785.7,0,[],0,2,2023-2-10-20-22-54-508393_2023-2-10-22-15-17-158393_,0.0
2023-02-11,100,779.1,0,[],0,0,[],0.0
2023-02-12,100,785.0,0,[],0,1,2023-2-12-2-47-25-688393_,0.0
2023-02-13,100,780.9,0,[],0,1,2023-2-13-21-13-55-948393_,0.0
2023-02-14,100,786.9,0,[],1,2,2023-2-14-5-5-25-458393_2023-2-14-14-15-48-508393_,0.0
2023-02-15,100,781.1,0,[],2,1,2023-2-15-13-5-50-568393_,0.0
2023-02-16,100,820.8,0,[],1,0,[],0.0
2023-02-17,100,839.2,0,[],0,0,[],0.0
2023-02-18,100,747.0,0,[],1,2,2023-2-18-4-38-47-408393_2023-2-18-23-26-7-418394_,0.0
2023-02-19,100,738.5,0,[],1,0,[],0.0
2023-02-20,100,765.6,0,[],1,0,[],0.0
2023-02-21,100,764.7,0,[],0,0,[],0.0
2023-02-22,100,824.4,0,[],0,1,2023-2-22-7-45-49-878393_,0.0
2023-02-23,100,777.2,0,[],0,4,2023-2-23-1-46-20-328393_2023-2-23-1-48-13-578393_2023-2-23-2-1-26-178393_2023-2-23-2-2-50-378393_,0.0
2023-02-24,100,766.9,0,[],0,0,[],0.0
2023-02-25,100,773.9,0,[],1,2,2023-2-25-5-57-55-608393_2023-2-25-5-59-11-258393_,0.0
2023-02-26,100,771.1,0,[],1,1,2023-2-26-17-34-8-868393_,0.0
2023-02-27,100,781.0,0,[],0,2,2023-2-27-3-7-42-518391_2023-2-27-13-49-1-518391_,0.0
2023-02-28,100,776.1,0,[],0,0,[],0.0
2023-03-01,100,773.7,0,[],1,2,2023-3-1-5-54-58-858393_2023-3-1-9-47-2-808393_,0.0
2023-03-02,100,794.6,0,[],1,3,2023-3-2-4-49-47-88393_2023-3-2-20-39-55-268393_2023-3-2-23-35-35-768393_,0.0
2023-03-03,100,784.8,0,[],0,5,2023-3-3-2-6-43-268393_2023-3-3-2-8-56-168393_2023-3-3-2-10-19-168393_2023-3-3-5-41-54-368393_2023-3-3-20-13-16-618393_,0.0
