fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,955.7,1,2023-1-1-0-0-0-0-0.548393_,0,7,2023-1-1-4-2-20-98393_2023-1-1-6-31-52-698393_2023-1-1-12-34-57-98393_2023-1-1-12-43-43-798393_2023-1-1-15-59-13-748393_2023-1-1-21-26-57-548393_2023-1-1-22-27-49-198393_,0.0
2023-01-02,100,851.1,0,[],0,11,2023-1-2-0-47-21-948393_2023-1-2-2-24-50-848393_2023-1-2-4-14-56-98393_2023-1-2-6-28-6-248393_2023-1-2-6-49-11-748393_2023-1-2-8-28-3-348393_2023-1-2-14-57-38-498393_2023-1-2-17-2-41-248393_2023-1-2-17-19-42-348393_2023-1-2-18-45-58-398393_2023-1-2-23-0-15-948393_,0.0
2023-01-03,100,950.7,0,[],0,11,2023-1-3-1-17-6-788394_2023-1-3-3-43-32-738394_2023-1-3-3-44-23-838394_2023-1-3-7-12-18-238394_2023-1-3-8-59-57-538394_2023-1-3-9-38-31-338394_2023-1-3-14-6-51-138394_2023-1-3-14-27-50-138394_2023-1-3-18-33-55-338394_2023-1-3-18-34-45-338394_2023-1-3-22-20-29-188394_,0.0
2023-01-04,100,824.2,0,[],0,10,2023-1-4-0-9-35-448393_2023-1-4-2-35-5-198393_2023-1-4-5-1-51-48393_2023-1-4-5-3-42-498393_2023-1-4-8-59-26-798393_2023-1-4-9-51-8-998393_2023-1-4-11-28-34-848393_2023-1-4-11-29-25-498393_2023-1-4-12-21-59-148393_2023-1-4-15-16-5-148393_,0.0
2023-01-05,100,750.8,0,[],0,11,2023-1-5-0-6-54-18393_2023-1-5-2-58-31-168393_2023-1-5-4-16-50-618393_2023-1-5-4-50-47-218393_2023-1-5-6-45-44-568393_2023-1-5-11-56-56-218393_2023-1-5-15-37-54-718393_2023-1-5-19-17-47-218393_2023-1-5-21-38-19-818393_2023-1-5-21-51-48-418393_2023-1-5-22-50-17-218393_,0.0
2023-01-06,100,853.8,0,[],0,13,2023-1-6-1-53-16-638393_2023-1-6-4-6-48-138393_2023-1-6-4-38-59-538393_2023-1-6-7-29-8-538393_2023-1-6-9-26-40-38393_2023-1-6-10-4-44-488393_2023-1-6-10-5-34-738393_2023-1-6-10-6-24-888393_2023-1-6-15-27-0-138393_2023-1-6-17-7-22-88393_2023-1-6-17-8-12-638393_2023-1-6-18-17-23-488393_2023-1-6-23-32-10-638393_,0.0
2023-01-07,100,1233.6,0,[],0,5,2023-1-7-1-28-25-328393_2023-1-7-2-42-16-428393_2023-1-7-13-45-49-78393_2023-1-7-17-56-33-628393_2023-1-7-23-32-2-228393_,0.0
2023-01-08,100,660.7,0,[],0,11,2023-1-8-2-36-6-458393_2023-1-8-4-41-33-258393_2023-1-8-4-42-24-558393_2023-1-8-6-14-24-58393_2023-1-8-7-51-40-208393_2023-1-8-10-47-23-158393_2023-1-8-13-32-21-158393_2023-1-8-13-35-40-858393_2023-1-8-17-39-42-108393_2023-1-8-18-38-18-558393_2023-1-8-21-2-13-458393_,0.0
2023-01-09,100,1386.8,0,[],0,14,2023-1-9-0-21-24-788393_2023-1-9-0-58-54-438393_2023-1-9-3-15-58-638393_2023-1-9-4-41-46-588393_2023-1-9-5-19-11-788393_2023-1-9-9-34-39-88393_2023-1-9-9-59-48-138393_2023-1-9-10-0-3-838393_2023-1-9-10-10-43-388393_2023-1-9-12-50-0-588393_2023-1-9-13-4-44-438393_2023-1-9-15-0-46-138393_2023-1-9-15-51-26-588393_2023-1-9-16-3-8-138393_,0.0
2023-01-10,100,439.4,0,[],0,7,2023-1-10-2-4-5-658394_2023-1-10-4-24-42-58394_2023-1-10-7-8-52-908394_2023-1-10-7-37-27-208394_2023-1-10-8-12-28-258394_2023-1-10-9-32-7-858394_2023-1-10-15-43-40-958394_,0.0
