fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,60.2,-3181.1,2,2023-1-1-0-0-0-0-0.12_2023-1-1-7-26-26-340000-34422.65499997139_,0,0,[],40.0
2023-01-02,59.9,-3145.1,1,2023-1-2-3-57-47-835000-34656.15999984741_,0,0,[],40.0
2023-01-03,100,-2772.1,0,[],0,0,[],45.0
2023-01-04,52.7,-2978.0,1,2023-1-4-1-36-41-295000-40871.699999809265_,0,0,[],35.0
2023-01-05,81.1,-3107.4,1,2023-1-5-8-45-49-470000-16321.524999856949_,0,0,[],40.0
2023-01-06,79.0,-3178.9,1,2023-1-6-9-10-10-75000-18103.919999837875_,0,0,[],40.0
2023-01-07,48.9,-3045.0,1,2023-1-7-2-55-53-720000-44144.27499985695_,0,0,[],25.0
2023-01-08,53.8,-2960.6,1,2023-1-8-3-24-41-410000-39875.58500003815_,0,0,[],40.0
2023-01-09,52.6,-3136.8,1,2023-1-9-3-22-57-775000-40972.21999979019_,0,0,[],30.0
2023-01-10,51.7,-2927.3,1,2023-1-10-6-28-52-960000-41745.03499984741_,0,0,[],35.0
2023-01-11,59.2,-2837.0,1,2023-1-11-4-36-1-90000-35280.90499997139_,0,0,[],35.0
2023-01-12,64.4,-2837.1,1,2023-1-12-6-37-21-545000-30782.450000047684_,0,0,[],30.0
2023-01-13,73.6,-3104.3,1,2023-1-13-7-12-58-190000-22766.80499982834_,0,0,[],40.0
2023-01-14,80.2,-2997.2,1,2023-1-14-10-49-39-275000-17087.71999979019_,0,0,[],40.0
2023-01-15,68.3,-3569.7,1,2023-1-15-5-39-31-380000-27374.614999771118_,0,0,[],40.0
2023-01-16,100,-3398.1,0,[],0,0,[],45.0
2023-01-17,90.3,-3081.2,1,2023-1-17-13-3-9-305000-8388.69000005722_,0,0,[],40.0
2023-01-18,59.2,-3232.0,1,2023-1-18-6-22-20-695000-35230.2999997139_,0,0,[],30.0
2023-01-19,58.6,-3181.7,1,2023-1-19-5-20-45-620000-35741.375_,0,0,[],25.0
2023-01-20,85.9,-3195.3,2,2023-1-20-9-52-16-645000-12153.349999904633_2023-1-20-16-28-44-115000-15.529999732971191_,0,0,[],40.0
2023-01-21,100,-3127.9,0,[],0,0,[],45.0
2023-01-22,69.1,-3059.3,1,2023-1-22-7-57-17-335000-26733.659999847412_,0,0,[],40.0
2023-01-23,78.8,-3549.1,1,2023-1-23-8-14-37-160000-18344.83499979973_,0,0,[],40.0
2023-01-24,100,-3639.8,0,[],0,0,[],40.0
2023-01-25,100.0,-3648.7,2,2023-1-25-14-48-52-690000-18.225000143051147_2023-1-25-14-51-46-885000-5.169999837875366_,0,0,[],40.0
2023-01-26,100,-4307.7,0,[],0,0,[],40.0
2023-01-27,100.0,-4604.8,1,2023-1-27-14-50-13-345000-15.384999990463257_,0,0,[],40.0
2023-01-28,100,-4827.8,0,[],0,0,[],40.0
2023-01-29,100,-5075.1,0,[],0,0,[],40.0
2023-01-30,100.0,-5200.3,1,2023-1-30-16-42-3-640000-7.799999713897705_,0,0,[],40.0
2023-01-31,100,-5126.5,0,[],0,0,[],40.0
2023-02-01,100,-5064.5,0,[],0,0,[],40.0
2023-02-02,100,-5272.2,0,[],0,0,[],40.0
2023-02-03,100,-5051.8,0,[],0,0,[],40.0
2023-02-04,100,-4587.5,0,[],0,0,[],40.0
2023-02-05,100,-5300.9,0,[],0,0,[],40.0
2023-02-06,100,-5441.5,0,[],0,0,[],40.0
2023-02-07,99.8,-5614.6,4,2023-2-7-14-32-13-785000-2.640000104904175_2023-2-7-14-34-57-385000-25.524999856948853_2023-2-7-14-36-21-540000-76.46499991416931_2023-2-7-14-41-12-175000-76.47499990463257_,0,0,[],40.0
2023-02-08,100,-6295.6,0,[],0,0,[],40.0
2023-02-09,100,-5966.8,0,[],0,0,[],40.0
2023-02-10,100,-5812.6,0,[],0,0,[],40.0
2023-02-11,100,-6045.9,0,[],0,0,[],40.0
2023-02-12,100,-5446.8,0,[],0,0,[],40.0
2023-02-13,100,-5354.5,0,[],0,0,[],40.0
2023-02-14,100.0,-5546.7,1,2023-2-14-16-4-23-140000-15.274999856948853_,0,0,[],40.0
2023-02-15,100.0,-5402.6,2,2023-2-15-15-56-35-275000-10.31499981880188_2023-2-15-19-40-56-340000-15.269999980926514_,0,0,[],40.0
2023-02-16,100.0,-4807.8,1,2023-2-16-0-24-52-235000-10.18999981880188_,0,0,[],40.0
2023-02-17,62.8,-4830.5,1,2023-2-17-4-4-5-905000-32170.08999991417_,0,0,[],35.0
2023-02-18,100.0,-4901.5,1,2023-2-18-16-17-9-580000-15.34499979019165_,0,0,[],45.0
2023-02-19,100.0,-4653.4,1,2023-2-19-1-38-51-430000-10.244999885559082_,0,0,[],45.0
2023-02-20,100.0,-4524.0,1,2023-2-20-20-27-0-530000-10.359999895095825_,0,0,[],40.0
2023-02-21,76.1,-4089.1,1,2023-2-21-9-46-10-525000-20665.47000002861_,0,0,[],40.0
2023-02-22,84.9,-3729.2,1,2023-2-22-10-26-13-350000-13046.644999742508_,0,0,[],40.0
2023-02-23,90.0,-3991.3,1,2023-2-23-10-1-5-890000-8611.105000019073_,0,0,[],40.0
2023-02-24,100,-4619.0,0,[],0,0,[],45.0
2023-02-25,100.0,-4964.5,1,2023-2-25-22-42-27-540000-10.139999866485596_,0,0,[],40.0
2023-02-26,100.0,-4922.3,1,2023-2-26-17-21-42-340000-10.325000047683716_,0,0,[],40.0
2023-02-27,100,-5206.4,0,[],0,0,[],40.0
2023-02-28,100,-5880.6,0,[],0,0,[],40.0
2023-03-01,100.0,-5962.1,1,2023-3-1-19-10-58-395000-4.980000019073486_,0,0,[],40.0
2023-03-02,100.0,-5398.2,1,2023-3-2-4-57-51-110000-10.204999685287476_,0,0,[],40.0
2023-03-03,100,-5419.0,0,[],0,0,[],40.0
2023-03-04,100,-5156.5,0,[],0,0,[],40.0
2023-03-05,100,-4744.2,0,[],0,0,[],40.0
2023-03-06,100,-4929.7,0,[],0,0,[],40.0
2023-03-07,100,-4688.3,0,[],0,0,[],40.0
2023-03-08,100,-4020.1,0,[],0,0,[],40.0
2023-03-09,100,-3487.0,0,[],0,0,[],40.0
2023-03-10,100,-2949.2,0,[],0,0,[],45.0
2023-03-11,100,-2839.7,0,[],0,0,[],40.0
2023-03-12,100,-2656.0,0,[],0,0,[],40.0
2023-03-13,100,-2927.5,0,[],0,0,[],40.0
2023-03-14,100,-2934.6,0,[],0,0,[],40.0
2023-03-15,100,-2722.4,0,[],0,0,[],40.0
2023-03-16,100,-2514.1,0,[],0,0,[],40.0
2023-03-17,100,-2689.1,0,[],0,0,[],40.0
2023-03-18,100,-2709.4,0,[],0,0,[],40.0
2023-03-19,100,-3022.1,0,[],0,0,[],40.0
2023-03-20,100,-3297.9,0,[],0,0,[],45.0
2023-03-21,100,-3707.9,0,[],0,0,[],45.0
2023-03-22,100,-3852.0,0,[],0,0,[],40.0
2023-03-23,100,-3888.6,0,[],0,0,[],40.0
2023-03-24,100,-3748.9,0,[],0,0,[],40.0
2023-03-25,100,-3168.0,0,[],0,0,[],40.0
2023-03-26,100,-3418.7,0,[],0,0,[],40.0
2023-03-27,100.0,-3638.5,1,2023-3-27-23-21-18-335000-10.329999923706055_,0,0,[],40.0
2023-03-28,100.0,-4005.2,1,2023-3-28-19-19-57-585000-5.004999876022339_,0,0,[],40.0
2023-03-29,100.0,-3968.9,1,2023-3-29-17-28-58-205000-10.325000047683716_,0,0,[],40.0
2023-03-30,100.0,-3739.2,2,2023-3-30-19-18-36-885000-5.105000019073486_2023-3-30-19-28-48-330000-5.074999809265137_,0,0,[],40.0
2023-03-31,100,-4082.5,0,[],0,0,[],40.0
2023-04-01,100,-4074.0,0,[],0,0,[],40.0
