fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-3452.9,1,2023-1-1-0-0-0-0-1.4_,0,0,[],40.0
2023-01-02,93.3,-3386.6,34,2023-1-2-3-14-30-340000-419.65499997138977_2023-1-2-3-21-46-335000-83.65999984741211_2023-1-2-3-23-16-105000-92.8899998664856_2023-1-2-3-24-55-100000-3.8949999809265137_2023-1-2-3-25-13-275000-4.71999979019165_2023-1-2-3-25-20-55000-6.93999981880188_2023-1-2-3-25-31-55000-60.93999981880188_2023-1-2-3-26-34-5000-320.99000000953674_2023-1-2-3-32-11-360000-186.63499999046326_2023-1-2-3-35-23-865000-142.12999987602234_2023-1-2-3-37-50-995000-82.99999976158142_2023-1-2-3-39-36-995000-13.999999761581421_2023-1-2-3-39-57-995000-70.99999976158142_2023-1-2-3-41-14-995000-10.999999761581421_2023-1-2-3-41-27-995000-84.99999976158142_2023-1-2-3-42-56-995000-2232.9999997615814_2023-1-2-4-20-12-35000-167.9599997997284_2023-1-2-4-23-4-95000-249.89999985694885_2023-1-2-4-27-26-330000-453.664999961853_2023-1-2-4-35-14-380000-235.61499977111816_2023-1-2-4-39-16-140000-93.85499978065491_2023-1-2-4-42-7-805000-15.190000057220459_2023-1-2-4-42-26-420000-4.574999809265137_2023-1-2-4-42-40-800000-264.1949999332428_2023-1-2-4-48-53-800000-8.194999933242798_2023-1-2-4-49-6-115000-4.879999876022339_2023-1-2-4-49-19-170000-3.825000047683716_2023-1-2-4-49-36-535000-37.459999799728394_2023-1-2-4-50-16-55000-12.93999981880188_2023-1-2-4-50-33-110000-44.88499975204468_2023-1-2-4-51-22-115000-151.87999987602234_2023-1-2-4-58-28-515000-3.4799997806549072_2023-1-2-4-58-42-225000-3.7699999809265137_2023-1-2-4-58-58-325000-253.66999983787537_,0,0,[],40.0
2023-01-03,0,-9,9,[],9,9,[],-9
2023-01-04,0,-9,9,[],9,9,[],-9
2023-01-05,0,-9,9,[],9,9,[],-9
2023-01-06,0,-9,9,[],9,9,[],-9
2023-01-07,0,-9,9,[],9,9,[],-9
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0,-9,9,[],9,9,[],-9
2023-01-10,0,-9,9,[],9,9,[],-9
2023-01-11,0,-9,9,[],9,9,[],-9
2023-01-12,0,-9,9,[],9,9,[],-9
2023-01-13,0,-9,9,[],9,9,[],-9
2023-01-14,0,-9,9,[],9,9,[],-9
2023-01-15,0,-9,9,[],9,9,[],-9
2023-01-16,0,-9,9,[],9,9,[],-9
2023-01-17,0,-9,9,[],9,9,[],-9
