fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-4845.1,1,2023-1-1-0-0-0-0-1.7_,0,0,[],40.0
2023-01-02,93.3,-4694.3,31,2023-1-2-3-14-31-280000-419.7149999141693_2023-1-2-3-21-43-370000-67.625_2023-1-2-3-22-53-60000-7.934999942779541_2023-1-2-3-23-15-400000-5.59499979019165_2023-1-2-3-23-23-65000-23.930000066757202_2023-1-2-3-23-49-45000-68.95000004768372_2023-1-2-3-25-8-270000-4.724999666213989_2023-1-2-3-25-15-65000-3.930000066757202_2023-1-2-3-25-21-70000-4.924999713897705_2023-1-2-3-25-32-210000-384.7850000858307_2023-1-2-3-32-9-360000-188.63499999046326_2023-1-2-3-35-23-915000-232.07999992370605_2023-1-2-3-39-30-505000-22.490000009536743_2023-1-2-3-39-55-70000-75.9249997138977_2023-1-2-3-41-15-995000-67.99999976158142_2023-1-2-3-42-30-210000-19.78500008583069_2023-1-2-3-42-55-995000-129.99999976158142_2023-1-2-3-45-6-995000-2274.9999997615814_2023-1-2-4-23-6-115000-245.87999987602234_2023-1-2-4-27-28-600000-451.3949999809265_2023-1-2-4-35-8-280000-242.7149999141693_2023-1-2-4-39-13-95000-96.89999985694885_2023-1-2-4-42-6-770000-18.22499990463257_2023-1-2-4-42-26-810000-4.184999942779541_2023-1-2-4-42-39-90000-25.90499997138977_2023-1-2-4-43-9-145000-32.84999990463257_2023-1-2-4-43-46-135000-199.85999989509583_2023-1-2-4-49-39-270000-34.72499966621399_2023-1-2-4-50-18-130000-11.865000009536743_2023-1-2-4-50-32-70000-201.9249997138977_2023-1-2-4-58-52-940000-260.0549998283386_,0,0,[],40.0
2023-01-03,0,-9,9,[],9,9,[],-9
2023-01-04,0,-9,9,[],9,9,[],-9
2023-01-05,0,-9,9,[],9,9,[],-9
2023-01-06,0,-9,9,[],9,9,[],-9
2023-01-07,0,-9,9,[],9,9,[],-9
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0,-9,9,[],9,9,[],-9
2023-01-10,0,-9,9,[],9,9,[],-9
2023-01-11,0,-9,9,[],9,9,[],-9
2023-01-12,0,-9,9,[],9,9,[],-9
2023-01-13,0,-9,9,[],9,9,[],-9
2023-01-14,0,-9,9,[],9,9,[],-9
2023-01-15,0,-9,9,[],9,9,[],-9
2023-01-16,0,-9,9,[],9,9,[],-9
2023-01-17,0,-9,9,[],9,9,[],-9
2023-01-18,0.7,-6466.0,57,2023-1-18-0-0-0-0-9.605_2023-1-18-22-23-5-905000-5814.095_2023-1-18-0-0-43-960000-18.144999980926514_2023-1-18-0-1-22-55000-20.169999837875366_2023-1-18-0-1-57-635000-95.89499998092651_2023-1-18-0-5-2-520000-4.069999933242798_2023-1-18-0-5-12-620000-769.8399999141693_2023-1-18-0-18-8-530000-12.039999961853027_2023-1-18-0-18-22-615000-257.7699999809265_2023-1-18-0-22-42-410000-424.3600001335144_2023-1-18-0-30-2-740000-7.779999732971191_2023-1-18-0-30-18-455000-1.999999761581421_2023-1-18-0-30-22-475000-19.84499979019165_2023-1-18-0-31-2-585000-18.114999771118164_2023-1-18-0-31-24-715000-9.71999979019165_2023-1-18-0-31-41-225000-20.65000009536743_2023-1-18-0-32-17-820000-413.9599997997284_2023-1-18-0-39-36-115000-16.25499987602234_2023-1-18-0-40-14-665000-505.70499992370605_2023-1-18-0-48-46-460000-3.984999656677246_2023-1-18-0-48-52-445000-6.009999990463257_2023-1-18-0-49-6-570000-4.125_2023-1-18-0-49-20-810000-10.169999837875366_2023-1-18-0-49-45-125000-1.9800000190734863_2023-1-18-0-49-55-135000-144.13000011444092_2023-1-18-0-53-57-130000-50.18499994277954_2023-1-18-0-54-49-340000-2.059999942779541_2023-1-18-0-55-9-525000-263.4949998855591_2023-1-18-0-59-36-980000-1.994999885559082_2023-1-18-1-0-38-70000-1112.6249997615814_2023-1-18-1-19-16-710000-424.59500002861023_2023-1-18-1-26-25-335000-188.0149998664856_2023-1-18-1-29-35-415000-600.9749999046326_2023-1-18-1-39-46-640000-14.234999895095825_2023-1-18-1-40-2-895000-20.329999923706055_2023-1-18-1-40-27-330000-788.5750000476837_2023-1-18-1-53-44-50000-708.460000038147_2023-1-18-2-5-38-650000-1132.6099998950958_2023-1-18-2-24-33-320000-642.0550000667572_2023-1-18-2-35-17-400000-793.4749999046326_2023-1-18-2-48-41-145000-39037.00499987602_2023-1-18-13-39-22-440000-2881.3099999427795_2023-1-18-14-27-25-775000-22755.674999952316_2023-1-18-20-46-43-345000-666.8799998760223_2023-1-18-20-57-55-845000-25.669999837875366_2023-1-18-20-58-26-825000-514.9149997234344_2023-1-18-21-7-3-575000-533.8399999141693_2023-1-18-21-16-1-10000-657.4899997711182_2023-1-18-21-27-0-455000-475.8999996185303_2023-1-18-21-35-3-570000-211.88000011444092_2023-1-18-21-38-37-330000-13.074999809265137_2023-1-18-21-38-52-260000-505.72499990463257_2023-1-18-21-47-19-825000-386.9549996852875_2023-1-18-21-53-50-610000-484.72499990463257_2023-1-18-22-2-4-615000-699.3399999141693_2023-1-18-22-13-47-795000-1.9099998474121094_2023-1-18-22-13-51-575000-550.4500000476837_,0,0,[],10.0
2023-01-19,0,-9,0,[],0,0,[],-9
