fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,589.1,1,2023-1-1-0-0-0-0-1.2_,0,0,[],40.0
2023-01-02,93.3,777.7,26,2023-1-2-3-14-30-480000-421.5149998664856_2023-1-2-3-21-44-530000-82.46499991416931_2023-1-2-3-23-19-585000-27.40999984741211_2023-1-2-3-23-49-65000-61.9300000667572_2023-1-2-3-25-18-195000-7.799999713897705_2023-1-2-3-25-28-95000-384.89999985694885_2023-1-2-3-32-9-735000-189.25999975204468_2023-1-2-3-35-21-15000-142.9799997806549_2023-1-2-3-37-46-80000-87.91499996185303_2023-1-2-3-39-37-55000-76.93999981880188_2023-1-2-3-40-56-115000-12.879999876022339_2023-1-2-3-41-11-65000-12.930000066757202_2023-1-2-3-41-26-75000-1402.9199998378754_2023-1-2-4-4-51-75000-921.9199998378754_2023-1-2-4-20-15-100000-162.8949999809265_2023-1-2-4-23-6-380000-246.61499977111816_2023-1-2-4-27-29-775000-453.21999979019165_2023-1-2-4-35-15-540000-235.45499992370605_2023-1-2-4-39-13-115000-97.87999987602234_2023-1-2-4-42-4-170000-17.825000047683716_2023-1-2-4-42-44-260000-21.734999895095825_2023-1-2-4-43-8-130000-237.86500000953674_2023-1-2-4-49-36-640000-35.35499978065491_2023-1-2-4-50-20-350000-212.64499974250793_2023-1-2-4-58-39-840000-7.1549999713897705_2023-1-2-4-58-55-350000-256.64499974250793_,0,0,[],40.0
2023-01-03,0,-9,9,[],9,9,[],-9
2023-01-04,0,-9,9,[],9,9,[],-9
2023-01-05,0,-9,9,[],9,9,[],-9
2023-01-06,0,-9,9,[],9,9,[],-9
2023-01-07,0,-9,9,[],9,9,[],-9
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0.8,1576.9,95,2023-1-9-0-0-0-0-1821.28_2023-1-9-23-56-34-680000-205.32_2023-1-9-0-30-25-520000-387.09999990463257_2023-1-9-0-36-54-535000-1226.5449998378754_2023-1-9-0-57-23-165000-305.19999980926514_2023-1-9-1-2-34-595000-376.9949998855591_2023-1-9-1-8-55-785000-383.8400001525879_2023-1-9-1-15-32-170000-773.0200002193451_2023-1-9-1-28-27-265000-1323.2999999523163_2023-1-9-1-50-40-945000-619.9399998188019_2023-1-9-2-1-7-125000-516.5650000572205_2023-1-9-2-9-45-760000-734.3899998664856_2023-1-9-2-22-2-220000-358.82999992370605_2023-1-9-2-28-3-150000-336.44999980926514_2023-1-9-2-33-41-650000-18.21500015258789_2023-1-9-2-34-1-965000-58421.89499998093_2023-1-9-18-47-47-995000-344.5849997997284_2023-1-9-18-53-36-720000-705.6199998855591_2023-1-9-19-5-26-470000-100.8199999332428_2023-1-9-19-7-9-350000-570.2399997711182_2023-1-9-19-16-49-895000-51.55999994277954_2023-1-9-19-17-47-635000-4.129999876022339_2023-1-9-19-17-53-820000-61.87999987602234_2023-1-9-19-18-59-830000-55.15999984741211_2023-1-9-19-19-56-905000-286.43499994277954_2023-1-9-19-24-45-400000-683.1549997329712_2023-1-9-19-36-14-735000-696.1149997711182_2023-1-9-19-47-54-935000-704.8099999427795_2023-1-9-19-59-43-845000-668.1849999427795_2023-1-9-20-10-58-215000-8.244999647140503_2023-1-9-20-11-12-655000-51.514999866485596_2023-1-9-20-12-6-225000-43.28000020980835_2023-1-9-20-12-53-630000-123.49999976158142_2023-1-9-20-15-9-515000-355.9449996948242_2023-1-9-20-21-15-770000-350.80999994277954_2023-1-9-20-27-18-960000-6.199999809265137_2023-1-9-20-27-29-285000-334.40500020980835_2023-1-9-20-33-7-800000-187.68499970436096_2023-1-9-20-36-27-865000-41.204999923706055_2023-1-9-20-37-29-755000-92.14499974250793_2023-1-9-20-39-14-270000-307.014999628067_2023-1-9-20-44-25-410000-334.5050001144409_2023-1-9-20-50-4-35000-326.0699999332428_2023-1-9-20-55-52-805000-206.6600000858307_2023-1-9-20-59-40-85000-103.32999992370605_2023-1-9-21-1-33-740000-645.7849998474121_2023-1-9-21-12-23-660000-28.899999618530273_2023-1-9-21-12-56-675000-348.0150001049042_2023-1-9-21-18-48-810000-309.3250000476837_2023-1-9-21-24-4-325000-333.25499987602234_2023-1-9-21-29-45-775000-8.25_2023-1-9-21-29-58-155000-6.194999933242798_2023-1-9-21-30-12-615000-2.059999942779541_2023-1-9-21-30-27-45000-6.174999952316284_2023-1-9-21-30-35-275000-26.799999713897705_2023-1-9-21-31-4-135000-616.4649999141693_2023-1-9-21-41-24-725000-495.52500009536743_2023-1-9-21-49-48-475000-90.76999950408936_2023-1-9-21-51-33-695000-179.1549997329712_2023-1-9-21-54-43-160000-43.294999837875366_2023-1-9-21-55-30-575000-175.375_2023-1-9-21-58-32-140000-105.2099997997284_2023-1-9-22-0-27-670000-406.2649998664856_2023-1-9-22-7-30-415000-2.06499981880188_2023-1-9-22-7-38-665000-309.80999994277954_2023-1-9-22-13-2-855000-297.8849997520447_2023-1-9-22-18-17-260000-8.245000123977661_2023-1-9-22-18-35-810000-79.90000009536743_2023-1-9-22-19-59-825000-84.54999995231628_2023-1-9-22-21-28-500000-387.9949998855591_2023-1-9-22-28-10-945000-2.065000057220459_2023-1-9-22-28-27-460000-18.544999837875366_2023-1-9-22-28-50-135000-296.02499985694885_2023-1-9-22-33-52-350000-2.06499981880188_2023-1-9-22-34-0-595000-6.184999704360962_2023-1-9-22-34-23-255000-10.304999589920044_2023-1-9-22-34-41-810000-314.84500002861023_2023-1-9-22-40-2-835000-6.184999704360962_2023-1-9-22-40-35-795000-271.3399999141693_2023-1-9-22-45-11-260000-521.6249997615814_2023-1-9-22-53-59-75000-8.254999876022339_2023-1-9-22-54-9-390000-651.4249997138977_2023-1-9-23-5-11-130000-39.16000008583069_2023-1-9-23-5-52-350000-321.6049997806549_2023-1-9-23-11-16-15000-8.25_2023-1-9-23-11-26-330000-615.9649999141693_2023-1-9-23-21-46-430000-315.7499997615814_2023-1-9-23-27-8-375000-533.4949998855591_2023-1-9-23-36-5-985000-10.325000047683716_2023-1-9-23-36-20-440000-226.89999985694885_2023-1-9-23-40-11-470000-35.084999799728394_2023-1-9-23-40-50-675000-387.24000000953674_2023-1-9-23-47-28-230000-4.134999752044678_2023-1-9-23-47-36-485000-373.2850000858307_2023-1-9-23-54-0-100000-152.57500004768372_,0,0,[],30.0
2023-01-10,0,-9,9,[],9,9,[],-9
