fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-15805.5,1,2023-1-1-0-0-0-0-1.854538_,0,0,[],35.0
2023-01-02,100,-15777.4,0,[],0,0,[],35.0
2023-01-03,100,-15745.7,0,[],0,0,[],35.0
2023-01-04,100,-15718.1,0,[],0,0,[],35.0
2023-01-05,100,-15671.4,0,[],0,0,[],35.0
2023-01-06,100,-15618.6,0,[],0,0,[],35.0
2023-01-07,100,-15585.6,0,[],0,0,[],35.0
2023-01-08,100,-15561.0,0,[],0,0,[],35.0
2023-01-09,100,-15547.5,0,[],0,1,2023-1-9-20-43-36-594538_,35.0
2023-01-10,100,-15530.8,0,[],0,0,[],35.0
2023-01-11,100,-15526.9,0,[],0,0,[],35.0
2023-01-12,100,-15536.5,0,[],0,0,[],35.0
2023-01-13,100,-15547.0,0,[],0,0,[],35.0
2023-01-14,100,-15560.6,0,[],0,0,[],35.0
2023-01-15,100,-15576.4,0,[],0,0,[],35.0
2023-01-16,100,-15586.6,0,[],0,2,2023-1-16-16-34-29-454538_2023-1-16-16-36-12-804538_,35.0
2023-01-17,100,-15610.0,0,[],0,1,2023-1-17-13-10-17-449538_,35.0
2023-01-18,100,-15595.5,0,[],0,1,2023-1-18-22-44-45-259538_,35.0
2023-01-19,100,-15570.1,0,[],0,0,[],35.0
2023-01-20,100,-15553.7,0,[],1,0,[],40.0
2023-01-21,100,-15532.4,0,[],0,0,[],35.0
2023-01-22,100,-15538.1,0,[],0,2,2023-1-22-17-42-48-464538_2023-1-22-19-20-21-364538_,35.0
2023-01-23,100,-15562.2,0,[],0,0,[],35.0
2023-01-24,100,-15582.3,0,[],0,0,[],35.0
2023-01-25,100,-15586.3,0,[],2,0,[],35.0
2023-01-26,100,-15582.2,0,[],0,2,2023-1-26-20-14-48-944538_2023-1-26-22-35-24-444538_,35.0
2023-01-27,100,-15583.5,0,[],1,0,[],35.0
2023-01-28,100,-15577.4,0,[],0,0,[],35.0
2023-01-29,100,-15576.8,0,[],0,0,[],35.0
2023-01-30,100,-15558.6,0,[],1,0,[],35.0
2023-01-31,100,-15538.3,0,[],0,0,[],35.0
2023-02-01,100,-15521.3,0,[],0,0,[],35.0
2023-02-02,100,-15492.8,0,[],0,0,[],35.0
2023-02-03,100,-15468.3,0,[],0,0,[],35.0
2023-02-04,100,-15433.7,0,[],0,0,[],35.0
2023-02-05,100,-15389.3,0,[],0,0,[],35.0
2023-02-06,100,-15364.9,0,[],0,0,[],40.0
2023-02-07,100,-15342.4,0,[],1,0,[],35.0
2023-02-08,100,-15316.3,0,[],0,0,[],35.0
2023-02-09,100,-15298.4,0,[],0,0,[],35.0
2023-02-10,100,-15302.8,0,[],0,0,[],35.0
2023-02-11,100,-15324.4,0,[],0,0,[],35.0
2023-02-12,100,-15351.1,0,[],0,1,2023-2-12-13-2-6-814538_,35.0
2023-02-13,100,-15373.8,0,[],0,0,[],35.0
2023-02-14,100,-15396.6,0,[],1,0,[],35.0
2023-02-15,100,-15417.7,0,[],2,0,[],35.0
2023-02-16,100,-15451.3,0,[],1,0,[],35.0
2023-02-17,100,-15482.8,0,[],0,0,[],35.0
2023-02-18,100,-15533.8,0,[],1,0,[],35.0
2023-02-19,100,-15580.7,0,[],1,0,[],35.0
2023-02-20,100,-15623.1,0,[],1,0,[],35.0
2023-02-21,100,-15663.9,0,[],0,0,[],35.0
2023-02-22,100,-15675.6,0,[],0,0,[],35.0
2023-02-23,100,-15703.5,0,[],0,0,[],35.0
2023-02-24,100,-15738.7,0,[],0,0,[],35.0
2023-02-25,100,-15769.3,0,[],1,0,[],35.0
2023-02-26,100,-15781.0,0,[],1,0,[],35.0
2023-02-27,100,-15792.1,0,[],0,0,[],35.0
2023-02-28,100,-15805.3,0,[],0,0,[],35.0
