fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,97.4,-32903.6,32,2023-1-1-7-25-35-990000-248.0_2023-1-1-7-29-53-950000-40.0_2023-1-1-7-30-43-990000-30.0_2023-1-1-7-31-33-990000-20.0_2023-1-1-7-32-3-990000-40.0_2023-1-1-7-32-53-990000-140.0_2023-1-1-7-35-23-990000-40.0_2023-1-1-7-36-13-960000-179.99999976158142_2023-1-1-7-39-23-990000-117.0_2023-1-1-7-41-30-990000-110.0_2023-1-1-7-43-30-990000-31.0_2023-1-1-7-44-11-990000-50.0_2023-1-1-7-45-11-990000-52.0_2023-1-1-7-46-13-990000-41.0_2023-1-1-7-46-59-990000-55.0_2023-1-1-7-48-4-990000-40.0_2023-1-1-7-48-54-990000-70.0_2023-1-1-7-50-14-990000-80.0_2023-1-1-7-51-44-990000-30.0_2023-1-1-7-52-19-990000-30.0_2023-1-1-7-53-4-990000-85.0_2023-1-1-7-54-39-990000-85.0_2023-1-1-7-56-9-990000-50.0_2023-1-1-7-57-19-990000-40.0_2023-1-1-7-58-9-990000-60.0_2023-1-1-7-59-19-980000-30.0_2023-1-1-7-59-59-990000-10.0_2023-1-1-8-0-19-990000-80.0_2023-1-1-8-1-49-990000-60.0_2023-1-1-8-2-59-990000-60.0_2023-1-1-8-4-9-990000-10.0_2023-1-1-8-4-29-990000-210.0_,0,1,2023-1-1-21-25-3-400000_,0.0
2023-01-02,100,-32988.1,0,[],0,0,[],0.0
2023-01-03,100,-32963.1,0,[],0,7,2023-1-3-0-1-27-190000_2023-1-3-0-31-40-190000_2023-1-3-9-12-14-440000_2023-1-3-9-23-58-640000_2023-1-3-12-5-40-440000_2023-1-3-18-28-4-940000_2023-1-3-21-31-49-890000_,0.0
2023-01-04,99.2,-32845.8,1,2023-1-4-21-6-55-990000-661.0_,0,3,2023-1-4-0-40-37-440000_2023-1-4-11-43-3-440000_2023-1-4-17-9-44-490000_,0.0
2023-01-05,100,-32747.8,0,[],0,4,2023-1-5-0-40-18-120000_2023-1-5-9-41-23-520000_2023-1-5-12-56-42-420000_2023-1-5-12-57-33-220000_,0.0
2023-01-06,98.9,-32884.7,20,2023-1-6-14-57-14-990000-240.0_2023-1-6-15-1-24-990000-10.0_2023-1-6-15-1-54-990000-80.0_2023-1-6-15-3-24-990000-10.0_2023-1-6-15-3-44-990000-20.0_2023-1-6-15-4-14-990000-30.0_2023-1-6-15-4-54-990000-60.0_2023-1-6-15-6-4-990000-10.0_2023-1-6-15-6-24-990000-10.0_2023-1-6-15-6-44-990000-30.0_2023-1-6-15-7-24-990000-10.0_2023-1-6-15-7-44-990000-20.0_2023-1-6-15-8-24-990000-50.0_2023-1-6-15-9-24-990000-94.0_2023-1-6-15-11-8-990000-135.0_2023-1-6-15-13-33-990000-100.0_2023-1-6-15-15-33-990000-15.0_2023-1-6-15-15-53-990000-5.0_2023-1-6-15-16-13-990000-15.0_2023-1-6-15-16-38-990000-10.0_,0,3,2023-1-6-2-0-39-590000_2023-1-6-4-38-41-340000_2023-1-6-9-43-50-290000_,0.0
2023-01-07,100,-32806.3,0,[],0,2,2023-1-7-9-7-17-130000_2023-1-7-10-31-57-530000_,0.0
2023-01-08,63.4,-32757.0,12,2023-1-8-15-17-41-990000-31338.01_2023-1-8-14-42-59-990000-30.0_2023-1-8-14-43-39-990000-25.0_2023-1-8-14-44-9-990000-35.0_2023-1-8-14-44-49-990000-70.0_2023-1-8-14-46-14-990000-40.0_2023-1-8-14-47-4-990000-10.0_2023-1-8-14-47-39-990000-10.0_2023-1-8-14-47-54-990000-20.0_2023-1-8-14-48-19-990000-30.0_2023-1-8-14-48-54-990000-30.0_2023-1-8-14-49-29-990000-25.0_,0,2,2023-1-8-13-22-40-690000_2023-1-8-13-30-51-290000_,0.0
2023-01-09,0,-9,0,[],0,0,[],-9
2023-01-10,0,-9,0,[],0,0,[],-9
2023-01-11,0,-9,0,[],0,0,[],-9
2023-01-12,0,-9,0,[],0,0,[],-9
2023-01-13,0,-9,0,[],0,0,[],-9
2023-01-14,0,-9,0,[],0,0,[],-9
2023-01-15,0,-9,0,[],0,0,[],-9
2023-01-16,0,-9,0,[],0,0,[],-9
2023-01-17,0,-9,0,[],0,0,[],-9
2023-01-18,0,-9,0,[],0,0,[],-9
2023-01-19,0,-9,0,[],0,0,[],-9
2023-01-20,0,-9,0,[],0,0,[],-9
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,0,-9,0,[],0,0,[],-9
2023-01-27,0,-9,0,[],0,0,[],-9
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,0,-9,0,[],0,0,[],-9
2023-01-31,0,-9,0,[],0,0,[],-9
2023-02-01,0,-9,0,[],0,0,[],-9
2023-02-02,0,-9,0,[],0,0,[],-9
2023-02-03,0,-9,0,[],0,0,[],-9
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,0,-9,0,[],0,0,[],-9
2023-02-07,0,-9,0,[],0,0,[],-9
2023-02-08,0,-9,0,[],0,0,[],-9
2023-02-09,0,-9,0,[],0,0,[],-9
2023-02-10,0,-9,0,[],0,0,[],-9
2023-02-11,0,-9,0,[],0,0,[],-9
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,0,-9,0,[],0,0,[],-9
2023-02-15,0,-9,0,[],0,0,[],-9
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,0,-9,0,[],0,0,[],-9
2023-02-18,0,-9,0,[],0,0,[],-9
2023-02-19,18.9,-32984.2,1,2023-2-19-0-0-0-0-70070.0_,0,1,2023-2-19-20-8-57-400000_,0.0
2023-02-20,100.0,-32884.3,2,2023-2-20-19-37-18-990000-5.0_2023-2-20-20-26-56-630000-7.409999847412109_,0,5,2023-2-20-4-57-40-560000_2023-2-20-4-58-30-560000_2023-2-20-4-59-37-460000_2023-2-20-13-22-56-610000_2023-2-20-23-57-17-500000_,0.0
2023-02-21,100.0,-32872.4,1,2023-2-21-12-17-32-990000-20.0_,0,0,[],0.0
2023-02-22,100.0,-33011.1,2,2023-2-22-13-19-43-990000-5.0_2023-2-22-21-47-23-990000-5.0_,0,2,2023-2-22-1-35-57-60000_2023-2-22-10-58-41-760000_,0.0
2023-02-23,100.0,-32940.1,1,2023-2-23-14-6-52-990000-20.0_,0,9,2023-2-23-1-43-31-610000_2023-2-23-1-46-19-860000_2023-2-23-2-3-17-410000_2023-2-23-2-4-39-860000_2023-2-23-2-17-25-960000_2023-2-23-6-25-4-710000_2023-2-23-10-45-37-710000_2023-2-23-10-46-39-760000_2023-2-23-12-43-1-560000_,0.0
2023-02-24,100.0,-32841.2,1,2023-2-24-16-45-18-990000-20.0_,0,2,2023-2-24-9-45-23-750000_2023-2-24-10-33-21-450000_,0.0
2023-02-25,100.0,-32846.8,1,2023-2-25-22-42-22-370000-10.000000238418579_,0,2,2023-2-25-0-6-28-120000_2023-2-25-3-1-12-970000_,0.0
2023-02-26,100.0,-32859.8,1,2023-2-26-17-21-38-50000-9.680000066757202_,0,2,2023-2-26-3-46-15-290000_2023-2-26-9-43-59-690000_,0.0
2023-02-27,99.9,-32826.9,6,2023-2-27-1-4-25-990000-5.0_2023-2-27-1-4-40-990000-10.0_2023-2-27-1-5-0-990000-60.0_2023-2-27-1-6-10-990000-20.0_2023-2-27-1-6-35-990000-26.0_2023-2-27-1-7-6-990000-5.0_,0,3,2023-2-27-2-5-4-50000_2023-2-27-3-6-15-500000_2023-2-27-13-48-14-950000_,0.0
2023-02-28,100,-32850.7,0,[],0,0,[],0.0
2023-03-01,99.9,-32858.2,6,2023-3-1-19-10-58-710000-4.2200000286102295_2023-3-1-19-53-28-990000-5.0_2023-3-1-19-53-38-990000-15.0_2023-3-1-19-54-3-990000-10.0_2023-3-1-19-54-18-990000-25.0_2023-3-1-19-54-48-990000-5.0_,0,0,[],0.0
2023-03-02,100.0,-32847.1,1,2023-3-2-4-57-52-30000-6.449999570846558_,0,0,[],0.0
