fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,1982.8,1,2023-1-1-0-0-0-0-1.498393_,0,10,2023-1-1-6-59-42-498393_2023-1-1-11-26-15-498393_2023-1-1-11-27-6-598393_2023-1-1-12-48-59-148393_2023-1-1-14-56-57-448393_2023-1-1-17-53-0-148393_2023-1-1-17-53-52-648393_2023-1-1-17-57-6-198393_2023-1-1-19-55-14-698393_2023-1-1-23-9-47-248393_,5.0
2023-01-02,100,2222.8,0,[],0,6,2023-1-2-2-18-58-338393_2023-1-2-4-43-5-488393_2023-1-2-10-47-36-538393_2023-1-2-20-50-26-488393_2023-1-2-20-51-16-838393_2023-1-2-20-52-8-938393_,0.0
2023-01-03,100,2213.4,0,[],0,11,2023-1-3-0-35-1-788393_2023-1-3-3-5-38-238393_2023-1-3-4-23-46-188393_2023-1-3-4-55-41-738393_2023-1-3-4-56-34-488393_2023-1-3-8-47-32-888393_2023-1-3-15-8-22-238393_2023-1-3-15-9-14-988393_2023-1-3-16-38-55-838393_2023-1-3-20-6-7-588393_2023-1-3-22-34-35-838393_,10.0
2023-01-04,100,2318.8,0,[],0,10,2023-1-4-0-41-34-708393_2023-1-4-0-49-0-408393_2023-1-4-2-17-8-458393_2023-1-4-2-17-58-758393_2023-1-4-9-15-59-608393_2023-1-4-11-15-43-208393_2023-1-4-13-40-3-458393_2023-1-4-13-40-53-458393_2023-1-4-16-14-40-758393_2023-1-4-23-2-0-808393_,15.0
2023-01-05,100,2308.1,0,[],0,12,2023-1-5-0-53-49-458393_2023-1-5-3-48-21-608393_2023-1-5-6-20-19-708393_2023-1-5-9-8-0-958393_2023-1-5-11-49-11-508393_2023-1-5-11-52-11-908393_2023-1-5-12-28-45-608393_2023-1-5-15-9-54-708393_2023-1-5-15-56-53-608393_2023-1-5-20-8-22-8393_2023-1-5-21-43-21-508393_2023-1-5-23-16-42-858393_,5.0
2023-01-06,100,2315.0,0,[],0,9,2023-1-6-4-37-22-948393_2023-1-6-12-53-7-998393_2023-1-6-13-58-40-148393_2023-1-6-14-14-49-748393_2023-1-6-16-50-12-848393_2023-1-6-17-2-7-448393_2023-1-6-21-1-59-248393_2023-1-6-21-8-13-248393_2023-1-6-23-9-11-148393_,10.0
2023-01-07,100,2356.3,0,[],0,15,2023-1-7-0-12-54-198393_2023-1-7-1-5-31-898393_2023-1-7-1-9-22-148393_2023-1-7-6-44-1-298393_2023-1-7-8-30-30-498393_2023-1-7-11-34-39-848393_2023-1-7-12-27-36-848393_2023-1-7-14-44-3-298393_2023-1-7-15-58-54-248393_2023-1-7-17-43-46-198393_2023-1-7-20-43-34-498393_2023-1-7-21-13-9-798393_2023-1-7-22-4-52-798393_2023-1-7-22-51-59-998393_2023-1-7-22-55-3-598393_,10.0
2023-01-08,100,2378.5,0,[],0,10,2023-1-8-1-25-17-218393_2023-1-8-2-32-39-118393_2023-1-8-10-57-48-818393_2023-1-8-11-0-40-418393_2023-1-8-13-29-28-868393_2023-1-8-15-44-28-618393_2023-1-8-17-1-30-418393_2023-1-8-21-15-55-968393_2023-1-8-21-38-0-418393_2023-1-8-22-48-4-68393_,5.0
2023-01-09,100,2276.0,0,[],0,8,2023-1-9-0-4-28-458393_2023-1-9-0-24-23-208393_2023-1-9-2-46-4-508393_2023-1-9-5-20-30-708393_2023-1-9-9-11-47-258393_2023-1-9-13-42-11-558393_2023-1-9-17-47-3-358393_2023-1-9-23-56-34-408393_,5.0
2023-01-10,100,2349.7,0,[],0,15,2023-1-10-1-59-34-428393_2023-1-10-3-40-33-78393_2023-1-10-7-15-53-78393_2023-1-10-9-14-12-628393_2023-1-10-10-34-27-178393_2023-1-10-15-14-52-178393_2023-1-10-15-29-41-678393_2023-1-10-15-30-32-978393_2023-1-10-17-38-32-528393_2023-1-10-18-49-22-628393_2023-1-10-19-25-50-328393_2023-1-10-21-5-21-478393_2023-1-10-23-56-59-678393_2023-1-10-23-58-26-978393_2023-1-10-23-59-27-528393_,5.0
2023-01-11,100,2311.8,0,[],0,12,2023-1-11-1-18-41-408393_2023-1-11-7-54-2-308393_2023-1-11-8-13-57-458393_2023-1-11-12-49-18-408393_2023-1-11-15-48-15-508393_2023-1-11-16-19-19-58393_2023-1-11-18-40-17-558393_2023-1-11-18-41-48-658393_2023-1-11-21-43-36-808393_2023-1-11-22-4-11-358393_2023-1-11-22-5-1-358393_2023-1-11-23-59-9-858393_,5.0
2023-01-12,100,2411.4,0,[],0,12,2023-1-12-0-36-40-468393_2023-1-12-1-44-21-18393_2023-1-12-1-45-11-518393_2023-1-12-3-22-33-818393_2023-1-12-6-39-2-718393_2023-1-12-9-35-5-868393_2023-1-12-9-35-56-68393_2023-1-12-10-25-9-718393_2023-1-12-17-30-50-768393_2023-1-12-18-38-47-818393_2023-1-12-20-2-50-468393_2023-1-12-23-35-2-918393_,5.0
2023-01-13,100,2305.3,0,[],0,11,2023-1-13-0-3-4-838393_2023-1-13-3-48-19-838393_2023-1-13-5-42-27-38393_2023-1-13-5-46-28-538393_2023-1-13-6-42-39-88393_2023-1-13-8-12-49-888393_2023-1-13-15-34-10-488393_2023-1-13-16-36-13-738393_2023-1-13-21-56-53-338393_2023-1-13-23-44-53-38393_2023-1-13-23-45-44-188393_,0.0
2023-01-14,100,2312.7,0,[],0,13,2023-1-14-0-44-47-718393_2023-1-14-2-7-22-418393_2023-1-14-2-8-12-418393_2023-1-14-5-3-31-118393_2023-1-14-5-4-21-818393_2023-1-14-7-32-57-268393_2023-1-14-9-10-17-118393_2023-1-14-15-0-14-568393_2023-1-14-16-1-55-368393_2023-1-14-19-50-55-268393_2023-1-14-20-26-9-168393_2023-1-14-20-31-21-118393_2023-1-14-22-37-42-568393_,5.0
2023-01-15,100,2273.6,0,[],0,17,2023-1-15-0-17-34-548393_2023-1-15-2-6-39-548393_2023-1-15-3-33-24-348393_2023-1-15-4-13-21-348393_2023-1-15-10-45-14-898393_2023-1-15-12-43-58-748393_2023-1-15-12-45-8-198393_2023-1-15-14-18-21-148393_2023-1-15-16-3-40-448393_2023-1-15-16-48-44-48393_2023-1-15-17-13-26-48393_2023-1-15-17-20-11-198393_2023-1-15-17-39-4-948393_2023-1-15-19-8-35-898393_2023-1-15-19-9-27-648393_2023-1-15-20-11-54-248393_2023-1-15-23-16-42-498393_,5.0
2023-01-16,100,2529.0,0,[],0,14,2023-1-16-0-18-8-108393_2023-1-16-1-22-37-358393_2023-1-16-4-31-56-558393_2023-1-16-9-12-1-458393_2023-1-16-10-40-57-558393_2023-1-16-13-12-39-408393_2023-1-16-14-57-51-108393_2023-1-16-15-42-11-808393_2023-1-16-16-56-38-408393_2023-1-16-18-57-9-8393_2023-1-16-21-22-21-458393_2023-1-16-21-23-50-58393_2023-1-16-22-24-3-58393_2023-1-16-22-55-21-558393_,5.0
2023-01-17,100,2418.0,0,[],0,13,2023-1-17-1-38-17-798393_2023-1-17-3-0-27-698393_2023-1-17-5-16-17-998393_2023-1-17-9-3-49-248393_2023-1-17-10-4-47-698393_2023-1-17-11-55-36-898393_2023-1-17-13-3-35-148393_2023-1-17-14-19-50-348393_2023-1-17-16-36-1-798393_2023-1-17-19-4-30-398393_2023-1-17-21-21-35-648393_2023-1-17-22-15-29-398393_2023-1-17-23-17-13-898393_,5.0
2023-01-18,100,2238.9,0,[],0,12,2023-1-18-1-56-31-548393_2023-1-18-8-31-16-448393_2023-1-18-13-30-50-398393_2023-1-18-14-2-0-248393_2023-1-18-14-10-2-748393_2023-1-18-17-59-12-998393_2023-1-18-18-0-22-198393_2023-1-18-18-1-14-748393_2023-1-18-20-24-33-348393_2023-1-18-21-5-29-498393_2023-1-18-22-15-54-498393_2023-1-18-23-37-43-748393_,10.0
2023-01-19,100,2179.7,0,[],0,12,2023-1-19-0-39-32-668394_2023-1-19-2-53-15-968394_2023-1-19-4-30-56-718394_2023-1-19-6-54-9-18394_2023-1-19-7-5-17-618394_2023-1-19-7-6-51-218394_2023-1-19-8-32-5-218394_2023-1-19-9-54-40-618394_2023-1-19-13-18-2-268394_2023-1-19-13-18-53-218394_2023-1-19-16-41-54-268394_2023-1-19-20-50-40-818394_,5.0
2023-01-20,100,2399.7,0,[],1,10,2023-1-20-0-37-42-888393_2023-1-20-3-7-46-338393_2023-1-20-8-37-19-588393_2023-1-20-10-21-10-538393_2023-1-20-13-52-59-288393_2023-1-20-14-49-37-238393_2023-1-20-15-56-34-38393_2023-1-20-17-33-44-318393_2023-1-20-18-40-32-868393_2023-1-20-22-32-13-68393_,5.0
2023-01-21,100,2305.2,0,[],0,13,2023-1-21-1-41-38-268393_2023-1-21-7-24-41-768393_2023-1-21-7-29-51-668393_2023-1-21-9-44-56-868393_2023-1-21-15-29-54-468393_2023-1-21-19-8-54-818393_2023-1-21-19-59-28-418393_2023-1-21-20-0-1-168393_2023-1-21-20-36-59-268393_2023-1-21-21-4-44-18393_2023-1-21-23-5-42-318393_2023-1-21-23-31-34-368393_2023-1-21-23-50-13-618393_,0.0
2023-01-22,100,2307.6,0,[],0,8,2023-1-22-3-30-13-298393_2023-1-22-11-56-15-448393_2023-1-22-13-21-58-148393_2023-1-22-18-29-51-798393_2023-1-22-19-55-43-998393_2023-1-22-21-51-6-298393_2023-1-22-22-24-17-148393_2023-1-22-23-1-3-348393_,0.0
2023-01-23,100,2203.0,0,[],0,15,2023-1-23-1-16-41-508393_2023-1-23-5-9-55-208393_2023-1-23-6-41-1-108393_2023-1-23-7-29-55-508393_2023-1-23-9-29-43-558393_2023-1-23-12-42-9-58393_2023-1-23-12-43-0-208393_2023-1-23-14-16-1-258393_2023-1-23-14-18-23-458393_2023-1-23-17-20-42-308393_2023-1-23-18-38-21-408393_2023-1-23-18-39-12-308393_2023-1-23-20-16-16-708393_2023-1-23-23-13-29-608393_2023-1-23-23-45-17-558393_,5.0
2023-01-24,100,2821.2,0,[],0,8,2023-1-24-0-49-56-818394_2023-1-24-3-54-10-568394_2023-1-24-5-37-26-768394_2023-1-24-6-34-39-518394_2023-1-24-15-52-48-68394_2023-1-24-17-12-56-618394_2023-1-24-18-10-27-268394_2023-1-24-22-40-5-868394_,5.0
