fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-19235.6,1,2023-1-1-0-0-0-0-0.419538_,0,0,[],30.0
2023-01-02,100,-18311.9,0,[],0,0,[],30.0
2023-01-03,100,-17914.4,0,[],0,0,[],30.0
2023-01-04,100,-18228.0,0,[],0,0,[],30.0
2023-01-05,100,-18214.4,0,[],0,0,[],30.0
2023-01-06,100,-19824.2,0,[],0,0,[],30.0
2023-01-07,100,-18283.0,0,[],0,1,2023-1-7-18-17-11-184538_,30.0
2023-01-08,100,-18190.7,0,[],0,0,[],30.0
2023-01-09,100,-20098.6,0,[],0,0,[],30.0
2023-01-10,100,-19802.6,0,[],0,0,[],30.0
2023-01-11,100,-19126.7,0,[],0,0,[],30.0
2023-01-12,100,-18837.0,0,[],0,0,[],30.0
2023-01-13,100,-19586.1,0,[],0,0,[],30.0
2023-01-14,100,-20028.6,0,[],0,0,[],30.0
2023-01-15,100,-20025.1,0,[],0,0,[],30.0
2023-01-16,100,-19926.0,0,[],0,0,[],30.0
2023-01-17,100,-19559.0,0,[],0,0,[],30.0
2023-01-18,100,-19684.1,0,[],0,0,[],30.0
2023-01-19,100,-19700.4,0,[],0,0,[],30.0
2023-01-20,100,-19157.8,0,[],1,0,[],30.0
2023-01-21,100,-20201.5,0,[],0,0,[],30.0
2023-01-22,100,-20701.4,0,[],0,0,[],30.0
2023-01-23,100,-20558.1,0,[],0,0,[],30.0
2023-01-24,100,-20564.6,0,[],0,0,[],30.0
2023-01-25,100,-21052.4,0,[],2,0,[],30.0
2023-01-26,100,-20726.6,0,[],0,0,[],30.0
2023-01-27,100,-20759.1,0,[],1,0,[],30.0
2023-01-28,100,-20349.0,0,[],0,0,[],30.0
2023-01-29,100,-20185.0,0,[],0,0,[],30.0
2023-01-30,100,-20220.2,0,[],1,0,[],30.0
2023-01-31,100,-19731.5,0,[],0,0,[],30.0
2023-02-01,100,-19774.3,0,[],0,0,[],30.0
2023-02-02,99.6,-20135.6,1,2023-2-2-5-6-47-979538-341.0_,0,0,[],30.0
2023-02-03,100,-19664.4,0,[],0,0,[],30.0
2023-02-04,100,-19353.4,0,[],0,0,[],30.0
2023-02-05,100,-18319.3,0,[],0,0,[],30.0
2023-02-06,100,-17308.7,0,[],0,0,[],30.0
2023-02-07,100,-19144.3,0,[],1,0,[],30.0
2023-02-08,100,-18470.0,0,[],0,0,[],30.0
2023-02-09,100,-17807.9,0,[],0,0,[],30.0
2023-02-10,100,-17127.4,0,[],0,0,[],30.0
2023-02-11,100,-17993.0,0,[],0,0,[],30.0
2023-02-12,100,-17734.3,0,[],0,0,[],30.0
2023-02-13,100,-17773.3,0,[],0,0,[],30.0
2023-02-14,100,-17417.1,0,[],1,0,[],30.0
2023-02-15,100,-16883.6,0,[],2,0,[],30.0
2023-02-16,100,-15496.0,0,[],1,0,[],30.0
2023-02-17,100,-16416.1,0,[],0,0,[],30.0
2023-02-18,100,-16663.7,0,[],1,1,2023-2-18-23-25-20-884538_,30.0
2023-02-19,100,-16606.2,0,[],1,0,[],30.0
2023-02-20,100,-16737.9,0,[],1,0,[],30.0
2023-02-21,100,-16100.5,0,[],0,0,[],30.0
2023-02-22,100,-15974.7,0,[],0,0,[],30.0
2023-02-23,100,-14818.1,0,[],0,0,[],30.0
2023-02-24,100,-13640.6,0,[],0,0,[],30.0
2023-02-25,100,-13503.1,0,[],1,0,[],30.0
2023-02-26,100,-11652.0,0,[],1,0,[],30.0
2023-02-27,100,-11054.0,0,[],0,0,[],30.0
2023-02-28,100,-10910.4,0,[],0,0,[],30.0
2023-03-01,100,-10271.1,0,[],1,0,[],30.0
2023-03-02,100,-10085.2,0,[],1,0,[],30.0
2023-03-03,100,-10431.3,0,[],0,0,[],30.0
2023-03-04,100,-11354.0,0,[],0,0,[],30.0
2023-03-05,100,-12083.4,0,[],0,0,[],30.0
2023-03-06,100,-12759.9,0,[],0,0,[],30.0
2023-03-07,100,-12253.3,0,[],0,0,[],30.0
2023-03-08,100,-12543.8,0,[],0,0,[],30.0
2023-03-09,100,-11959.3,0,[],0,0,[],30.0
2023-03-10,100,-11459.5,0,[],0,1,2023-3-10-9-19-41-424538_,30.0
2023-03-11,100,-11248.6,0,[],0,0,[],30.0
2023-03-12,82.4,-15299.0,2,2023-3-12-7-33-5-979538-15194.0_2023-3-12-11-58-16-979538-2.0000007152557373_,0,0,[],25.0
2023-03-13,56.4,-17105.4,2,2023-3-13-1-29-1-979538-37674.0_2023-3-13-12-8-48-979538-1.0_,0,0,[],10.0
2023-03-14,81.4,-16900.9,2,2023-3-14-7-1-11-979538-16101.0_2023-3-14-11-41-16-979538-2.0_,0,0,[],25.0
2023-03-15,87.6,-16936.9,4,2023-3-15-8-57-48-979538-10361.0_2023-3-15-12-2-10-979538-2.0_2023-3-15-13-49-24-979538-386.0_2023-3-15-14-7-46-979538-3.0_,0,0,[],30.0
2023-03-16,72.5,-17675.2,2,2023-3-16-4-44-15-979538-23760.0_2023-3-16-11-32-11-979538-2.0000007152557373_,0,0,[],25.0
2023-03-17,100,-16315.9,0,[],0,0,[],30.0
2023-03-18,100,-16278.7,0,[],0,0,[],30.0
2023-03-19,100,-15660.9,0,[],0,0,[],30.0
2023-03-20,70.6,-15528.3,73,2023-3-20-21-28-21-979538-9098.020462_2023-3-20-11-18-13-979538-2523.0_2023-3-20-12-12-16-979538-3.0_2023-3-20-16-14-27-979538-1007.0_2023-3-20-16-31-35-979538-4.0_2023-3-20-16-32-4-979538-3.0_2023-3-20-16-34-37-979538-10.0_2023-3-20-16-35-6-979538-7.0_2023-3-20-16-35-22-979538-10.0_2023-3-20-16-35-37-979538-11.0_2023-3-20-16-36-4-979538-11.0_2023-3-20-16-36-46-979538-1.0_2023-3-20-16-36-58-979538-16.0_2023-3-20-16-37-25-979538-14.0_2023-3-20-16-38-0-979538-5.0_2023-3-20-16-38-19-979538-12.0_2023-3-20-16-38-57-979538-4.0_2023-3-20-16-39-34-979538-2.0_2023-3-20-16-40-38-979538-4.0_2023-3-20-16-40-58-979538-10.0_2023-3-20-16-41-9-979538-84.0_2023-3-20-16-42-34-979538-12.0_2023-3-20-16-45-0-979538-5.0_2023-3-20-16-45-15-979538-12.0_2023-3-20-17-47-54-979538-8.0_2023-3-20-17-48-27-979538-1.0_2023-3-20-17-48-54-979538-3.0_2023-3-20-17-49-12-979538-11.0_2023-3-20-17-49-52-979538-64.0_2023-3-20-17-51-34-979538-94.0_2023-3-20-17-53-43-979538-8.0_2023-3-20-17-54-3-979538-11.0_2023-3-20-17-54-24-979538-95.0_2023-3-20-17-56-15-979538-10.0_2023-3-20-17-56-40-979538-12.0_2023-3-20-17-57-3-979538-89.0_2023-3-20-17-58-43-979538-14.0_2023-3-20-17-59-17-979538-3.0_2023-3-20-17-59-27-979538-16.0_2023-3-20-18-0-0-979538-4.0_2023-3-20-18-0-8-979538-11.0_2023-3-20-18-0-25-979538-50.0_2023-3-20-18-2-6-979538-49.0_2023-3-20-18-3-11-979538-31.0_2023-3-20-18-3-58-979538-72.0_2023-3-20-18-5-20-979538-29.0_2023-3-20-18-5-56-979538-33.0_2023-3-20-18-6-42-979538-12.0_2023-3-20-18-7-14-979538-3.0_2023-3-20-18-7-18-979538-93.00000071525574_2023-3-20-18-8-56-979539-279.9999997615814_2023-3-20-18-13-57-979539-555.9999990463257_2023-3-20-18-23-34-979538-344.0_2023-3-20-18-29-34-979538-45.0_2023-3-20-18-30-23-979538-55.0_2023-3-20-18-31-20-979538-296.0_2023-3-20-18-36-20-979538-238.0_2023-3-20-18-40-37-979538-697.0_2023-3-20-18-52-36-979538-5.0_2023-3-20-18-52-46-979538-92.0_2023-3-20-18-54-22-979538-16.0_2023-3-20-18-54-50-979538-296.0_2023-3-20-19-0-7-979538-351.99999809265137_2023-3-20-19-6-1-979536-8239.000002145767_2023-3-20-21-23-41-979538-35.0_2023-3-20-21-24-22-979538-9.0_2023-3-20-21-25-2-979538-14.0_2023-3-20-21-25-24-979538-9.000000715255737_2023-3-20-21-25-43-979539-96.99999904632568_2023-3-20-21-27-25-979538-14.000000715255737_2023-3-20-21-27-46-979539-9.999999046325684_2023-3-20-21-28-5-979538-10.0_2023-3-20-21-28-18-979538-1.0_,0,0,[],30.0
2023-03-21,72.1,-17061.7,62,2023-3-21-0-0-0-0-8018.984538_2023-3-21-2-20-59-979538-67.0_2023-3-21-2-22-13-979538-12.0_2023-3-21-2-22-44-979538-4.0_2023-3-21-2-22-54-979538-11.0_2023-3-21-2-23-28-979538-4.0_2023-3-21-2-23-40-979538-11.0_2023-3-21-2-23-57-979538-13.0_2023-3-21-2-25-11-979538-61.0_2023-3-21-2-26-32-979538-51.0_2023-3-21-2-28-8-979538-6.0_2023-3-21-2-32-19-979538-10.0_2023-3-21-2-32-53-979538-1.0_2023-3-21-2-32-59-979538-16.0_2023-3-21-2-33-32-979538-14.0_2023-3-21-2-59-36-979538-36.0_2023-3-21-3-0-22-979538-69.00000071525574_2023-3-21-3-3-45-979539-79.99999904632568_2023-3-21-3-7-25-979538-8.0_2023-3-21-3-7-36-979538-1.0_2023-3-21-3-8-0-979538-13.0_2023-3-21-3-8-37-979538-6.0_2023-3-21-3-8-50-979538-11.0_2023-3-21-3-9-4-979538-1.0_2023-3-21-3-9-6-979538-91.0_2023-3-21-3-10-50-979538-48.0_2023-3-21-3-12-0-979538-5.0_2023-3-21-3-12-19-979538-11.0_2023-3-21-3-12-39-979538-207.0_2023-3-21-3-16-14-979538-32.0_2023-3-21-3-16-53-979538-49.0_2023-3-21-3-21-46-979538-34.0_2023-3-21-3-22-42-979538-7.0_2023-3-21-3-22-57-979538-10.0_2023-3-21-3-23-8-979538-3.0_2023-3-21-3-23-12-979538-96.0_2023-3-21-3-30-15-979538-33.0_2023-3-21-3-30-50-979538-17.999998092651367_2023-3-21-4-6-13-979536-22.000002145767212_2023-3-21-4-6-38-979538-187.0_2023-3-21-4-10-7-979538-4.999998092651367_2023-3-21-4-11-10-979536-1.000002145767212_2023-3-21-4-11-27-979538-10.0_2023-3-21-4-11-56-979538-7.0_2023-3-21-4-12-18-979538-11.0_2023-3-21-4-12-54-979538-6.0_2023-3-21-4-13-10-979538-14.0_2023-3-21-4-13-33-979538-72.0_2023-3-21-4-15-3-979538-1081.0_2023-3-21-4-33-36-979538-35.0_2023-3-21-4-36-36-979538-108.0_2023-3-21-4-38-45-979538-88.0_2023-3-21-4-40-24-979538-36.00000071525574_2023-3-21-4-42-31-979539-14.999999761581421_2023-3-21-4-43-17-979539-17.999999046325684_2023-3-21-8-2-17-979538-12110.0_2023-3-21-11-31-16-979538-317.0_2023-3-21-11-39-47-979538-256.0_2023-3-21-11-47-19-979538-190.0_2023-3-21-11-54-8-979538-177.0_2023-3-21-12-0-45-979538-177.0_2023-3-21-12-15-16-979538-2.0000007152557373_,0,0,[],25.0
