fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-11-07,0,-9,0,[],0,0,[],-9
2023-11-08,0,-9,0,[],0,0,[],-9
2023-11-09,0,-9,0,[],0,0,[],-9
2023-11-10,14.5,-2836.3,1,2023-11-10-0-0-0-0-73833.52_,0,2,2023-11-10-20-42-54-770000_2023-11-10-21-10-4-320000_,0.0
2023-11-11,100,215.9,0,[],0,1,2023-11-11-11-20-37-90000_,0.0
2023-11-12,100.0,-345.3,3,2023-11-12-16-2-52-160000-14.77999997138977_2023-11-12-18-40-0-120000-4.119999885559082_2023-11-12-23-36-41-500000-6.680000066757202_,0,0,[],0.0
2023-11-13,100.0,-175.4,2,2023-11-13-18-59-32-940000-12.680000066757202_2023-11-13-21-9-46-100000-2.1399998664855957_,0,0,[],0.0
2023-11-14,100.0,-280.0,1,2023-11-14-12-2-4-270000-2.5199997425079346_,0,1,2023-11-14-18-34-55-950000_,0.0
2023-11-15,100.0,-291.8,2,2023-11-15-7-40-5-980000-4.120000123977661_2023-11-15-17-48-46-340000-2.2800002098083496_,0,7,2023-11-15-0-16-17-710000_2023-11-15-6-54-38-510000_2023-11-15-11-20-56-110000_2023-11-15-16-47-35-310000_2023-11-15-18-58-57-130000_2023-11-15-21-58-1-730000_2023-11-15-23-22-22-830000_,5.0
2023-11-16,100,167.9,0,[],0,8,2023-11-16-0-16-16-970000_2023-11-16-1-0-19-820000_2023-11-16-3-20-39-670000_2023-11-16-9-24-56-470000_2023-11-16-15-20-0-670000_2023-11-16-16-25-3-120000_2023-11-16-20-53-54-320000_2023-11-16-23-52-3-270000_,15.0
2023-11-17,100.0,-257.8,5,2023-11-17-0-0-0-0-2.08_2023-11-17-13-14-11-380000-16.759999990463257_2023-11-17-14-19-30-780000-12.139999866485596_2023-11-17-20-6-5-720000-2.119999885559082_2023-11-17-22-44-26-290000-4.620000123977661_,0,3,2023-11-17-1-7-42-680000_2023-11-17-2-16-31-80000_2023-11-17-5-39-12-380000_,15.0
2023-11-18,100.0,-562.5,1,2023-11-18-16-18-43-450000-6.500000238418579_,0,3,2023-11-18-0-6-32-550000_2023-11-18-3-53-54-650000_2023-11-18-20-20-47-860000_,5.0
2023-11-19,100.0,-488.1,2,2023-11-19-12-18-38-670000-4.299999952316284_2023-11-19-23-8-22-820000-2.059999942779541_,0,0,[],0.0
2023-11-20,99.9,-155.7,4,2023-11-20-0-0-0-0-2.23_2023-11-20-11-27-27-680000-6.180000066757202_2023-11-20-20-7-53-990000-10.380000114440918_2023-11-20-21-15-56-530000-28.880000114440918_,0,11,2023-11-20-15-51-53-470000_2023-11-20-15-52-55-420000_2023-11-20-16-52-15-20000_2023-11-20-16-59-57-420000_2023-11-20-19-15-38-570000_2023-11-20-19-20-15-220000_2023-11-20-19-21-8-120000_2023-11-20-20-11-5-830000_2023-11-20-21-24-0-620000_2023-11-20-21-24-59-270000_2023-11-20-21-26-3-20000_,20.0
2023-11-21,100.0,-241.2,2,2023-11-21-0-0-0-0-1.42_2023-11-21-14-44-48-910000-6.179999828338623_,0,9,2023-11-21-2-12-2-770000_2023-11-21-7-19-51-770000_2023-11-21-11-9-41-670000_2023-11-21-11-10-48-570000_2023-11-21-11-36-10-620000_2023-11-21-13-44-16-920000_2023-11-21-21-5-50-700000_2023-11-21-21-6-41-700000_2023-11-21-21-14-39-250000_,20.0
2023-11-22,100.0,-481.7,1,2023-11-22-22-53-43-970000-9.480000257492065_,0,8,2023-11-22-3-34-38-320000_2023-11-22-3-35-30-670000_2023-11-22-5-13-26-920000_2023-11-22-11-24-2-470000_2023-11-22-20-47-25-20000_2023-11-22-21-2-15-370000_2023-11-22-22-34-56-370000_2023-11-22-23-2-21-360000_,20.0
2023-11-23,100.0,-256.1,3,2023-11-23-0-0-0-0-2.59_2023-11-23-21-43-38-320000-4.240000009536743_2023-11-23-22-50-35-480000-8.620000123977661_,0,11,2023-11-23-1-40-34-640000_2023-11-23-2-59-3-140000_2023-11-23-8-13-12-340000_2023-11-23-12-48-48-240000_2023-11-23-14-49-8-440000_2023-11-23-14-49-58-740000_2023-11-23-15-9-46-540000_2023-11-23-20-58-53-690000_2023-11-23-21-8-43-590000_2023-11-23-21-26-54-490000_2023-11-23-21-43-43-520000_,15.0
2023-11-24,88.6,24.7,2,2023-11-24-0-0-0-0-0.81_2023-11-24-21-15-16-990000-9883.01_,0,13,2023-11-24-1-3-25-260000_2023-11-24-1-9-0-310000_2023-11-24-3-50-49-560000_2023-11-24-4-0-10-610000_2023-11-24-7-16-26-860000_2023-11-24-9-45-7-10000_2023-11-24-10-13-9-60000_2023-11-24-10-14-39-660000_2023-11-24-12-42-26-610000_2023-11-24-12-43-16-610000_2023-11-24-12-58-54-810000_2023-11-24-13-0-13-210000_2023-11-24-21-10-10-60000_,25.0
2023-11-25,100.0,-512.1,1,2023-11-25-0-0-0-0-0.29_,0,19,2023-11-25-0-45-0-940000_2023-11-25-0-45-51-190000_2023-11-25-3-48-37-240000_2023-11-25-3-50-18-690000_2023-11-25-4-2-37-340000_2023-11-25-14-8-19-790000_2023-11-25-14-10-17-540000_2023-11-25-14-17-59-190000_2023-11-25-14-19-32-140000_2023-11-25-16-18-47-290000_2023-11-25-19-20-20-940000_2023-11-25-19-32-0-390000_2023-11-25-19-33-16-740000_2023-11-25-21-29-30-90000_2023-11-25-21-30-25-740000_2023-11-25-21-40-25-490000_2023-11-25-22-8-10-240000_2023-11-25-22-16-7-990000_2023-11-25-22-16-58-290000_,25.0
2023-11-26,100,-253.9,0,[],0,6,2023-11-26-12-58-29-60000_2023-11-26-13-0-37-560000_2023-11-26-21-8-59-760000_2023-11-26-21-30-24-460000_2023-11-26-22-28-58-110000_2023-11-26-22-33-9-110000_,20.0
