fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-32874.1,1,2023-1-1-0-0-0-0-2.14_,0,0,[],0.0
2023-01-02,100,-33040.0,0,[],0,1,2023-1-2-18-10-58-510000_,0.0
2023-01-03,100,-33224.4,0,[],0,2,2023-1-3-11-12-32-60000_2023-1-3-11-54-39-110000_,0.0
2023-01-04,100,-33287.5,0,[],0,1,2023-1-4-19-58-46-910000_,0.0
2023-01-05,100,-33238.8,0,[],0,2,2023-1-5-11-4-34-80000_2023-1-5-23-5-52-130000_,0.0
2023-01-06,100,-33110.8,0,[],0,4,2023-1-6-0-3-38-600000_2023-1-6-4-38-39-600000_2023-1-6-6-10-57-300000_2023-1-6-6-16-19-100000_,0.0
2023-01-07,100,-32970.8,0,[],0,0,[],0.0
2023-01-08,100,-33405.4,0,[],0,5,2023-1-8-13-30-58-370000_2023-1-8-13-31-48-520000_2023-1-8-13-32-40-20000_2023-1-8-13-33-32-370000_2023-1-8-14-46-0-120000_,0.0
2023-01-09,100,-33345.0,0,[],0,3,2023-1-9-3-44-29-870000_2023-1-9-3-50-32-20000_2023-1-9-20-1-3-420000_,0.0
2023-01-10,100,-33217.6,0,[],0,0,[],0.0
2023-01-11,100,-33163.7,0,[],0,2,2023-1-11-16-54-4-850000_2023-1-11-16-55-0-600000_,0.0
2023-01-12,100,-33069.2,0,[],0,1,2023-1-12-2-54-52-680000_,0.0
2023-01-13,100,-32992.0,0,[],0,2,2023-1-13-7-22-49-950000_2023-1-13-16-42-37-450000_,0.0
2023-01-14,100,-32962.3,0,[],0,1,2023-1-14-18-19-1-740000_,0.0
2023-01-15,100,-32993.9,0,[],0,1,2023-1-15-23-56-24-690000_,0.0
2023-01-16,100,-33002.1,0,[],0,1,2023-1-16-5-11-15-830000_,0.0
2023-01-17,100,-33077.9,0,[],0,1,2023-1-17-7-58-34-610000_,0.0
2023-01-18,100,-33128.5,0,[],0,4,2023-1-18-6-27-7-380000_2023-1-18-8-0-6-730000_2023-1-18-8-1-27-380000_2023-1-18-8-11-30-780000_,0.0
