fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,8.2,1,0,0,-9
2023-01-02,100,940.0,0,0,0,-9
2023-01-03,47.6,-702.6,1,0,0,-9
2023-01-04,0,-9,0,0,0,-9
2023-01-05,30.2,-1117.0,1,0,0,-9
2023-01-06,100,-1457.1,0,0,1,-9
2023-01-07,100,-1104.4,0,0,0,-9
2023-01-08,100,1177.1,0,0,2,-9
2023-01-09,100,96.0,0,0,0,-9
2023-01-10,100,-296.2,0,0,0,-9
2023-01-11,100,-147.5,0,0,0,-9
2023-01-12,100,-680.0,0,0,0,-9
2023-01-13,100,-109.5,0,0,1,-9
2023-01-14,100,-1074.8,0,0,0,-9
2023-01-15,94.8,-329.5,1,0,0,-9
2023-01-16,100,-748.4,0,0,3,-9
2023-01-17,100,-180.3,0,0,0,-9
2023-01-18,100,-574.5,0,0,1,-9
2023-01-19,100,-675.2,0,0,0,-9
2023-01-20,100.0,-12.0,1,0,7,-9
2023-01-21,98.3,323.5,1,0,2,-9
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,66.1,-127.5,1,0,0,-9
2023-01-27,100.0,-912.8,1,0,1,-9
2023-01-28,100,-826.8,0,0,0,-9
2023-01-29,100,-274.0,0,0,0,-9
2023-01-30,100.0,-518.0,1,0,0,-9
2023-01-31,100,-735.3,0,0,0,-9
2023-02-01,100,-247.9,0,0,0,-9
2023-02-02,85.7,-388.8,1,0,0,-9
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,34.7,-829.3,1,0,0,-9
2023-02-07,99.8,-1105.3,4,0,0,-9
2023-02-08,100,-1293.1,0,0,2,-9
2023-02-09,100,-925.5,0,0,0,-9
2023-02-10,100,-552.5,0,0,0,-9
2023-02-11,100,-657.9,0,0,0,-9
2023-02-12,100,-768.6,0,0,0,-9
2023-02-13,99.6,-201.8,1,0,0,-9
2023-02-14,100.0,-1015.5,1,0,0,-9
2023-02-15,100.0,-397.1,2,0,1,-9
2023-02-16,100.0,-992.1,1,0,0,-9
2023-02-17,100,968.1,0,0,0,-9
2023-02-18,100.0,-922.8,1,0,0,-9
2023-02-19,100.0,315.0,1,0,0,-9
2023-02-20,100.0,-448.1,1,0,5,-9
2023-02-21,100,1041.3,0,0,0,-9
2023-02-22,100,994.6,0,0,0,-9
2023-02-23,100,1688.5,0,0,3,-9
2023-02-24,100,-1701.0,0,0,0,-9
