fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,29.0,-13119.5,7,2023-1-1-0-0-0-0-61171.0_2023-1-1-18-3-45-990000-1.0_2023-1-1-22-35-27-990000-130.0_2023-1-1-23-49-47-990000-1.0_2023-1-1-23-50-5-990000-20.0_2023-1-1-23-52-49-990000-1.0_2023-1-1-23-53-29-990000-1.0_,0,0,[],-9
2023-01-02,0.0,-13185.6,1,2023-1-2-0-0-0-0-86396.4_,0,0,[],-9
2023-01-03,0.0,-13477.4,1,2023-1-3-0-0-0-490000-86393.77_,0,0,[],-9
2023-01-04,0,-9,0,[],0,0,[],-9
2023-01-05,0,-9,9,[],9,9,[],-9
2023-01-06,0.0,-13873.6,1,2023-1-6-0-0-0-0-86399.0_,0,0,[],-9
2023-01-07,0.0,-13934.3,1,2023-1-7-0-0-3-90000-86396.79_,0,0,[],-9
2023-01-08,0.0,-13437.8,1,2023-1-8-0-0-3-970000-86394.57_,0,0,[],-9
2023-01-09,0,-9,0,[],0,0,[],-9
2023-01-10,0,-9,0,[],0,0,[],-9
2023-01-11,41.0,-13108.4,62,2023-1-11-0-0-0-0-50852.0_2023-1-11-15-3-1-990000-1.0_2023-1-11-15-22-51-990000-1.0_2023-1-11-15-54-52-990000-1.0_2023-1-11-17-13-54-990000-1.0_2023-1-11-17-34-40-990000-1.0_2023-1-11-17-40-29-990000-1.0_2023-1-11-17-40-33-990000-1.0_2023-1-11-17-44-19-990000-1.0_2023-1-11-17-47-6-990000-1.0_2023-1-11-17-47-18-990000-1.0_2023-1-11-17-47-33-990000-1.0_2023-1-11-17-48-54-990000-1.0_2023-1-11-17-51-3-990000-2.0_2023-1-11-17-51-18-990000-1.0_2023-1-11-17-51-21-990000-1.0_2023-1-11-17-51-41-990000-1.0_2023-1-11-17-51-46-990000-1.0_2023-1-11-17-51-54-990000-1.0_2023-1-11-17-53-0-990000-1.0_2023-1-11-17-53-49-990000-1.0_2023-1-11-17-56-21-990000-1.0_2023-1-11-17-56-28-990000-1.0_2023-1-11-17-57-57-990000-1.0_2023-1-11-18-3-47-990000-1.0_2023-1-11-18-4-46-990000-1.0_2023-1-11-18-5-37-990000-1.0_2023-1-11-18-9-9-990000-1.0_2023-1-11-18-9-53-990000-1.0_2023-1-11-18-10-35-990000-1.0_2023-1-11-18-13-29-990000-1.0_2023-1-11-18-14-11-990000-1.0_2023-1-11-18-14-37-990000-1.0_2023-1-11-18-15-3-990000-1.0_2023-1-11-18-15-24-990000-1.0_2023-1-11-18-15-38-990000-1.0_2023-1-11-18-16-0-990000-1.0_2023-1-11-18-18-30-990000-1.0_2023-1-11-18-18-33-990000-1.0_2023-1-11-18-18-47-990000-1.0_2023-1-11-18-18-49-990000-1.0_2023-1-11-18-19-11-990000-1.0_2023-1-11-18-19-49-990000-1.0_2023-1-11-18-21-5-990000-1.0_2023-1-11-18-23-36-990000-1.0_2023-1-11-18-26-58-990000-1.0_2023-1-11-18-27-7-990000-1.0_2023-1-11-18-29-1-990000-1.0_2023-1-11-18-29-12-990000-1.0_2023-1-11-19-2-23-990000-1.0_2023-1-11-20-2-25-990000-15.0_2023-1-11-21-45-48-990000-61.0_2023-1-11-21-51-5-990000-20.0_2023-1-11-22-39-21-990000-1.0_2023-1-11-22-41-13-990000-1.0_2023-1-11-22-42-13-990000-1.0_2023-1-11-22-44-22-990000-1.0_2023-1-11-23-13-26-990000-1.0_2023-1-11-23-30-7-990000-1.0_2023-1-11-23-39-58-990000-1.0_2023-1-11-23-42-50-990000-1.0_2023-1-11-23-43-50-990000-1.0_,0,0,[],-9
2023-01-12,0.0,-13325.2,1,2023-1-12-0-0-0-0-86399.6_,0,0,[],-9
2023-01-13,0.0,-13486.3,1,2023-1-13-0-0-3-690000-86393.81_,0,0,[],-9
2023-01-14,0.0,-13742.7,1,2023-1-14-0-0-1-590000-86395.11_,0,0,[],-9
2023-01-15,0.0,-13731.9,1,2023-1-15-0-0-0-790000-86396.31_,0,0,[],-9
