"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Pizarro, Choco, Colombia","CM","PIZC","4.97","-77.36","10","38","62","68","2.312202","1.984495","0.944396"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","109","113","0.149017","0.120685","0.129998"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","148","151","0.150427","0.399924","0.044994"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","173","176","0.163231","0.278144","0.142607"
"Punta Ardita, Choco, Colombia","CM","PTA","7.15","-77.81","10","78","204","206","0.400892","0.346175","0.189073"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","206","208","0.032078","0.026978","0.014226"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","217","219","0.045529","0.044329","0.065922"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","230","232","0.021137","0.017183","0.012853"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","251","252","2.860878","2.67078","5.889262"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","251","253","0.13081","0.115579","0.142068"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","252","254","0.41456","0.525586","1.502363"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","256","258","0.022016","0.031928","0.016321"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","256","258","0.020565","0.024641","0.01401"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","257","259","0.00942","0.013164","0.011173"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","257","259","0.094099","0.103289","0.31502"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","258","260","0.023707","0.028472","0.030258"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","258","259","0.108007","0.137771","0.279444"
"Isla Gorgona, Poblado Guapi, Cauca, Colombia","CM","GRPC","2.97","-78.17","10","13","265","267","0.038868","0.031445","0.011929"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","266","267","0.215282","0.325038","0.960581"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","268","270","0.005915","0.00525","0.003842"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","269","270","0.007065","0.012357","0.007756"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","281","283","0.005686","0.007971","0.005617"
"Guapi, Cauca, Colombia","CM","CGUAP","2.57","-77.89","10","38","306","307","5.607852","6.827058","0.840908"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","317","318","0.036694","0.056317","0.055592"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","323","324","0.025719","0.029444","0.011322"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","324","326","0.009172","0.011333","0.006667"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","367","368","0.015503","0.011863","0.005538"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","368","369","0.017803","0.016496","0.010869"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","368","369","0.017586","0.013984","0.0154"
"Balboa, Cauca - Colombia","CM","BBAC","2.02","-77.25","00","1713","372","373","0.065677","0.022043","0.01633"
"Capurgana, Choco, Colombia","CM","CAP2","8.64","-77.36","10","221","373","374","0.877229","1.438105","2.224703"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","378","379","0.025721","0.02823","0.008238"
"Neiva, Huila, Colombia","CM","CNEIV","2.94","-75.27","10","514","385","386","0.290427","0.352447","0.316782"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","391","392","0.021075","0.021121","0.017284"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","392","394","0.001932","0.001677","0.001598"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","393","394","0.029761","0.012244","0.018373"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","399","400","","","0.003199"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","404","405","0.031192","0.011859","0.021178"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","413","414","0.030013","0.022249","0.013924"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","418","419","0.828132","0.544564","0.552782"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","418","419","0.007191","0.007828","0.012667"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","428","429","0.041906","0.04565","0.024407"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","432","433","0.018248","0.049608","0.021548"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","443","444","0.011805","0.011962","0.008606"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","449","450","0.005615","0.007252","0.0065"
"Pasto, Narino, Colombia","CM","CPAS6","1.23","-77.29","10","2504","458","459","0.340987","0.456003","0.489415"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","458","459","0.007799","0.006585","0.005373"
"Pasto Corponarino, Narino","CM","PAS2","1.22","-77.25","10","2641","460","461","0.368186","0.927987","0.301142"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","461","462","0.041929","0.078144","0.073136"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","462","463","0.006575","0.008665","0.00596"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","474","474","0.017491","0.016","0.017207"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","478","479","0.11901","0.110572","0.14542"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","480","481","0.016222","0.010498","0.008531"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","482","483","0.01692","0.021657","0.015131"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","484","485","0.006469","0.012629","0.012121"
"Cumbal, Narino, Colombia","CM","CUM","0.94","-77.82","10","3420","487","488","0.182204","0.24832","0.133233"
"Tunja, Boyaca, Colombia","CM","CTUN3","5.55","-73.36","10","2740","491","492","0.249965","0.281502","0.16631"
